Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,1.032000,1.142000,0.993000,1.134000,0.909466,451906999
2015-06-01,1.137000,1.180000,1.048000,1.070000,0.858139,418241062
2015-07-01,1.084000,1.190000,1.012000,1.162000,0.962995,330803378
2015-08-01,1.161000,1.198000,1.045000,1.128000,0.934818,332151559
2015-09-01,1.080000,1.177000,1.059000,1.110000,0.919901,290626099
2015-10-01,1.119000,1.286000,1.115000,1.247000,1.033438,360686868
2015-11-01,1.249000,1.338000,1.183000,1.330000,1.102223,318847158
2015-12-01,1.332000,1.367000,1.209000,1.254000,1.039239,276909912
2016-01-01,1.254000,1.257000,1.033000,1.101000,0.912442,439934749
2016-02-01,1.097000,1.110000,0.937500,1.057000,0.875978,320749494
2016-03-01,1.050000,1.164000,1.036000,1.143000,0.947249,223243114
2016-04-01,1.128000,1.257000,1.111000,1.246000,1.032609,285407786
2016-05-01,1.249000,1.306000,1.182000,1.281000,1.061615,186100019
2016-06-01,1.278000,1.295000,1.032000,1.178000,1.010612,263936500
2016-07-01,1.180000,1.305000,1.126000,1.270000,1.128418,165295309
2016-08-01,1.278000,1.295000,1.182000,1.189000,1.056448,167867370
2016-09-01,1.196000,1.275000,1.192000,1.257000,1.116867,211027636
2016-10-01,1.241000,1.280000,1.189000,1.241000,1.102651,187902132
2016-11-01,1.242000,1.258000,1.063000,1.125000,0.999583,199919656
2016-12-01,1.133000,1.235000,1.085000,1.191000,1.058225,207940169
2017-01-01,1.239000,1.320000,1.220000,1.234000,1.096431,236615685
2017-02-01,1.238000,1.320000,1.238000,1.311000,1.164847,196143420
2017-03-01,1.321000,1.426000,1.306000,1.418000,1.259918,235245933
2017-04-01,1.428000,1.455000,1.311000,1.365000,1.212827,202581040
2017-05-01,1.365000,1.512000,1.364000,1.472000,1.307899,286173487
2017-06-01,1.480000,1.538000,1.441000,1.454000,1.336329,200892055
2017-07-01,1.458000,1.476000,1.408000,1.438000,1.321624,181615135
2017-08-01,1.442000,1.447000,1.366000,1.411000,1.296809,134547209
2017-09-01,1.415000,1.512000,1.411000,1.455000,1.337248,247582870
2017-10-01,1.462000,1.478000,1.410000,1.475000,1.355630,197728459
2017-11-01,1.479000,1.588000,1.435000,1.580000,1.452132,233039440
2017-12-01,1.571000,1.650000,1.532000,1.542000,1.417207,157081419
2018-01-01,1.542000,1.625000,1.505000,1.516000,1.393312,235558633
2018-02-01,1.551500,1.563000,1.397000,1.456000,1.338167,211004282
2018-03-01,1.461000,1.560000,1.393000,1.554500,1.428696,236200985
2018-04-01,1.554500,1.695500,1.542000,1.667500,1.532551,204859934
2018-05-01,1.667500,1.692500,1.401500,1.452000,1.334491,341351888
2018-06-01,1.476000,1.517000,1.392000,1.485000,1.417935,227787868
2018-07-01,1.478000,1.585500,1.452500,1.571500,1.500529,160979814
2018-08-01,1.584000,1.618000,1.459000,1.481000,1.414116,208728998
2018-09-01,1.476500,1.590000,1.470000,1.495000,1.427484,148595371
2018-10-01,1.491500,1.548000,1.366000,1.424500,1.360168,176083744
2018-11-01,1.418500,1.542500,1.400500,1.486000,1.418890,196443787
2018-12-01,1.504000,1.633500,1.481000,1.572500,1.501484,142541695
2019-01-01,1.572500,1.656500,1.531000,1.592000,1.520103,197211849
2019-02-01,1.594000,1.603000,1.524000,1.558000,1.487639,140594422
2019-03-01,1.566000,1.638500,1.554000,1.626500,1.553045,147327670
2019-04-01,1.636000,1.654500,1.468000,1.490000,1.422710,264255063
2019-05-01,1.490000,1.557500,1.425500,1.459500,1.393587,260488829
2019-06-01,1.455000,1.582500,1.448500,1.526000,1.526000,183426209
2019-07-01,1.541500,1.649500,1.521500,1.580000,1.580000,224568299
2019-08-01,1.574500,1.623000,1.536500,1.599000,1.599000,156592676
2019-09-01,1.595000,1.690000,1.590000,1.684000,1.684000,205898908
2019-10-01,1.692000,1.808000,1.653500,1.799000,1.799000,202957427
2019-11-01,1.810000,1.819500,1.701000,1.707500,1.707500,233720053
2019-12-01,1.708000,1.715000,1.610000,1.672000,1.672000,201735208
2020-01-01,1.672000,1.854500,1.637500,1.802500,1.802500,211428304
2020-02-01,1.800000,1.901000,1.555000,1.574500,1.574500,246463666
2020-03-01,1.597500,1.669500,0.957600,1.133000,1.133000,509671064
2020-04-01,1.101500,1.129000,1.101500,1.119500,1.119500,12759087
