Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,33.290001,35.439999,29.100000,30.070000,30.070000,12708900
2015-05-01,30.150000,32.590000,28.809999,30.480000,30.480000,12297800
2015-06-01,30.780001,35.700001,28.520000,33.330002,33.330002,14302400
2015-07-01,33.509998,36.279999,31.600000,34.360001,34.360001,9703200
2015-08-01,34.520000,35.189999,27.920000,31.969999,31.969999,16888400
2015-09-01,31.320000,33.529999,25.500000,26.510000,26.510000,12244900
2015-10-01,26.610001,38.220001,26.059999,36.040001,36.040001,23429800
2015-11-01,36.320000,39.000000,35.790001,38.189999,38.189999,10122500
2015-12-01,38.259998,43.630001,35.980000,42.779999,42.779999,10885800
2016-01-01,41.970001,42.669998,35.389999,36.820000,36.820000,16624800
2016-02-01,36.639999,39.020000,32.200001,32.709999,32.709999,13273400
2016-03-01,33.029999,37.360001,24.830000,26.450001,26.450001,25965700
2016-04-01,26.350000,30.680000,25.110001,25.850000,25.850000,13692900
2016-05-01,25.860001,28.910000,23.850000,28.450001,28.450001,11805200
2016-06-01,28.450001,29.770000,24.400000,25.510000,25.510000,12050100
2016-07-01,25.559999,26.959999,24.000000,25.280001,25.280001,10406200
2016-08-01,25.240000,26.139999,23.590000,24.080000,24.080000,10796600
2016-09-01,24.209999,27.620001,20.510000,20.879999,20.879999,15714300
2016-10-01,20.760000,21.160000,16.850000,17.700001,17.700001,12516500
2016-11-01,17.600000,21.850000,16.400000,20.799999,20.799999,13698200
2016-12-01,20.950001,22.150000,17.750000,18.799999,18.799999,12766900
2017-01-01,18.900000,21.650000,18.850000,20.500000,20.500000,10887800
2017-02-01,20.850000,28.549999,19.950001,26.450001,26.450001,21086500
2017-03-01,26.850000,33.000000,17.500000,21.000000,21.000000,29899800
2017-04-01,20.049999,20.480000,15.300000,16.150000,16.150000,25325000
2017-05-01,16.250000,16.830000,13.600000,13.800000,13.800000,15246100
2017-06-01,13.800000,20.000000,13.600000,19.700001,19.700001,25795800
2017-07-01,19.850000,23.200001,19.600000,21.650000,21.650000,12806200
2017-08-01,21.750000,26.600000,17.950001,20.799999,20.799999,22375100
2017-09-01,21.250000,24.250000,20.850000,23.650000,23.650000,13581600
2017-10-01,23.650000,28.200001,23.059999,26.580000,26.580000,13909300
2017-11-01,26.650000,29.600000,16.549999,17.250000,17.250000,42189200
2017-12-01,20.200001,22.799999,19.950001,21.450001,21.450001,8798300
2018-01-01,21.700001,28.850000,20.500000,25.950001,25.950001,19620100
2018-02-01,25.900000,26.799999,22.850000,23.750000,23.750000,14438200
2018-03-01,23.700001,26.230000,22.850000,23.650000,23.650000,10194100
2018-04-01,23.400000,24.090000,22.049999,23.100000,23.100000,6363700
2018-05-01,23.150000,26.650000,22.500000,26.250000,26.250000,10030900
2018-06-01,26.450001,36.349998,25.330000,28.700001,28.700001,19526100
2018-07-01,28.400000,31.100000,23.330000,24.950001,24.950001,9503800
2018-08-01,24.950001,29.750000,24.270000,28.799999,28.799999,8364100
2018-09-01,28.850000,29.000000,15.600000,19.650000,19.650000,22420600
2018-10-01,19.610001,20.309999,16.290001,19.110001,19.110001,19920600
2018-11-01,19.500000,21.629999,18.270000,20.430000,20.430000,12142900
2018-12-01,20.770000,20.950001,12.860000,15.580000,15.580000,19366400
2019-01-01,15.260000,17.570000,14.970000,16.629999,16.629999,19452400
2019-02-01,16.680000,17.020000,12.550000,14.740000,14.740000,20223100
2019-03-01,14.850000,15.410000,12.610000,13.290000,13.290000,15760300
2019-04-01,13.450000,13.530000,10.420000,10.450000,10.450000,15407700
2019-05-01,10.350000,12.150000,9.100000,9.290000,9.290000,19911700
2019-06-01,9.220000,9.660000,6.640000,7.670000,7.670000,21667700
2019-07-01,7.820000,8.080000,6.400000,6.930000,6.930000,17235000
2019-08-01,6.890000,6.900000,2.270000,3.230000,3.230000,50262000
2019-09-01,3.210000,4.460000,2.670000,2.870000,2.870000,37059800
2019-10-01,2.880000,3.100000,1.580000,1.650000,1.650000,32913900
2019-11-01,1.660000,2.630000,1.490000,1.600000,1.600000,35135500
2019-12-01,1.610000,2.780000,1.520000,2.040000,2.040000,54347000
2020-01-01,2.090000,2.770000,1.820000,2.030000,2.030000,74037800
2020-02-01,2.040000,2.190000,1.070000,1.440000,1.440000,38965700
2020-03-01,1.450000,1.450000,0.700000,0.930000,0.930000,26677000
2020-04-01,0.920000,0.970000,0.790000,0.850000,0.850000,2606600
