Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,4.000000,4.400000,3.750000,4.000000,4.000000,345500
2018-08-01,3.750000,4.350000,2.940000,3.080000,3.080000,318200
2018-09-01,3.340000,3.890000,2.510000,2.730000,2.730000,703600
2018-10-01,2.760000,3.400000,1.850000,1.890000,1.890000,181300
2018-11-01,1.970000,5.000000,1.110000,3.840000,3.840000,26451200
2018-12-01,3.500000,7.450000,1.800000,5.120000,5.120000,67778000
2019-01-01,4.940000,9.440000,4.650000,5.470000,5.470000,10840800
2019-02-01,5.750000,7.000000,3.200000,3.610000,3.610000,15520500
2019-03-01,3.610000,3.920000,2.740000,3.430000,3.430000,7559300
2019-04-01,3.410000,3.480000,2.270000,2.620000,2.620000,2122100
2019-05-01,2.580000,3.130000,1.850000,1.850000,1.850000,2105800
2019-06-01,1.870000,2.230000,1.680000,1.680000,1.680000,1042700
2019-07-01,1.840000,2.150000,1.640000,1.800000,1.800000,828300
2019-08-01,1.820000,1.930000,1.400000,1.650000,1.650000,656300
2019-09-01,1.700000,1.930000,1.420000,1.510000,1.510000,1080200
2019-10-01,1.540000,1.850000,1.340000,1.550000,1.550000,1128600
2019-11-01,1.520000,1.750000,1.400000,1.450000,1.450000,418000
2019-12-01,1.460000,3.170000,1.360000,2.410000,2.410000,3645000
2020-01-01,2.530000,2.650000,1.570000,1.820000,1.820000,1153000
2020-02-01,1.800000,2.030000,1.200000,1.440000,1.440000,1558200
2020-03-01,1.500000,1.880000,1.000000,1.300000,1.300000,1529100
2020-04-01,1.230000,1.350000,1.050000,1.170000,1.170000,84300
