Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,0.850000,0.914500,0.820000,0.830500,0.830500,195000
2015-05-01,0.825000,0.879000,0.768500,0.791000,0.791000,509000
2015-06-01,0.792500,0.820000,0.730000,0.750000,0.750000,500000
2015-07-01,0.772500,0.772500,0.670500,0.709500,0.709500,337000
2015-08-01,0.700000,0.876500,0.577000,0.618000,0.618000,1851000
2015-09-01,0.597500,0.710000,0.590000,0.634000,0.634000,982000
2015-10-01,0.622000,0.628000,0.562000,0.583500,0.583500,632000
2015-11-01,0.579000,0.610000,0.540500,0.551500,0.551500,523000
2015-12-01,0.560000,0.570000,0.486500,0.538500,0.538500,368000
2016-01-01,0.538500,0.544000,0.406300,0.413000,0.413000,168000
2016-02-01,0.431700,0.448000,0.280100,0.320000,0.320000,858000
2016-03-01,0.312000,0.346200,0.299800,0.299800,0.299800,233000
2016-04-01,0.299800,0.419000,0.265600,0.361900,0.361900,723000
2016-05-01,0.345100,0.381000,0.311000,0.325300,0.325300,290000
2016-06-01,0.324500,0.324500,0.240000,0.295200,0.295200,241000
2016-07-01,0.295200,0.295200,0.295200,0.295200,0.295200,0
2016-08-01,0.295200,0.295200,0.295200,0.295200,0.295200,0
2016-09-01,0.295200,0.295200,0.295200,0.295200,0.295200,0
2016-10-01,0.295200,0.295200,0.295200,0.295200,0.295200,0
2016-11-01,0.295200,0.295200,0.295200,0.295200,0.295200,0
2016-12-01,0.295200,0.423000,0.219800,0.423000,0.423000,804000
2017-01-01,0.440000,0.440000,0.372000,0.398900,0.398900,499000
2017-02-01,0.380100,0.419900,0.371000,0.390000,0.390000,188000
2017-03-01,0.382400,0.383000,0.351000,0.352000,0.352000,314000
2017-04-01,0.370200,0.380000,0.325200,0.351900,0.351900,790000
2017-05-01,0.351900,0.370000,0.340000,0.344000,0.344000,234000
2017-06-01,0.342000,0.389000,0.338000,0.354000,0.354000,405000
2017-07-01,0.354000,0.367600,0.331500,0.346800,0.346800,845000
2017-08-01,0.346800,0.346800,0.300000,0.306000,0.306000,645000
2017-09-01,0.306000,0.335000,0.290000,0.303800,0.303800,2232000
2017-10-01,0.299100,0.308000,0.280000,0.289500,0.289500,2071000
2017-11-01,0.291500,0.291600,0.260000,0.285600,0.285600,1555000
2017-12-01,0.279000,0.326000,0.279000,0.314500,0.314500,3708000
2018-01-01,0.314500,0.386000,0.306000,0.310000,0.310000,7213000
2018-02-01,0.378000,0.390000,0.272000,0.280000,0.280000,4275000
2018-03-01,0.286000,0.310000,0.260000,0.280000,0.280000,2614000
2018-04-01,0.280000,0.288000,0.260000,0.264000,0.264000,1312000
2018-05-01,0.264000,0.278000,0.218000,0.240000,0.240000,1726000
2018-06-01,0.242000,0.252000,0.226000,0.240000,0.240000,637000
2018-07-01,0.236000,0.244000,0.206000,0.218000,0.218000,1018000
2018-08-01,0.212000,0.216000,0.190000,0.197000,0.197000,499000
2018-09-01,0.199000,0.278000,0.148000,0.189000,0.189000,20965000
2018-10-01,0.198000,0.202000,0.119000,0.129000,0.129000,6248000
2018-11-01,0.124000,0.149000,0.114000,0.138000,0.138000,4003000
2018-12-01,0.138000,0.140000,0.123000,0.128000,0.128000,1048000
2019-01-01,0.128000,0.157000,0.121000,0.141000,0.141000,8654000
2019-02-01,0.140000,0.144000,0.127000,0.140000,0.140000,2610000
2019-03-01,0.138000,0.156000,0.138000,0.142000,0.142000,7080000
2019-04-01,0.141500,0.142000,0.124500,0.136000,0.136000,3925000
2019-05-01,0.136000,0.137000,0.123000,0.132000,0.132000,1430000
2019-06-01,0.134000,0.135000,0.110000,0.118000,0.118000,4191000
2019-07-01,0.119000,0.125000,0.100000,0.110500,0.110500,5338000
2019-08-01,0.110000,0.141000,0.107500,0.135000,0.135000,5649000
2019-09-01,0.138500,0.140000,0.121000,0.135000,0.135000,4109000
2019-10-01,0.139500,0.146000,0.111500,0.112000,0.112000,10907000
2019-11-01,0.111500,0.117500,0.105500,0.107000,0.107000,3851000
2019-12-01,0.106000,0.119000,0.105000,0.112000,0.112000,2920000
2020-01-01,0.112000,0.212000,0.110000,0.155500,0.155500,102197000
2020-02-01,0.156500,0.198000,0.130500,0.135000,0.135000,43766000
2020-03-01,0.139000,0.140500,0.082000,0.084000,0.084000,20709000
2020-04-01,0.083000,0.088000,0.083000,0.085200,0.085200,603000
