Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,10.000000,12.750000,8.360000,8.760000,8.760000,3231300
2016-05-01,8.990000,10.050000,6.680000,7.500000,7.500000,1623000
2016-06-01,7.500000,7.700000,4.100000,4.860000,4.860000,1644000
2016-07-01,5.805000,5.805000,3.890000,4.800000,4.800000,562600
2016-08-01,4.750000,6.000000,4.500000,5.640000,5.640000,594900
2016-09-01,5.600000,8.300000,5.600000,6.410000,6.410000,649700
2016-10-01,6.490000,7.369000,5.260000,5.360000,5.360000,464200
2016-11-01,5.440000,10.340000,4.900000,5.170000,5.170000,1481400
2016-12-01,5.190000,6.270000,4.270000,4.350000,4.350000,690400
2017-01-01,4.360000,5.400000,3.660000,3.990000,3.990000,704900
2017-02-01,4.010000,6.439000,3.832000,6.200000,6.200000,3006600
2017-03-01,6.230000,8.140000,5.680000,7.450000,7.450000,2323300
2017-04-01,7.500000,7.740000,6.538000,7.150000,7.150000,548200
2017-05-01,7.114000,7.282000,4.210000,4.220000,4.220000,961700
2017-06-01,4.220000,4.511000,3.280000,3.850000,3.850000,1678600
2017-07-01,3.793000,3.940000,3.260000,3.410000,3.410000,1219400
2017-08-01,3.600000,4.760000,2.810000,4.110000,4.110000,1422900
2017-09-01,4.170000,5.120000,3.866000,4.930000,4.930000,770100
2017-10-01,5.060000,6.240000,4.260000,4.380000,4.380000,1225200
2017-11-01,4.340000,5.260000,3.750000,4.000000,4.000000,1184000
2017-12-01,4.040000,5.880000,4.004000,5.410000,5.410000,1444600
2018-01-01,5.440000,7.670000,4.950000,6.480000,6.480000,1808400
2018-02-01,6.630000,7.456000,5.120000,7.250000,7.250000,1467200
2018-03-01,7.240000,11.350000,6.801000,9.920000,9.920000,2353200
2018-04-01,10.050000,10.728000,7.500000,9.340000,9.340000,6255100
2018-05-01,9.260000,11.190000,8.880000,10.680000,10.680000,4394400
2018-06-01,10.890000,12.000000,9.070000,10.580000,10.580000,7921200
2018-07-01,10.580000,11.370000,8.240000,8.410000,8.410000,4321400
2018-08-01,8.400000,11.160000,8.400000,10.930000,10.930000,3191800
2018-09-01,11.110000,11.110000,8.050000,9.570000,9.570000,4739900
2018-10-01,9.910000,10.490000,8.120000,8.630000,8.630000,6223300
2018-11-01,8.680000,9.640000,7.450000,8.420000,8.420000,2343800
2018-12-01,8.540000,8.820000,6.310000,7.490000,7.490000,2705800
2019-01-01,7.380000,9.290000,7.380000,9.140000,9.140000,1624800
2019-02-01,9.130000,9.450000,7.200000,8.360000,8.360000,5030100
2019-03-01,8.330000,8.713000,7.530000,8.050000,8.050000,4713500
2019-04-01,8.000000,8.920000,6.654000,6.850000,6.850000,5034700
2019-05-01,6.840000,7.080000,6.151000,6.240000,6.240000,2084700
2019-06-01,6.230000,6.989000,5.990000,6.850000,6.850000,4764000
2019-07-01,6.900000,9.100000,6.350000,8.960000,8.960000,3253600
2019-08-01,8.950000,9.090000,7.310000,7.805000,7.805000,1829000
2019-09-01,7.750000,8.960000,7.410000,7.690000,7.690000,1406200
2019-10-01,7.660000,8.130000,7.050000,7.610000,7.610000,803100
2019-11-01,7.820000,8.670000,7.280000,8.550000,8.550000,1000700
2019-12-01,8.500000,8.520000,7.220000,7.640000,7.640000,1502100
2020-01-01,7.430000,8.060000,6.690000,7.260000,7.260000,1063400
2020-02-01,7.300000,8.500000,6.555000,6.830000,6.830000,1081900
2020-03-01,6.770000,7.040000,3.500000,4.660000,4.660000,1783300
2020-04-01,4.490000,4.750000,4.070000,4.350000,4.350000,139900
