Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,10.150000,11.790000,9.150000,9.443000,9.443000,195200
2015-05-01,9.450000,9.740000,6.640000,7.450000,7.450000,1112600
2015-06-01,7.620000,9.000000,7.090000,7.760000,7.760000,666300
2015-07-01,8.340000,10.900000,7.810000,8.890000,8.890000,845900
2015-08-01,8.890000,9.220000,6.160000,7.220000,7.220000,436100
2015-09-01,7.080000,7.804000,5.350000,5.830000,5.830000,211100
2015-10-01,5.706000,7.449000,4.840000,6.880000,6.880000,858400
2015-11-01,6.850000,7.685000,6.700000,7.280000,7.280000,202400
2015-12-01,7.300000,7.700000,5.960000,6.780000,6.780000,186800
2016-01-01,6.590000,6.960000,4.575000,4.810000,4.810000,285600
2016-02-01,4.780000,5.820000,3.390000,4.900000,4.900000,569800
2016-03-01,5.200000,5.400000,3.810000,4.190000,4.190000,837100
2016-04-01,4.120000,6.300000,4.110000,6.300000,6.300000,918400
2016-05-01,6.250000,6.690000,5.010000,5.810000,5.810000,1326300
2016-06-01,5.850000,6.100000,4.860000,5.690000,5.690000,842000
2016-07-01,5.870000,6.990000,5.423000,6.150000,6.150000,507200
2016-08-01,6.120000,7.230000,5.330000,5.540000,5.540000,1577800
2016-09-01,5.490000,8.190000,5.300000,7.820000,7.820000,1335200
2016-10-01,7.890000,7.890000,5.000000,5.250000,5.250000,825400
2016-11-01,5.300000,6.900000,5.110000,5.150000,5.150000,702500
2016-12-01,5.200000,5.875000,4.450000,4.800000,4.800000,386800
2017-01-01,5.350000,5.900000,4.650000,5.450000,5.450000,302700
2017-02-01,5.350000,5.500000,4.100000,4.950000,4.950000,1671900
2017-03-01,5.100000,5.463000,4.800000,5.000000,5.000000,598400
2017-04-01,5.050000,5.645000,3.980000,4.350000,4.350000,3132600
2017-05-01,4.300000,5.100000,3.800000,5.050000,5.050000,1705900
2017-06-01,5.200000,5.475000,4.000000,4.650000,4.650000,2373100
2017-07-01,4.650000,5.100000,4.550000,4.750000,4.750000,669700
2017-08-01,4.800000,4.800000,3.900000,4.150000,4.150000,484000
2017-09-01,4.250000,11.900000,4.000000,7.200000,7.200000,46363100
2017-10-01,7.150000,8.300000,5.750000,6.300000,6.300000,7008300
2017-11-01,6.300000,7.075000,5.550000,6.650000,6.650000,2384800
2017-12-01,6.650000,7.250000,6.200000,6.800000,6.800000,1526100
2018-01-01,6.900000,7.750000,6.350000,7.475000,7.475000,2484700
2018-02-01,7.400000,8.950000,6.250000,8.250000,8.250000,1975100
2018-03-01,8.250000,8.950000,7.250000,7.500000,7.500000,1875800
2018-04-01,7.500000,8.190000,6.800000,7.850000,7.850000,1887400
2018-05-01,7.900000,9.300000,7.550000,8.400000,8.400000,1901300
2018-06-01,8.500000,8.950000,7.800000,7.950000,7.950000,3531300
2018-07-01,8.000000,8.550000,6.750000,6.950000,6.950000,1846600
2018-08-01,6.950000,8.450000,6.750000,8.450000,8.450000,1635900
2018-09-01,8.550000,16.700001,7.600000,13.800000,13.800000,32530600
2018-10-01,13.810000,13.990000,10.170000,10.770000,10.770000,8759300
2018-11-01,10.770000,11.345000,7.910000,8.970000,8.970000,3966400
2018-12-01,9.180000,10.299000,7.150000,8.300000,8.300000,4755300
2019-01-01,8.210000,10.050000,8.020000,8.810000,8.810000,3640000
2019-02-01,8.800000,9.105000,7.460000,8.080000,8.080000,4844400
2019-03-01,8.140000,12.790000,6.810000,9.030000,9.030000,31240000
2019-04-01,9.040000,9.217000,7.461000,8.270000,8.270000,6003200
2019-05-01,8.310000,8.350000,6.760000,6.970000,6.970000,3683000
2019-06-01,6.960000,7.590000,4.990000,6.000000,6.000000,8791500
2019-07-01,6.140000,6.190000,5.080000,5.480000,5.480000,3362200
2019-08-01,5.470000,6.000000,4.310000,4.410000,4.410000,3093200
2019-09-01,4.360000,6.300000,4.360000,5.270000,5.270000,5213500
2019-10-01,5.270000,6.150000,4.860000,5.590000,5.590000,4583300
2019-11-01,5.640000,8.050000,5.450000,7.980000,7.980000,5295400
2019-12-01,7.870000,7.937000,4.480000,5.810000,5.810000,10096300
2020-01-01,5.900000,6.570000,5.230000,5.340000,5.340000,3334700
2020-02-01,5.360000,5.702000,3.630000,3.800000,3.800000,3390400
2020-03-01,3.800000,3.870000,1.480000,2.470000,2.470000,6971400
2020-04-01,2.310000,2.360000,2.005000,2.040000,2.040000,377200
