Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,215.179993,230.630005,211.979996,226.130005,219.290771,7499200
2015-05-01,228.020004,228.679993,219.050003,223.660004,216.895508,6086100
2015-06-01,224.330002,229.119995,216.899994,218.600006,211.988525,8269400
2015-07-01,220.669998,221.800003,205.130005,207.899994,201.612137,8483600
2015-08-01,207.419998,214.860001,170.169998,186.440002,180.801178,9204800
2015-09-01,182.229996,183.570007,164.539993,170.990005,165.818481,10277200
2015-10-01,171.070007,183.479996,163.500000,180.259995,174.808136,8198500
2015-11-01,180.720001,190.740005,166.589996,177.229996,171.869720,9563700
2015-12-01,177.669998,180.009995,141.679993,159.759995,154.928116,14606100
2016-01-01,155.110001,158.210007,120.680000,134.190002,130.131485,14798800
2016-02-01,132.830002,139.960007,115.970001,138.690002,134.495392,14018500
2016-03-01,140.479996,165.100006,139.759995,162.399994,157.488251,13068000
2016-04-01,160.949997,179.850006,154.710007,170.320007,165.168762,11067700
2016-05-01,170.289993,174.710007,159.979996,173.520004,168.271942,9393200
2016-06-01,172.369995,177.770004,131.160004,140.770004,136.512482,15516400
2016-07-01,140.440002,148.149994,131.020004,146.779999,142.340729,12134800
2016-08-01,144.250000,148.369995,139.320007,142.050003,137.753769,9249600
2016-09-01,142.330002,148.699997,138.259995,144.699997,140.323624,9520800
2016-10-01,144.190002,154.860001,132.520004,132.660004,128.647751,11363600
2016-11-01,133.130005,152.520004,130.479996,148.100006,143.620758,13729500
2016-12-01,149.009995,162.850006,142.960007,145.300003,140.905472,12183900
2017-01-01,147.720001,153.589996,139.520004,152.360001,147.751923,12828500
2017-02-01,153.580002,171.179993,152.210007,167.929993,162.851013,11446200
2017-03-01,171.110001,171.649994,155.270004,163.940002,159.183640,9534600
2017-04-01,164.240005,168.589996,158.729996,165.589996,160.785736,5453900
2017-05-01,162.000000,162.500000,148.809998,153.850006,149.386383,12600100
2017-06-01,154.240005,169.160004,153.720001,165.860001,161.257324,11233400
2017-07-01,167.470001,186.460007,166.029999,185.830002,180.673111,7411500
2017-08-01,187.080002,187.080002,171.070007,176.690002,171.786774,6525100
2017-09-01,177.309998,191.979996,169.759995,189.830002,184.766708,5413400
2017-10-01,190.020004,198.399994,183.860001,186.500000,181.525528,6684600
2017-11-01,187.850006,202.089996,178.869995,198.669998,193.370911,5939900
2017-12-01,199.300003,207.669998,190.910004,205.250000,199.991013,5421600
2018-01-01,206.520004,217.000000,196.990005,199.630005,194.515015,7748600
2018-02-01,198.389999,202.429993,173.929993,189.360001,184.508133,9748800
2018-03-01,189.169998,197.029999,180.619995,189.580002,185.013535,8031900
2018-04-01,187.529999,187.529999,160.309998,164.860001,160.888992,10295000
2018-05-01,164.029999,169.880005,155.690002,159.259995,155.423889,8397500
2018-06-01,161.059998,168.190002,148.639999,148.669998,145.356033,11660600
2018-07-01,147.179993,163.550003,145.000000,160.009995,156.443237,9271200
2018-08-01,160.210007,160.270004,142.789993,146.089996,142.833527,12739500
2018-09-01,146.000000,147.940002,136.380005,136.720001,133.930756,7265200
2018-10-01,137.429993,139.429993,110.269997,113.660004,111.341209,15228600
2018-11-01,114.580002,119.559998,106.010002,111.120003,108.853027,10384700
2018-12-01,113.050003,114.430000,88.470001,97.440002,95.700340,16532400
2019-01-01,95.529999,110.419998,95.120003,104.949997,103.076248,12396800
2019-02-01,104.930000,112.199997,103.809998,109.610001,107.653053,9155100
2019-03-01,110.669998,112.830002,98.120003,107.110001,105.515717,12069300
2019-04-01,108.129997,115.750000,107.589996,110.919998,109.269005,9361900
2019-05-01,110.959999,111.769997,83.820000,83.820000,82.572380,15968000
2019-06-01,83.500000,93.199997,83.099998,92.139999,91.087646,10161100
2019-07-01,93.489998,94.070000,83.629997,85.790001,84.810181,9979600
2019-08-01,85.500000,85.500000,73.900002,76.629997,75.754799,12443000
2019-09-01,75.849998,89.980003,74.190002,83.349998,82.723892,9989700
2019-10-01,83.669998,84.269997,71.080002,79.879997,79.279961,13342500
2019-11-01,80.830002,88.150002,80.580002,85.370003,84.728722,11196600
2019-12-01,85.559998,88.430000,80.400002,84.739998,84.413330,20727200
2020-01-01,85.470001,87.209999,77.820000,79.849998,79.542183,11161600
2020-02-01,82.470001,88.949997,73.400002,75.220001,74.930031,13333900
2020-03-01,75.669998,78.599998,44.369999,59.139999,59.139999,21613000
2020-04-01,55.990002,58.910000,53.320000,55.360001,55.360001,1691600
