Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,3.280000,4.200000,3.160000,3.630000,3.630000,4431400
2015-05-01,3.680000,4.390000,3.410000,4.180000,4.180000,4423000
2015-06-01,4.180000,4.340000,2.950000,3.020000,3.020000,13123000
2015-07-01,3.030000,3.080000,2.300000,2.430000,2.430000,6150000
2015-08-01,2.430000,2.660000,2.200000,2.610000,2.610000,7059200
2015-09-01,2.550000,2.630000,1.590000,1.810000,1.810000,6658100
2015-10-01,1.830000,1.970000,1.480000,1.660000,1.660000,6914000
2015-11-01,1.630000,1.680000,1.390000,1.540000,1.540000,6286400
2015-12-01,1.530000,1.600000,1.110000,1.330000,1.330000,5129100
2016-01-01,1.310000,1.460000,0.850000,1.320000,1.320000,3844200
2016-02-01,1.330000,1.440000,1.000000,1.130000,1.130000,4093900
2016-03-01,1.140000,1.490000,0.970000,1.190000,1.190000,7066300
2016-04-01,1.130000,1.200000,0.830000,0.860000,0.860000,5283200
2016-05-01,0.870000,1.190000,0.730000,1.040000,1.040000,8592100
2016-06-01,1.030000,1.160000,0.950000,1.070000,1.070000,13228300
2016-07-01,1.080000,1.380000,1.000000,1.120000,1.120000,6774400
2016-08-01,1.110000,1.560000,0.870000,1.390000,1.390000,7290000
2016-09-01,1.410000,1.510000,0.910000,1.050000,1.050000,7251900
2016-10-01,1.060000,1.080000,0.690000,0.700000,0.700000,4931100
2016-11-01,0.710000,0.940000,0.560000,0.780000,0.780000,3721200
2016-12-01,0.800000,0.800000,0.590000,0.680000,0.680000,9263800
2017-01-01,0.700000,0.750000,0.650000,0.680000,0.680000,3601300
2017-02-01,0.870000,0.890000,0.690000,0.870000,0.870000,4708900
2017-03-01,0.870000,0.990000,0.770000,0.940000,0.940000,4682900
2017-04-01,0.950000,1.130000,0.880000,1.130000,1.130000,5566300
2017-05-01,1.150000,1.260000,1.020000,1.110000,1.110000,6276700
2017-06-01,1.120000,1.130000,0.940000,1.030000,1.030000,6116600
2017-07-01,1.020000,1.150000,0.990000,1.110000,1.110000,2974100
2017-08-01,1.100000,1.250000,1.040000,1.160000,1.160000,4896000
2017-09-01,1.160000,1.530000,1.110000,1.510000,1.510000,12454200
2017-10-01,1.510000,1.640000,1.330000,1.570000,1.570000,7410200
2017-11-01,1.570000,1.920000,1.440000,1.760000,1.760000,9042100
2017-12-01,1.780000,1.980000,1.540000,1.790000,1.790000,8074500
2018-01-01,1.800000,2.250000,1.770000,2.030000,2.030000,13297800
2018-02-01,2.040000,2.560000,1.820000,2.250000,2.250000,30766900
2018-03-01,2.250000,2.590000,1.920000,2.010000,2.010000,21902600
2018-04-01,1.980000,2.250000,1.560000,1.590000,1.590000,19221500
2018-05-01,1.630000,1.900000,1.540000,1.860000,1.860000,11217200
2018-06-01,1.880000,1.930000,1.410000,1.510000,1.510000,15678300
2018-07-01,1.480000,1.580000,1.300000,1.390000,1.390000,6483600
2018-08-01,1.400000,1.600000,1.360000,1.400000,1.400000,10089900
2018-09-01,1.400000,1.410000,1.120000,1.240000,1.240000,7255500
2018-10-01,1.200000,1.450000,1.160000,1.290000,1.290000,6477600
2018-11-01,1.350000,2.000000,1.330000,1.930000,1.930000,10647000
2018-12-01,1.980000,2.110000,1.610000,1.830000,1.830000,8050500
2019-01-01,1.850000,2.370000,1.810000,2.200000,2.200000,12479900
2019-02-01,2.220000,3.350000,2.100000,3.180000,3.180000,33873300
2019-03-01,3.190000,3.970000,3.020000,3.500000,3.500000,30920400
2019-04-01,3.560000,3.900000,3.300000,3.780000,3.780000,20357400
2019-05-01,3.800000,4.180000,3.620000,3.770000,3.770000,20120300
2019-06-01,3.810000,5.160000,3.630000,5.000000,5.000000,46081300
2019-07-01,5.050000,5.760000,4.580000,5.430000,5.430000,32082700
2019-08-01,5.450000,7.840000,5.030000,7.610000,7.610000,66622900
2019-09-01,7.560000,7.690000,5.780000,6.450000,6.450000,41596500
2019-10-01,6.460000,7.780000,5.950000,6.990000,6.990000,34836800
2019-11-01,7.000000,9.130000,6.310000,8.880000,8.880000,50812500
2019-12-01,9.000000,9.020000,6.910000,7.130000,7.130000,51611200
2020-01-01,7.210000,7.940000,6.210000,6.240000,6.240000,37263200
2020-02-01,6.240000,7.370000,5.420000,6.130000,6.130000,53775000
2020-03-01,6.050000,7.280000,3.480000,4.310000,4.310000,66416600
2020-04-01,4.150000,4.240000,3.770000,3.880000,3.880000,3390400
