Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,6.730000,8.900000,6.603000,6.900000,6.900000,42637600
2015-05-01,6.950000,7.190000,5.990000,6.300000,6.300000,22936500
2015-06-01,6.240000,7.500000,6.110000,7.150000,7.150000,24949000
2015-07-01,7.230000,7.400000,6.010000,6.180000,6.180000,16626300
2015-08-01,6.190000,7.170000,4.350000,5.930000,5.930000,26961300
2015-09-01,5.790000,9.360000,5.240000,5.760000,5.760000,65687600
2015-10-01,5.910000,6.240000,4.830000,5.150000,5.150000,30019100
2015-11-01,5.170000,6.380000,5.120000,6.320000,6.320000,20580500
2015-12-01,6.380000,6.450000,5.420000,6.150000,6.150000,22072400
2016-01-01,5.970000,6.050000,3.260000,3.480000,3.480000,22200700
2016-02-01,3.450000,4.170000,3.070000,3.900000,3.900000,14208900
2016-03-01,3.900000,5.130000,3.866000,4.820000,4.820000,12564200
2016-04-01,4.760000,6.550000,4.680000,5.790000,5.790000,15817300
2016-05-01,5.780000,6.240000,4.850000,6.130000,6.130000,11522800
2016-06-01,6.090000,6.250000,5.080000,5.320000,5.320000,9697900
2016-07-01,5.290000,6.120000,5.290000,5.960000,5.960000,6330900
2016-08-01,5.970000,8.220000,5.500000,6.930000,6.930000,24616200
2016-09-01,6.850000,8.090000,6.800000,7.350000,7.350000,21060900
2016-10-01,7.470000,7.740000,5.640000,5.800000,5.800000,13443600
2016-11-01,5.800000,6.180000,1.420000,1.440000,1.440000,49328000
2016-12-01,1.500000,1.730000,1.200000,1.550000,1.550000,51045500
2017-01-01,1.560000,2.380000,1.420000,1.940000,1.940000,31105100
2017-02-01,1.960000,2.450000,1.710000,2.260000,2.260000,21042200
2017-03-01,2.280000,2.420000,1.750000,1.850000,1.850000,12082600
2017-04-01,1.860000,1.930000,1.440000,1.550000,1.550000,14543300
2017-05-01,1.540000,2.040000,1.420000,1.440000,1.440000,17084600
2017-06-01,1.470000,1.900000,1.445000,1.620000,1.620000,22926800
2017-07-01,1.640000,1.900000,1.480000,1.760000,1.760000,13029700
2017-08-01,1.750000,2.950000,1.630000,2.800000,2.800000,25088200
2017-09-01,2.840000,4.417000,2.650000,4.330000,4.330000,34835600
2017-10-01,4.480000,4.540000,3.300000,3.640000,3.640000,16726900
2017-11-01,3.650000,4.100000,3.390000,3.570000,3.570000,16178700
2017-12-01,3.550000,4.040000,3.010000,3.680000,3.680000,25539100
2018-01-01,3.690000,6.750000,3.570000,6.180000,6.180000,57360300
2018-02-01,6.150000,6.800000,4.770000,6.480000,6.480000,24596400
2018-03-01,6.470000,8.090000,6.120000,7.210000,7.210000,38127600
2018-04-01,7.190000,7.415000,6.260000,6.420000,6.420000,20796100
2018-05-01,6.450000,11.570000,6.307000,10.720000,10.720000,39868300
2018-06-01,10.760000,14.240000,9.670000,13.600000,13.600000,51307800
2018-07-01,13.710000,17.500000,12.250000,14.570000,14.570000,40553500
2018-08-01,14.570000,17.187000,13.760000,14.760000,14.760000,30856600
2018-09-01,14.600000,22.389999,13.820000,19.170000,19.170000,59365300
2018-10-01,19.170000,20.309999,11.889000,12.720000,12.720000,72884000
2018-11-01,12.760000,16.090000,11.550000,14.520000,14.520000,33912800
2018-12-01,15.020000,15.470000,10.410000,12.420000,12.420000,35498600
2019-01-01,12.160000,15.283000,11.670000,14.120000,14.120000,34792500
2019-02-01,14.120000,19.879999,12.720000,19.520000,19.520000,36477600
2019-03-01,19.770000,20.600000,17.270000,18.350000,18.350000,31659900
2019-04-01,18.540001,20.280001,17.500000,17.980000,17.980000,26041200
2019-05-01,18.000000,25.495001,17.299999,23.709999,23.709999,70940700
2019-06-01,24.150000,28.840000,23.900000,26.500000,26.500000,38354500
2019-07-01,26.790001,30.730000,25.680000,29.059999,29.059999,23106300
2019-08-01,29.190001,36.799999,27.240000,34.169998,34.169998,28443000
2019-09-01,34.430000,34.889999,25.969999,28.180000,28.180000,30523300
2019-10-01,28.100000,40.650002,27.115000,36.869999,36.869999,33396700
2019-11-01,40.290001,73.720001,38.650002,73.010002,73.010002,44060700
2019-12-01,73.330002,73.629997,60.380001,63.430000,63.430000,67540000
2020-01-01,63.619999,64.000000,40.900002,41.910000,41.910000,38221700
2020-02-01,42.360001,46.419998,33.639999,35.360001,35.360001,30388700
2020-03-01,35.369999,37.150002,19.510000,28.770000,28.770000,43978700
2020-04-01,28.030001,28.620001,25.790001,26.910000,26.910000,1917100
