Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,2.960000,3.540000,2.960000,3.210000,2.945327,487000
2015-05-01,3.280000,3.460000,3.210000,3.350000,3.083242,430800
2015-06-01,3.350000,3.450000,3.200000,3.330000,3.064834,2003600
2015-07-01,3.330000,3.420000,3.310000,3.390000,3.120057,372500
2015-08-01,3.370000,3.420000,3.180000,3.290000,3.037004,401100
2015-09-01,3.200000,3.330000,3.170000,3.240000,2.990850,202500
2015-10-01,3.210000,3.400000,3.130000,3.310000,3.055467,250300
2015-11-01,3.380000,3.400000,3.220000,3.340000,3.092309,177300
2015-12-01,3.400000,3.400000,3.180000,3.200000,2.962690,191800
2016-01-01,3.250000,3.400000,2.980000,3.120000,2.888624,788700
2016-02-01,3.250000,3.250000,3.000000,3.070000,2.842332,184800
2016-03-01,3.060000,3.160000,2.960000,2.990000,2.777080,687600
2016-04-01,2.990000,3.110000,2.900000,3.050000,2.832808,350800
2016-05-01,3.060000,3.340000,2.990000,3.210000,2.981414,368600
2016-06-01,3.200000,3.250000,2.990000,3.020000,2.813602,113700
2016-07-01,3.090000,3.150000,3.000000,3.110000,2.897450,434000
2016-08-01,3.090000,3.240000,3.090000,3.170000,2.953350,566300
2016-09-01,3.200000,3.340000,3.180000,3.320000,3.107945,264700
2016-10-01,3.320000,3.340000,3.190000,3.300000,3.089222,106500
2016-11-01,3.210000,3.650000,3.100000,3.500000,3.276448,286700
2016-12-01,3.550000,3.850000,3.360000,3.700000,3.479490,736800
2017-01-01,3.700000,4.000000,3.480000,3.950000,3.714590,837800
2017-02-01,3.950000,4.050000,3.750000,3.800000,3.573530,863200
2017-03-01,3.850000,3.950000,3.650000,3.750000,3.539784,646800
2017-04-01,3.800000,4.100000,3.700000,4.050000,3.822966,635000
2017-05-01,4.050000,4.200000,3.850000,4.200000,3.964559,921900
2017-06-01,4.200000,4.250000,3.960000,4.150000,3.931923,425800
2017-07-01,4.150000,4.150000,3.850000,3.950000,3.742433,631200
2017-08-01,4.000000,4.100000,3.800000,3.900000,3.695061,578000
2017-09-01,3.950000,4.050000,3.800000,4.000000,3.803894,374300
2017-10-01,4.000000,4.150000,3.850000,4.100000,3.898991,358300
2017-11-01,4.150000,4.300000,3.900000,4.300000,4.089186,361500
2017-12-01,4.250000,4.400000,4.100000,4.150000,3.960856,232300
2018-01-01,4.130000,4.200000,4.000000,4.100000,3.913136,639800
2018-02-01,4.150000,4.250000,4.000000,4.050000,3.865415,248100
2018-03-01,4.100000,4.200000,3.950000,4.000000,3.831542,484400
2018-04-01,4.100000,4.200000,3.950000,4.100000,3.927330,441200
2018-05-01,4.050000,4.350000,4.050000,4.250000,4.071014,503200
2018-06-01,4.250000,4.350000,4.050000,4.100000,3.946122,449400
2018-07-01,4.100000,4.400000,4.070000,4.350000,4.186739,602300
2018-08-01,4.350000,4.550000,4.350000,4.550000,4.379234,740800
2018-09-01,4.550000,4.550000,4.300000,4.300000,4.157301,389000
2018-10-01,4.330000,4.460000,4.230000,4.240000,4.099291,530700
2018-11-01,4.240000,4.390000,4.210000,4.290000,4.147633,242900
2018-12-01,4.290000,4.300000,3.930000,4.030000,3.914639,386900
2019-01-01,4.050000,4.190000,3.950000,4.140000,4.021490,334900
2019-02-01,4.140000,4.240000,4.080000,4.240000,4.118627,483200
2019-03-01,4.230000,4.240000,3.920000,4.020000,3.923882,264000
2019-04-01,4.030000,4.130000,4.020000,4.120000,4.021490,279100
2019-05-01,4.130000,4.230000,4.080000,4.120000,4.021490,354300
2019-06-01,4.160000,4.300000,4.060000,4.150000,4.075029,226700
2019-07-01,4.140000,4.180000,4.080000,4.100000,4.025932,149800
2019-08-01,4.140000,4.250000,4.100000,4.150000,4.075029,373800
2019-09-01,4.230000,4.240000,4.110000,4.140000,4.090149,215000
2019-10-01,4.150000,4.200000,4.110000,4.160000,4.109909,204900
2019-11-01,4.150000,4.200000,4.110000,4.190000,4.139548,162200
2019-12-01,4.190000,4.300000,4.110000,4.200000,4.174514,191200
2020-01-01,4.200000,4.280000,4.100000,4.100000,4.075121,321000
2020-02-01,4.100000,4.160000,4.030000,4.030000,4.030000,306600
2020-03-01,4.010000,4.010000,2.360000,2.620000,2.620000,1096700
2020-04-01,2.620000,2.800000,2.560000,2.590000,2.590000,37700
