Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,5.570000,5.710000,5.450000,5.550000,3.659289,1884500
2015-05-01,5.580000,5.700000,5.500000,5.640000,3.718629,1758500
2015-06-01,5.690000,5.820000,5.500000,5.550000,3.659289,2012400
2015-07-01,5.550000,5.680000,5.480000,5.660000,3.815041,1667500
2015-08-01,5.680000,5.690000,4.870000,5.380000,3.626312,3314500
2015-09-01,5.290000,5.580000,5.120000,5.200000,3.504985,1875900
2015-10-01,5.210000,5.490000,5.140000,5.460000,3.765981,2109700
2015-11-01,5.460000,5.550000,5.310000,5.430000,3.745287,2239200
2015-12-01,5.450000,5.450000,4.980000,5.060000,3.490084,4546200
2016-01-01,5.020000,5.150000,4.270000,4.980000,3.518358,4366100
2016-02-01,5.030000,5.060000,4.680000,4.790000,3.384123,1224300
2016-03-01,4.850000,5.400000,4.810000,5.250000,3.709111,2201000
2016-04-01,5.250000,5.630000,5.100000,5.480000,3.964763,2424700
2016-05-01,5.500000,5.600000,5.270000,5.350000,3.870708,2855900
2016-06-01,5.350000,5.590000,5.320000,5.480000,3.964763,3097600
2016-07-01,5.490000,5.690000,5.470000,5.660000,4.190939,2181400
2016-08-01,5.700000,5.900000,5.460000,5.880000,4.353838,5175700
2016-09-01,5.900000,6.110000,5.870000,5.900000,4.368648,3504600
2016-10-01,5.950000,5.960000,5.610000,5.800000,4.384599,2617400
2016-11-01,5.850000,5.900000,5.500000,5.700000,4.309001,4178100
2016-12-01,5.650000,5.800000,5.100000,5.400000,4.082212,5011800
2017-01-01,5.350000,5.650000,5.300000,5.600000,4.329183,2568000
2017-02-01,5.600000,5.750000,5.400000,5.600000,4.329183,1601900
2017-03-01,5.600000,5.800000,5.550000,5.600000,4.329183,2991800
2017-04-01,5.600000,5.900000,5.550000,5.900000,4.662462,1902600
2017-05-01,5.900000,5.950000,5.690000,5.850000,4.622950,2022100
2017-06-01,5.850000,6.100000,5.830000,5.950000,4.701973,1833300
2017-07-01,5.900000,6.200000,5.850000,6.200000,5.003781,2018500
2017-08-01,6.100000,6.250000,6.000000,6.150000,4.963429,2319900
2017-09-01,6.100000,6.250000,5.950000,6.050000,4.882722,2706700
2017-10-01,6.100000,6.250000,5.950000,6.100000,5.024374,2237000
2017-11-01,6.200000,6.250000,5.950000,6.150000,5.065557,1713200
2017-12-01,6.150000,6.200000,6.000000,6.050000,4.983191,1875100
2018-01-01,6.050000,6.250000,5.950000,6.150000,5.171531,2181100
2018-02-01,6.200000,6.250000,6.000000,6.200000,5.213575,1525200
2018-03-01,6.230000,6.400000,6.150000,6.180000,5.196757,1926400
2018-04-01,6.150000,6.450000,6.150000,6.400000,5.491587,1632300
2018-05-01,6.400000,6.500000,6.200000,6.400000,5.491587,1620700
2018-06-01,6.400000,6.450000,6.280000,6.350000,5.448683,1489200
2018-07-01,6.350000,6.450000,6.300000,6.450000,5.644739,1278400
2018-08-01,6.450000,6.500000,5.250000,5.930000,5.189659,4682000
2018-09-01,5.900000,5.950000,5.650000,5.700000,4.988374,1595800
2018-10-01,5.710000,5.900000,5.170000,5.740000,5.133061,3058000
2018-11-01,5.850000,5.900000,5.550000,5.590000,4.998922,1338400
2018-12-01,5.580000,5.780000,5.400000,5.620000,5.025749,1838700
2019-01-01,5.600000,6.590000,5.540000,6.590000,6.026513,4388500
2019-02-01,6.610000,6.730000,6.470000,6.660000,6.090527,3005200
2019-03-01,6.750000,6.890000,6.650000,6.870000,6.282571,2728000
2019-04-01,6.860000,7.240000,6.690000,7.090000,6.603918,2232500
2019-05-01,7.140000,7.200000,6.670000,7.070000,6.585289,2546600
2019-06-01,7.080000,7.430000,6.980000,7.120000,6.631861,2632300
2019-07-01,7.140000,7.240000,6.960000,7.030000,6.662428,2094100
2019-08-01,7.030000,7.980000,7.010000,7.780000,7.373213,4239600
2019-09-01,7.800000,8.180000,7.520000,8.180000,7.752299,3198200
2019-10-01,8.170000,8.180000,7.580000,7.960000,7.663392,2131100
2019-11-01,7.970000,8.150000,7.240000,7.440000,7.162769,2613800
2019-12-01,7.430000,7.900000,7.310000,7.700000,7.413081,2082600
2020-01-01,7.660000,8.100000,7.500000,8.020000,7.846257,1966400
2020-02-01,8.020000,8.100000,6.850000,6.980000,6.828787,2424600
2020-03-01,7.000000,7.720000,3.760000,5.240000,5.126482,10634800
2020-04-01,5.080000,5.160000,4.720000,4.870000,4.870000,644000
