Date,Open,High,Low,Close,Adj Close,Volume
2019-06-01,19.900000,20.000000,16.260000,18.840000,18.840000,3226900
2019-07-01,18.520000,20.000000,12.650000,12.650000,12.650000,1845500
2019-08-01,12.600000,23.650000,10.290000,19.410000,19.410000,2270100
2019-09-01,18.930000,19.879999,10.750000,12.240000,12.240000,3095300
2019-10-01,12.290000,12.543000,9.590000,11.250000,11.250000,1602600
2019-11-01,11.340000,13.970000,9.510000,9.940000,9.940000,1587000
2019-12-01,9.930000,18.945000,9.850000,15.470000,15.470000,4390200
2020-01-01,15.670000,21.347000,12.220000,18.379999,18.379999,4218500
2020-02-01,20.990000,25.000000,18.750000,23.639999,23.639999,2952800
2020-03-01,24.049999,29.350000,10.881000,16.549999,16.549999,6805700
2020-04-01,15.860000,15.860000,12.980000,13.510000,13.510000,447900
