Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,10.410000,10.580000,7.900000,8.060000,8.060000,25577300
2015-05-01,8.080000,8.950000,7.280000,8.520000,8.520000,21490900
2015-06-01,8.010000,8.800000,7.170000,7.960000,7.960000,33018200
2015-07-01,8.060000,9.910000,7.490000,8.150000,8.150000,22865200
2015-08-01,8.080000,8.290000,5.890000,6.750000,6.750000,29772300
2015-09-01,7.000000,7.790000,4.660000,5.560000,5.560000,34763800
2015-10-01,5.540000,7.040000,4.910000,5.380000,5.380000,52011000
2015-11-01,5.400000,6.400000,5.280000,6.130000,6.130000,25244500
2015-12-01,6.200000,6.230000,4.640000,4.790000,4.790000,31995000
2016-01-01,4.710000,4.900000,3.040000,4.050000,4.050000,23485600
2016-02-01,4.030000,4.260000,3.330000,3.880000,3.880000,15919700
2016-03-01,3.910000,4.390000,2.530000,3.230000,3.230000,34927900
2016-04-01,3.180000,4.000000,3.100000,3.380000,3.380000,22787100
2016-05-01,3.380000,3.380000,1.860000,2.250000,2.250000,24668800
2016-06-01,2.250000,2.990000,2.090000,2.360000,2.360000,27091900
2016-07-01,2.360000,3.100000,2.230000,2.550000,2.550000,19093900
2016-08-01,2.540000,2.920000,2.320000,2.440000,2.440000,14005400
2016-09-01,2.440000,3.000000,2.310000,2.700000,2.700000,13049400
2016-10-01,2.700000,2.700000,2.250000,2.300000,2.300000,11764300
2016-11-01,2.300000,2.400000,1.500000,1.700000,1.700000,12480000
2016-12-01,1.650000,2.200000,1.550000,1.750000,1.750000,19027900
2017-01-01,1.750000,2.000000,1.650000,1.950000,1.950000,6241000
2017-02-01,1.950000,2.100000,1.780000,2.000000,2.000000,10023200
2017-03-01,2.100000,2.150000,1.750000,1.900000,1.900000,9931900
2017-04-01,1.900000,1.950000,1.550000,1.830000,1.830000,7730300
2017-05-01,1.850000,2.550000,1.650000,2.200000,2.200000,21158900
2017-06-01,2.250000,3.050000,2.170000,2.800000,2.800000,13632900
2017-07-01,2.800000,3.600000,2.550000,3.400000,3.400000,11405700
2017-08-01,3.450000,3.450000,2.710000,3.100000,3.100000,8666300
2017-09-01,3.100000,3.150000,2.300000,2.950000,2.950000,9894000
2017-10-01,2.950000,3.100000,2.730000,2.880000,2.880000,11704400
2017-11-01,2.900000,2.950000,2.050000,2.550000,2.550000,13507500
2017-12-01,2.600000,2.980000,2.500000,2.950000,2.950000,11946700
2018-01-01,2.900000,3.080000,2.250000,2.300000,2.300000,12692100
2018-02-01,2.300000,2.550000,1.980000,2.250000,2.250000,8844500
2018-03-01,2.250000,2.310000,1.900000,2.250000,2.250000,9978400
2018-04-01,2.250000,2.300000,1.950000,2.000000,2.000000,4538500
2018-05-01,1.950000,2.600000,1.700000,2.550000,2.550000,10934500
2018-06-01,2.600000,3.200000,2.510000,2.950000,2.950000,12563800
2018-07-01,2.950000,3.050000,2.600000,2.680000,2.680000,5004500
2018-08-01,2.700000,3.000000,2.350000,2.980000,2.980000,9779600
2018-09-01,2.950000,3.100000,2.550000,2.800000,2.800000,8046200
2018-10-01,2.850000,3.960000,2.710000,3.710000,3.710000,17603000
2018-11-01,3.760000,4.140000,2.960000,3.650000,3.650000,12629200
2018-12-01,3.700000,3.940000,2.800000,3.700000,3.700000,10072700
2019-01-01,3.640000,4.650000,3.520000,4.620000,4.620000,15989000
2019-02-01,4.670000,5.110000,4.090000,4.870000,4.870000,11762100
2019-03-01,4.870000,5.370000,4.330000,5.300000,5.300000,25757300
2019-04-01,5.350000,5.370000,4.500000,4.830000,4.830000,22794600
2019-05-01,4.840000,5.210000,4.110000,4.340000,4.340000,20519700
2019-06-01,4.320000,4.760000,4.140000,4.650000,4.650000,24967500
2019-07-01,4.730000,4.800000,3.590000,3.710000,3.710000,20280100
2019-08-01,3.710000,4.500000,3.640000,4.290000,4.290000,13081400
2019-09-01,4.210000,4.930000,4.150000,4.210000,4.210000,10730100
2019-10-01,4.290000,6.120000,4.230000,5.780000,5.780000,23103500
2019-11-01,5.820000,6.920000,5.630000,6.820000,6.820000,33607200
2019-12-01,6.900000,7.210000,6.270000,6.320000,6.320000,33440500
2020-01-01,6.360000,6.390000,5.220000,5.250000,5.250000,25000200
2020-02-01,5.240000,5.610000,4.620000,4.860000,4.860000,17891800
2020-03-01,4.900000,5.080000,2.850000,3.790000,3.790000,31693100
2020-04-01,3.750000,4.000000,3.610000,3.780000,3.780000,1998500
