Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,0.522500,0.539500,0.480000,0.500000,0.422179,4285201
2015-06-01,0.502500,0.510000,0.456300,0.487000,0.419257,4203037
2015-07-01,0.487000,0.533000,0.450000,0.525000,0.451971,6016803
2015-08-01,0.532500,0.532500,0.445000,0.509500,0.438627,3351242
2015-09-01,0.502500,0.509500,0.477800,0.495000,0.426144,1994767
2015-10-01,0.497900,0.530000,0.485300,0.499900,0.430363,3654514
2015-11-01,0.500000,0.506000,0.470100,0.486500,0.418827,3755569
2015-12-01,0.487500,0.494300,0.400000,0.432200,0.372080,3033571
2016-01-01,0.432200,0.432200,0.342500,0.398000,0.342637,3466916
2016-02-01,0.397500,0.400000,0.328500,0.381500,0.328432,6140290
2016-03-01,0.381500,0.429500,0.373000,0.382000,0.328863,2514919
2016-04-01,0.382800,0.409500,0.340000,0.401900,0.345995,2627303
2016-05-01,0.407600,0.407600,0.364800,0.370700,0.319135,2032183
2016-06-01,0.375000,0.377100,0.280300,0.320300,0.283164,1621365
2016-07-01,0.325600,0.340000,0.293200,0.314200,0.277771,1498380
2016-08-01,0.319400,0.334300,0.297400,0.318700,0.281749,1669577
2016-09-01,0.323900,0.338700,0.296500,0.310800,0.274765,1101816
2016-10-01,0.312200,0.358000,0.303400,0.334000,0.295276,2707740
2016-11-01,0.334000,0.346000,0.287400,0.334100,0.295364,3259711
2016-12-01,0.337400,0.380000,0.324600,0.371700,0.328605,3778641
2017-01-01,0.377700,0.430000,0.366200,0.370300,0.327367,5195888
2017-02-01,0.364300,0.388000,0.350200,0.359000,0.317377,1966662
2017-03-01,0.360100,0.387400,0.356800,0.370800,0.327809,3589003
2017-04-01,0.370000,0.374400,0.340000,0.368200,0.325510,1743163
2017-05-01,0.368200,0.385800,0.351500,0.367900,0.325245,3064726
2017-06-01,0.369900,0.374700,0.342000,0.370500,0.336630,2099157
2017-07-01,0.370100,0.384600,0.370000,0.383000,0.347987,1501244
2017-08-01,0.383600,0.424400,0.377000,0.401800,0.365068,7216202
2017-09-01,0.404200,0.421000,0.398100,0.420700,0.382240,2633208
2017-10-01,0.423000,0.468300,0.413900,0.424700,0.385875,6650626
2017-11-01,0.425500,0.454000,0.400500,0.412500,0.374790,4927002
2017-12-01,0.418000,0.418000,0.387300,0.399400,0.362888,2343747
2018-01-01,0.399400,0.446000,0.391000,0.440000,0.399776,9732404
2018-02-01,0.443000,0.488000,0.413000,0.451000,0.409770,8752419
2018-03-01,0.443000,0.476000,0.421000,0.448000,0.407045,5535768
2018-04-01,0.448000,0.468000,0.431000,0.459000,0.417039,4760588
2018-05-01,0.459000,0.477000,0.364000,0.400000,0.363433,10369837
2018-06-01,0.400000,0.420000,0.357000,0.369000,0.357818,2113436
2018-07-01,0.364000,0.400000,0.364000,0.375000,0.363636,2358419
2018-08-01,0.375000,0.383000,0.319000,0.347000,0.336485,2180047
2018-09-01,0.324000,0.346000,0.322000,0.326000,0.316121,1323292
2018-10-01,0.324000,0.334000,0.288000,0.310000,0.300606,1973059
2018-11-01,0.309000,0.318000,0.275000,0.286000,0.277333,1516887
2018-12-01,0.290000,0.324000,0.287000,0.318000,0.308364,2982883
2019-01-01,0.318000,0.362000,0.317000,0.345000,0.334545,3343838
2019-02-01,0.346000,0.363000,0.340000,0.357000,0.346182,3506950
2019-03-01,0.360000,0.363000,0.335000,0.339000,0.328727,1643964
2019-04-01,0.346000,0.355000,0.329000,0.337000,0.326788,1155737
2019-05-01,0.337000,0.343000,0.298000,0.298000,0.288970,1813432
2019-06-01,0.294000,0.316000,0.291000,0.300000,0.300000,888978
2019-07-01,0.304000,0.319000,0.275000,0.292000,0.292000,11185640
2019-08-01,0.292000,0.303000,0.276000,0.298000,0.298000,1708791
2019-09-01,0.294000,0.316000,0.288000,0.298000,0.298000,2533182
2019-10-01,0.301000,0.302000,0.252000,0.270000,0.270000,6440034
2019-11-01,0.270000,0.288000,0.266000,0.280000,0.280000,4455704
2019-12-01,0.283000,0.287000,0.273000,0.283000,0.283000,2392835
2020-01-01,0.283000,0.285000,0.259000,0.260000,0.260000,2867520
2020-02-01,0.256000,0.358000,0.256000,0.286000,0.286000,24510895
2020-03-01,0.290000,0.302000,0.200000,0.227000,0.227000,8065769
2020-04-01,0.224000,0.228000,0.221000,0.228000,0.228000,77643
