Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,17.299999,20.500000,15.050000,18.000000,18.000000,3400
2015-05-01,18.000000,18.500000,12.500000,13.500000,13.500000,115500
2015-06-01,13.500000,19.500000,12.500000,17.049999,17.049999,653600
2015-07-01,17.000000,18.500000,15.000000,15.250000,15.250000,374900
2015-08-01,16.250000,17.000000,6.000000,14.000000,14.000000,8400
2015-09-01,14.750000,15.250000,10.000000,11.500000,11.500000,270100
2015-10-01,11.500000,12.000000,8.000000,8.950000,8.950000,149600
2015-11-01,10.000000,10.000000,8.250000,8.500000,8.500000,114200
2015-12-01,9.850000,9.850000,4.650000,6.750000,6.750000,447800
2016-01-01,6.050000,7.750000,5.150000,5.900000,5.900000,3900
2016-02-01,6.300000,10.900000,5.550000,10.850000,10.850000,5900
2016-03-01,10.900000,27.600000,9.000000,17.000000,17.000000,269900
2016-04-01,17.000000,44.500000,12.500000,33.750000,33.750000,24000
2016-05-01,32.500000,36.250000,14.000000,25.000000,25.000000,874800
2016-06-01,25.000000,25.000000,18.000000,19.049999,19.049999,11500
2016-07-01,19.000000,22.250000,16.500000,18.450001,18.450001,10200
2016-08-01,18.450001,29.950001,13.050000,25.000000,25.000000,33200
2016-09-01,25.000000,26.500000,19.000000,20.549999,20.549999,12500
2016-10-01,20.549999,22.000000,16.450001,18.250000,18.250000,748000
2016-11-01,17.750000,18.200001,10.050000,12.000000,12.000000,22600
2016-12-01,12.000000,14.750000,5.650000,6.900000,6.900000,31600
2017-01-01,7.500000,11.000000,5.000000,10.250000,10.250000,27300
2017-02-01,9.300000,11.250000,9.300000,10.500000,10.500000,7400
2017-03-01,10.000000,12.500000,8.000000,8.500000,8.500000,1068600
2017-04-01,9.750000,9.750000,8.000000,8.750000,8.750000,384900
2017-05-01,8.950000,10.500000,8.050000,9.000000,9.000000,698900
2017-06-01,9.250000,9.750000,8.250000,8.500000,8.500000,241400
2017-07-01,8.950000,24.900000,8.500000,9.000000,9.000000,102700
2017-08-01,20.000000,33.700001,11.000000,12.900000,12.900000,106300
2017-09-01,14.700000,18.500000,10.160000,11.250000,11.250000,79900
2017-10-01,11.100000,11.200000,5.450000,8.000000,8.000000,73200
2017-11-01,7.800000,8.250000,5.300000,6.350000,6.350000,110500
2017-12-01,5.730000,7.000000,4.000000,4.500000,4.500000,100500
2018-01-01,4.510000,15.000000,4.500000,7.990000,7.990000,237400
2018-02-01,8.100000,9.200000,2.800000,3.130000,3.130000,4569500
2018-03-01,2.910000,3.140000,2.514000,2.750000,2.750000,821700
2018-04-01,2.770000,2.891000,1.280000,1.480000,1.480000,1145300
2018-05-01,1.490000,8.650000,1.410000,7.300000,7.300000,212606800
2018-06-01,7.250000,7.400000,5.050000,5.130000,5.130000,18619200
2018-07-01,5.190000,5.220000,2.770000,2.930000,2.930000,8673100
2018-08-01,2.910000,4.870000,2.760000,3.190000,3.190000,22779200
2018-09-01,3.150000,3.640000,2.250000,2.450000,2.450000,4035100
2018-10-01,2.450000,3.800000,1.850000,2.130000,2.130000,29347300
2018-11-01,2.110000,2.720000,2.052000,2.210000,2.210000,6262400
2018-12-01,2.250000,2.268000,1.560000,1.720000,1.720000,4744800
2019-01-01,1.790000,2.950000,1.710000,2.290000,2.290000,24592600
2019-02-01,2.350000,4.250000,2.130000,3.570000,3.570000,36428100
2019-03-01,3.590000,4.150000,2.620000,3.130000,3.130000,20341200
2019-04-01,3.180000,3.510000,2.900000,3.130000,3.130000,9720300
2019-05-01,3.130000,3.150000,2.071000,2.190000,2.190000,6209800
2019-06-01,2.210000,2.850000,2.070000,2.680000,2.680000,3238900
2019-07-01,2.720000,3.180000,2.500000,3.040000,3.040000,3871700
2019-08-01,3.100000,3.150000,2.450000,2.560000,2.560000,2729300
2019-09-01,2.550000,3.050000,2.400000,2.600000,2.600000,3653900
2019-10-01,2.640000,2.720000,2.090000,2.110000,2.110000,2960700
2019-11-01,2.110000,2.150000,1.500000,1.870000,1.870000,6051700
2019-12-01,1.890000,2.200000,1.740000,1.860000,1.860000,4011100
2020-01-01,1.870000,2.150000,1.830000,1.890000,1.890000,3886500
2020-02-01,1.880000,3.400000,1.850000,2.270000,2.270000,39387600
2020-03-01,2.340000,2.580000,1.250000,1.730000,1.730000,8937200
2020-04-01,1.650000,1.722000,1.560000,1.620000,1.620000,323200
