Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,17.940001,21.700001,17.520000,18.370001,18.370001,1720200
2015-05-01,18.360001,19.250000,16.469999,16.709999,16.709999,909600
2015-06-01,16.750000,25.200001,16.660000,19.549999,19.549999,4364100
2015-07-01,19.809999,19.809999,17.959999,19.379999,19.379999,850700
2015-08-01,19.410000,19.840000,17.219999,18.830000,18.830000,1255200
2015-09-01,18.420000,19.110001,17.049999,17.610001,17.610001,1523200
2015-10-01,17.559999,19.620001,16.900000,17.280001,17.280001,1125000
2015-11-01,16.850000,18.240000,15.770000,17.190001,17.190001,900100
2015-12-01,17.200001,17.330000,14.450000,16.750000,16.750000,5816000
2016-01-01,16.440001,17.059999,12.140000,14.370000,14.370000,5111400
2016-02-01,14.240000,15.390000,13.330000,15.250000,15.250000,3166500
2016-03-01,15.400000,16.879999,13.280000,16.620001,16.620001,7694400
2016-04-01,16.469999,18.000000,16.010000,17.549999,17.549999,5430200
2016-05-01,17.620001,19.730000,16.719999,19.620001,19.620001,12692700
2016-06-01,19.750000,19.990000,16.620001,17.820000,17.820000,13278252
2016-07-01,17.820000,20.730000,17.420000,20.350000,20.350000,4081200
2016-08-01,20.330000,21.500000,17.860001,19.940001,19.940001,6346100
2016-09-01,19.920000,20.790001,17.340000,17.730000,17.730000,4402300
2016-10-01,17.620001,18.400000,15.950000,16.549999,16.549999,6943100
2016-11-01,16.650000,19.500000,15.450000,18.850000,18.850000,7217700
2016-12-01,19.000000,20.150000,18.450001,19.500000,19.500000,5196400
2017-01-01,19.650000,20.100000,17.450001,18.700001,18.700001,4649200
2017-02-01,18.700001,21.049999,18.600000,21.000000,21.000000,5235700
2017-03-01,21.000000,23.100000,19.900000,22.600000,22.600000,21095200
2017-04-01,22.600000,23.900000,22.100000,23.299999,23.299999,12014200
2017-05-01,23.400000,23.500000,19.270000,19.500000,19.500000,13849400
2017-06-01,19.650000,22.750000,19.299999,21.850000,21.850000,16901500
2017-07-01,22.049999,22.549999,21.299999,22.000000,22.000000,6201400
2017-08-01,22.100000,22.330000,18.200001,20.299999,20.299999,14488200
2017-09-01,20.299999,21.850000,19.600000,21.350000,21.350000,9930800
2017-10-01,21.250000,21.730000,20.100000,21.450001,21.450001,10305200
2017-11-01,21.650000,23.200001,20.650000,23.100000,23.100000,13890400
2017-12-01,23.100000,25.700001,22.400000,25.299999,25.299999,14176400
2018-01-01,25.350000,25.350000,22.150000,22.400000,22.400000,12227800
2018-02-01,22.350000,22.600000,18.350000,18.750000,18.750000,12430400
2018-03-01,18.799999,20.650000,18.450001,19.549999,19.549999,10558600
2018-04-01,19.549999,20.350000,17.100000,17.250000,17.250000,9271000
2018-05-01,17.250000,20.850000,17.150000,20.350000,20.350000,10008200
2018-06-01,20.549999,21.900000,20.100000,20.850000,20.850000,8198000
2018-07-01,20.650000,22.049999,20.049999,22.000000,22.000000,8076500
2018-08-01,22.000000,23.150000,21.100000,22.500000,22.500000,7923000
2018-09-01,22.350000,22.830000,18.500000,18.650000,18.650000,7363500
2018-10-01,18.750000,19.170000,15.910000,16.740000,16.740000,11765400
2018-11-01,17.830000,18.330000,15.540000,17.010000,17.010000,11939700
2018-12-01,17.250000,17.590000,14.660000,15.480000,15.480000,8213500
2019-01-01,15.280000,17.260000,15.180000,17.160000,17.160000,7291200
2019-02-01,17.110001,19.670000,16.030001,19.129999,19.129999,8692800
2019-03-01,19.350000,19.790001,16.860001,17.670000,17.670000,9712400
2019-04-01,17.820000,20.799999,17.709999,20.580000,20.580000,7324800
2019-05-01,21.650000,23.000000,19.959999,20.030001,20.030001,14509000
2019-06-01,19.969999,21.510000,19.930000,21.200001,21.200001,8070600
2019-07-01,21.610001,21.879999,20.430000,21.150000,21.150000,7768300
2019-08-01,21.160000,25.940001,20.340000,25.430000,25.430000,13238100
2019-09-01,25.100000,26.629999,24.639999,26.180000,26.180000,7232400
2019-10-01,26.330000,28.969999,24.760000,26.990000,26.990000,8776400
2019-11-01,26.990000,30.160000,26.580000,29.610001,29.610001,7105900
2019-12-01,29.709999,29.940001,28.600000,28.690001,28.690001,6725000
2020-01-01,28.719999,31.670000,28.170000,29.190001,29.190001,6136200
2020-02-01,29.400000,31.469999,23.650000,24.530001,24.530001,8989800
2020-03-01,25.340000,26.980000,13.380000,17.730000,17.730000,18553200
2020-04-01,16.900000,17.270000,15.800000,16.760000,16.760000,1329500
