Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,10.000000,14.770000,9.230000,12.220000,12.220000,23962200
2015-06-01,12.390000,13.090000,9.950000,10.770000,10.770000,19357100
2015-07-01,10.600000,10.600000,6.650000,8.310000,8.310000,15508700
2015-08-01,8.260000,8.650000,4.000000,5.120000,5.120000,9780600
2015-09-01,4.950000,5.610000,4.700000,4.820000,4.820000,3502200
2015-10-01,4.760000,8.650000,4.500000,8.640000,8.640000,7534400
2015-11-01,8.540000,9.890000,6.050000,7.810000,7.810000,10433300
2015-12-01,7.800000,9.000000,7.370000,8.210000,8.210000,6162500
2016-01-01,7.850000,7.880000,5.910000,6.600000,6.600000,6270800
2016-02-01,6.500000,6.650000,4.830000,5.900000,5.900000,4106500
2016-03-01,6.030000,6.300000,5.350000,5.840000,5.840000,3665700
2016-04-01,5.740000,6.500000,5.620000,5.780000,5.780000,2210600
2016-05-01,5.760000,6.450000,5.193000,6.420000,6.420000,2775100
2016-06-01,6.330000,7.280000,6.019000,6.490000,6.490000,4285100
2016-07-01,6.510000,7.770000,6.050000,7.070000,7.070000,3033900
2016-08-01,7.120000,13.970000,7.110000,13.190000,13.190000,23586200
2016-09-01,13.400000,15.960000,12.260000,15.090000,15.090000,14637300
2016-10-01,15.030000,18.610001,12.800000,13.240000,13.240000,11298000
2016-11-01,12.980000,16.921000,12.700000,15.090000,15.090000,17448200
2016-12-01,15.090000,15.350000,10.870000,12.070000,12.070000,13330600
2017-01-01,12.050000,14.360000,11.070000,13.110000,13.110000,9347800
2017-02-01,13.220000,16.200001,13.080000,14.380000,14.380000,9836200
2017-03-01,14.390000,15.940000,13.920000,14.940000,14.940000,8988600
2017-04-01,15.050000,17.580000,14.210000,15.270000,15.270000,18116100
2017-05-01,15.360000,23.559999,15.227000,20.549999,20.549999,42059300
2017-06-01,20.340000,25.040001,19.010000,22.170000,22.170000,42416300
2017-07-01,22.230000,34.980000,22.120001,32.459999,32.459999,49211800
2017-08-01,33.209999,35.910000,25.740000,27.190001,27.190001,86576600
2017-09-01,27.650000,40.650002,27.440001,32.759998,32.759998,75112300
2017-10-01,33.090000,37.849998,29.150000,31.389999,31.389999,58796900
2017-11-01,31.590000,36.970001,26.870001,28.350000,28.350000,65163500
2017-12-01,28.200001,33.299999,26.770000,31.559999,31.559999,37194700
2018-01-01,32.029999,39.980000,32.009998,38.950001,38.950001,35275800
2018-02-01,37.340000,38.799999,31.801001,35.160000,35.160000,30975200
2018-03-01,35.169998,52.330002,32.799999,45.880001,45.880001,82534000
2018-04-01,45.169998,51.680000,41.709999,45.990002,45.990002,44837100
2018-05-01,45.810001,62.060001,44.299999,61.310001,61.310001,68112400
2018-06-01,61.889999,67.410004,51.500000,54.700001,54.700001,48398000
2018-07-01,53.299999,65.930000,52.950001,57.849998,57.849998,30762700
2018-08-01,58.459999,60.169998,45.750000,53.389999,53.389999,56165200
2018-09-01,53.130001,53.299999,43.080002,48.580002,48.580002,32680500
2018-10-01,49.299999,49.612000,35.130001,39.810001,39.810001,38198200
2018-11-01,41.000000,46.195000,29.309999,35.270000,35.270000,62437200
2018-12-01,38.009998,38.779999,27.840000,29.209999,29.209999,36079800
2019-01-01,28.230000,36.279999,27.809999,35.799999,35.799999,33491800
2019-02-01,35.799999,39.669998,32.500000,37.450001,37.450001,30674300
2019-03-01,38.500000,43.889999,32.450001,41.540001,41.540001,53656000
2019-04-01,42.689999,48.750000,39.520000,48.500000,48.500000,47535000
2019-05-01,48.740002,49.099998,35.700001,39.230000,39.230000,37725800
2019-06-01,39.220001,52.040001,37.310001,49.860001,49.860001,29004400
2019-07-01,52.450001,56.470001,47.282001,49.610001,49.610001,30837000
2019-08-01,50.000000,50.630001,39.930000,45.759998,45.759998,41939000
2019-09-01,45.000000,50.330002,40.970001,42.700001,42.700001,25740900
2019-10-01,42.919998,46.099998,40.500000,43.520000,43.520000,22640200
2019-11-01,44.439999,45.330002,33.099998,37.970001,37.970001,34986800
2019-12-01,37.580002,37.590000,32.349998,33.119999,33.119999,28667300
2020-01-01,33.990002,37.169998,29.500000,30.110001,30.110001,26564800
2020-02-01,30.049999,33.840000,29.920000,31.719999,31.719999,18407200
2020-03-01,31.590000,32.660000,22.190001,27.940001,27.940001,32092200
2020-04-01,27.120001,28.410000,26.215000,26.480000,26.480000,1746900
