Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,22.600000,23.200001,22.299999,22.480000,20.917540,1251200
2017-05-01,22.650000,23.120001,21.549999,21.860001,20.340635,2318400
2017-06-01,21.830000,23.709999,20.500000,21.879999,20.359241,3158000
2017-07-01,22.000000,22.889999,21.750000,22.840000,21.252518,1138900
2017-08-01,22.889999,23.129999,20.000000,21.469999,19.977739,1919200
2017-09-01,20.940001,23.000000,20.400000,22.920000,21.326956,1898500
2017-10-01,22.870001,24.688000,22.010000,24.360001,22.666872,2137900
2017-11-01,24.510000,25.490000,21.809999,24.400000,22.704090,12374400
2017-12-01,24.490000,27.240000,23.730000,27.120001,25.235037,11503300
2018-01-01,27.360001,28.770000,26.600000,27.980000,26.035265,5647500
2018-02-01,27.910000,29.049999,25.200001,27.420000,25.514185,11872600
2018-03-01,27.350000,29.299999,26.580000,27.230000,25.451548,9819300
2018-04-01,27.059999,30.500000,26.410000,29.230000,27.320921,6430900
2018-05-01,29.260000,30.400000,27.799999,29.209999,27.302227,38050900
2018-06-01,29.389999,31.441999,28.465000,28.870001,27.100689,24709000
2018-07-01,28.709999,29.969999,27.170000,27.230000,25.561195,29301600
2018-08-01,27.280001,28.950001,27.240000,28.250000,26.518682,21179600
2018-09-01,28.170000,28.625000,25.860001,26.120001,24.650951,30994500
2018-10-01,26.260000,26.549999,20.340000,22.059999,20.819294,35721500
2018-11-01,22.110001,22.420000,20.090000,20.510000,19.356470,24421000
2018-12-01,20.610001,20.809999,16.129999,16.780001,15.953100,37523800
2019-01-01,16.750000,19.350000,16.190001,18.750000,17.826017,38072300
2019-02-01,18.770000,20.500000,18.730000,19.990000,19.004911,21935400
2019-03-01,20.049999,20.730000,17.549999,18.549999,17.791159,37876200
2019-04-01,18.780001,23.219999,18.750000,22.750000,21.819345,24406200
2019-05-01,22.840000,23.209999,18.490000,18.500000,17.743204,27270800
2019-06-01,18.469999,21.190001,18.410000,20.799999,20.126554,21850100
2019-07-01,21.129999,21.209999,15.550000,17.139999,16.585052,38342400
2019-08-01,17.040001,17.200001,14.660000,15.370000,14.872363,26443400
2019-09-01,15.150000,18.280001,14.800000,17.540001,17.170179,64205800
2019-10-01,17.690001,18.225000,15.160000,15.380000,15.055720,43594400
2019-11-01,15.570000,16.910000,15.490000,16.510000,16.161896,26039300
2019-12-01,16.629999,18.230000,15.580000,18.129999,17.940468,30671800
2020-01-01,18.200001,18.240000,15.550000,15.630000,15.466604,31103600
2020-02-01,15.810000,17.209999,13.760000,14.120000,13.972389,32002900
2020-03-01,14.160000,14.790000,5.000000,6.550000,6.550000,61776300
2020-04-01,6.240000,6.390000,4.630000,4.770000,4.770000,6409500
