Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,12.060000,12.240000,10.020000,12.000000,12.000000,8400
2015-05-01,11.700000,12.600000,5.700000,8.400000,8.400000,179900
2015-06-01,8.580000,8.640000,6.900000,8.100000,8.100000,16200
2015-07-01,8.100000,10.140000,7.980000,9.660000,9.660000,55400
2015-08-01,9.660000,9.900000,5.160000,6.000000,6.000000,18800
2015-09-01,6.000000,6.000000,3.660000,4.740000,4.740000,22500
2015-10-01,4.740000,4.740000,1.740000,3.000000,3.000000,170000
2015-11-01,3.120000,3.120000,1.860000,2.100000,2.100000,68200
2015-12-01,2.100000,3.120000,1.800000,2.160000,2.160000,112100
2016-01-01,2.160000,2.520000,1.800000,1.920000,1.920000,34300
2016-02-01,1.920000,3.000000,1.500000,3.000000,3.000000,65600
2016-03-01,3.000000,3.480000,2.160000,3.120000,3.120000,36200
2016-04-01,3.300000,4.620000,3.180000,4.020000,4.020000,77300
2016-05-01,4.020000,4.200000,1.980000,4.020000,4.020000,105400
2016-06-01,4.020000,5.280000,2.520000,3.900000,3.900000,68200
2016-07-01,3.600000,7.620000,3.600000,6.540000,6.540000,265700
2016-08-01,6.420000,8.880000,5.520000,8.340000,8.340000,115500
2016-09-01,8.580000,9.300000,4.440000,5.640000,5.640000,161100
2016-10-01,5.640000,6.720000,4.800000,5.640000,5.640000,65600
2016-11-01,5.640000,7.440000,4.740000,7.080000,7.080000,137400
2016-12-01,7.200000,7.680000,5.100000,5.340000,5.340000,91500
2017-01-01,5.400000,7.680000,4.980000,7.680000,7.680000,110600
2017-02-01,7.620000,8.940000,6.360000,7.320000,7.320000,128700
2017-03-01,7.500000,12.180000,6.960000,9.720000,9.720000,203400
2017-04-01,9.780000,14.000000,4.850000,5.150000,5.150000,433700
2017-05-01,5.150000,5.400000,3.560000,3.980000,3.980000,1599100
2017-06-01,3.950000,4.770000,3.860000,4.570000,4.570000,799700
2017-07-01,4.590000,4.630000,4.170000,4.340000,4.340000,669100
2017-08-01,4.320000,5.260000,3.760000,5.140000,5.140000,961000
2017-09-01,5.080000,5.440000,4.830000,4.870000,4.870000,952500
2017-10-01,4.870000,4.980000,3.340000,3.750000,3.750000,1166800
2017-11-01,3.580000,4.300000,3.370000,3.570000,3.570000,1415100
2017-12-01,3.540000,3.900000,3.300000,3.750000,3.750000,884200
2018-01-01,3.750000,5.370000,3.650000,5.000000,5.000000,1693700
2018-02-01,5.010000,5.050000,4.030000,4.860000,4.860000,1003300
2018-03-01,4.820000,5.790000,4.210000,4.800000,4.800000,1340000
2018-04-01,4.800000,5.350000,4.610000,5.200000,5.200000,417400
2018-05-01,5.080000,7.400000,4.880000,6.790000,6.790000,1112700
2018-06-01,6.820000,8.880000,6.240000,6.720000,6.720000,1199800
2018-07-01,6.890000,7.720000,6.270000,6.950000,6.950000,454900
2018-08-01,6.900000,9.800000,6.500000,9.080000,9.080000,956900
2018-09-01,9.000000,14.290000,8.700000,12.850000,12.850000,2162300
2018-10-01,12.850000,13.250000,7.510000,9.480000,9.480000,1993700
2018-11-01,9.600000,12.190000,8.830000,11.710000,11.710000,1110800
2018-12-01,12.000000,12.470000,8.950000,9.370000,9.370000,1226400
2019-01-01,9.300000,13.340000,8.710000,11.180000,11.180000,1926900
2019-02-01,11.120000,12.930000,9.630000,10.090000,10.090000,1882400
2019-03-01,10.090000,15.010000,9.500000,12.230000,12.230000,3628900
2019-04-01,12.420000,16.000000,12.230000,15.520000,15.520000,2569400
2019-05-01,15.390000,20.830000,14.380000,17.760000,17.760000,3615500
2019-06-01,17.750000,19.299999,16.719999,19.219999,19.219999,2954200
2019-07-01,19.200001,20.350000,15.880000,17.420000,17.420000,3250700
2019-08-01,17.309999,17.860001,12.890000,14.040000,14.040000,2837400
2019-09-01,13.920000,18.500000,13.620000,15.760000,15.760000,2448200
2019-10-01,15.720000,16.070000,12.810000,15.610000,15.610000,2214500
2019-11-01,15.600000,15.970000,14.000000,15.400000,15.400000,1773800
2019-12-01,15.550000,18.610001,14.900000,16.309999,16.309999,2158200
2020-01-01,16.600000,17.840000,14.590000,17.120001,17.120001,1798300
2020-02-01,17.150000,18.900000,14.610000,15.120000,15.120000,2158700
2020-03-01,15.400000,16.730000,8.550000,15.230000,15.230000,4909000
2020-04-01,14.370000,16.360001,13.690000,16.080000,16.080000,878800
