Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,16.910000,17.990000,16.910000,17.180000,14.891685,290400
2015-05-01,17.170000,17.570000,16.570000,16.620001,14.406277,396300
2015-06-01,16.780001,18.750000,16.620001,18.400000,16.105598,988600
2015-07-01,18.450001,18.750000,17.200001,17.379999,15.212786,983900
2015-08-01,17.480000,18.000000,16.389999,17.049999,14.923935,300000
2015-09-01,16.809999,18.670000,16.750000,18.170000,16.062984,747500
2015-10-01,18.270000,18.760000,17.520000,18.740000,16.566885,536400
2015-11-01,18.680000,18.820000,18.180000,18.750000,16.575731,366600
2015-12-01,18.709999,18.750000,16.770000,18.030001,16.080730,798300
2016-01-01,17.830000,18.209999,16.510000,18.190001,16.223429,412300
2016-02-01,18.150000,18.490000,17.020000,17.730000,15.813163,372400
2016-03-01,17.940001,18.379999,17.480000,17.590000,15.835589,851500
2016-04-01,17.600000,18.410000,17.049999,17.889999,16.105665,1035800
2016-05-01,17.850000,18.139999,17.270000,17.850000,16.069654,452600
2016-06-01,17.629999,18.290001,17.070000,17.799999,16.174915,599800
2016-07-01,17.559999,18.900000,17.330000,18.450001,16.765570,379400
2016-08-01,18.340000,20.309999,18.190001,20.150000,18.310362,325100
2016-09-01,20.139999,21.700001,19.510000,21.160000,19.388025,363000
2016-10-01,21.020000,21.120001,18.010000,19.549999,17.912849,580000
2016-11-01,19.559999,25.530001,19.530001,23.260000,21.312170,956400
2016-12-01,23.330000,28.430000,23.209999,26.740000,24.666943,719200
2017-01-01,26.799999,27.000000,22.959999,23.459999,21.641228,446300
2017-02-01,23.750000,26.280001,23.370001,24.030001,22.167040,1502800
2017-03-01,24.180000,25.780001,22.549999,23.889999,22.186096,2739300
2017-04-01,23.980000,26.070000,22.100000,23.889999,22.186096,1763900
2017-05-01,23.820000,25.139999,20.910000,21.440001,19.910839,1269000
2017-06-01,21.180000,24.309999,21.070000,23.969999,22.429533,1026500
2017-07-01,24.090000,26.750000,24.010000,24.520000,22.944191,402300
2017-08-01,26.410000,26.690001,23.500000,24.160000,22.607328,641300
2017-09-01,24.440001,27.680000,23.820000,24.330000,22.920897,558900
2017-10-01,27.330000,29.760000,27.020000,28.750000,27.084902,967500
2017-11-01,29.090000,29.430000,26.330000,28.480000,26.830542,534700
2017-12-01,28.440001,29.549999,25.920000,26.240000,24.861238,1012800
2018-01-01,26.760000,29.420000,26.420000,26.930000,25.514986,615600
2018-02-01,26.780001,28.440001,25.250000,26.879999,25.467609,495400
2018-03-01,26.850000,31.459999,26.299999,29.090000,27.727671,488000
2018-04-01,28.260000,29.930000,28.010000,28.360001,27.031860,509600
2018-05-01,28.420000,31.320000,28.000000,30.389999,28.966791,482800
2018-06-01,30.500000,32.860001,29.969999,30.059999,28.806217,480500
2018-07-01,29.930000,32.029999,29.930000,31.010000,29.716591,340100
2018-08-01,30.750000,32.410000,30.620001,30.830000,29.544098,288600
2018-09-01,30.730000,32.410000,28.410000,28.860001,27.808176,322000
2018-10-01,29.030001,29.480000,25.270000,25.600000,24.666988,438000
2018-11-01,25.520000,27.250000,25.299999,26.660000,25.688356,372200
2018-12-01,26.799999,27.000000,21.430000,22.950001,22.253269,543600
2019-01-01,22.870001,25.959999,22.870001,25.270000,24.502838,286400
2019-02-01,25.420000,29.160000,25.309999,27.799999,26.956026,272100
2019-03-01,28.059999,28.400000,23.400000,25.270000,24.652138,487600
2019-04-01,25.389999,28.700001,25.150000,28.480000,27.783651,362600
2019-05-01,28.500000,30.049999,24.610001,24.750000,24.144854,289200
2019-06-01,24.500000,28.840000,24.400000,28.240000,27.728687,541800
2019-07-01,28.709999,29.219999,25.219999,28.219999,27.709047,349500
2019-08-01,28.650000,29.270000,25.430000,26.440001,25.961277,428200
2019-09-01,26.650000,30.540001,26.070000,28.700001,28.363838,516200
2019-10-01,28.809999,32.450001,27.379999,31.270000,30.903734,404700
2019-11-01,31.250000,33.779999,30.520000,31.660000,31.289165,620200
2019-12-01,31.840000,33.680000,30.750000,32.680000,32.474163,460600
2020-01-01,32.810001,33.380001,29.540001,29.559999,29.373814,497300
2020-02-01,29.629999,30.150000,24.400000,25.070000,24.912094,505400
2020-03-01,24.920000,26.760000,15.820000,18.870001,18.870001,1271500
2020-04-01,17.959999,18.400000,16.299999,16.740000,16.740000,136100
