Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,10.540000,12.780000,10.540000,11.790000,10.910687,1764500
2015-05-01,11.800000,12.440000,10.740000,11.350000,10.503504,1680300
2015-06-01,11.490000,11.760000,10.690000,11.330000,10.484995,2146200
2015-07-01,11.470000,11.480000,8.650000,9.000000,8.379089,2521600
2015-08-01,9.020000,10.700000,8.510000,9.680000,9.012177,3791000
2015-09-01,9.420000,9.950000,7.930000,8.190000,7.624972,5165700
2015-10-01,8.220000,9.400000,7.810000,8.920000,8.368835,2908600
2015-11-01,8.890000,11.120000,8.370000,8.690000,8.153046,3103100
2015-12-01,8.700000,8.750000,6.870000,7.680000,7.205454,3872100
2016-01-01,7.580000,7.850000,6.660000,7.800000,7.387296,3562700
2016-02-01,7.770000,7.830000,6.040000,6.210000,5.881423,3229800
2016-03-01,6.280000,7.090000,5.600000,6.210000,5.881423,5011500
2016-04-01,6.140000,6.750000,5.920000,6.600000,6.318933,3415200
2016-05-01,6.640000,8.320000,6.270000,8.150000,7.802926,3680400
2016-06-01,8.080000,8.870000,8.040000,8.740000,8.367799,3432000
2016-07-01,8.740000,9.490000,8.500000,9.250000,8.926639,1848700
2016-08-01,9.240000,11.750000,8.930000,10.990000,10.605811,4627300
2016-09-01,11.000000,11.410000,10.440000,11.280000,10.885674,3872600
2016-10-01,11.300000,11.450000,9.810000,9.900000,9.613437,1890600
2016-11-01,9.880000,14.410000,9.530000,14.190000,13.779259,6295900
2016-12-01,14.080000,14.880000,13.510000,13.950000,13.546206,4516000
2017-01-01,14.010000,14.460000,11.710000,13.120000,12.799388,4641000
2017-02-01,13.170000,13.280000,10.930000,11.300000,11.023864,5039400
2017-03-01,11.400000,12.250000,9.840000,10.510000,10.253168,6069700
2017-04-01,10.550000,11.840000,10.260000,11.290000,11.095292,2648500
2017-05-01,11.380000,12.030000,8.940000,9.400000,9.237887,5024000
2017-06-01,9.400000,9.890000,9.050000,9.180000,9.021682,3021800
2017-07-01,9.210000,10.690000,9.210000,9.660000,9.568868,2325600
2017-08-01,9.670000,9.990000,6.940000,7.470000,7.399528,3634100
2017-09-01,7.460000,8.760000,7.360000,8.460000,8.380189,2599000
2017-10-01,8.470000,9.410000,8.380000,8.770000,8.770000,2842300
2017-11-01,8.820000,8.840000,5.150000,5.410000,5.410000,6715600
2017-12-01,5.410000,5.420000,4.680000,5.130000,5.130000,5214300
2018-01-01,5.140000,5.420000,4.500000,4.530000,4.530000,3247600
2018-02-01,4.510000,5.290000,4.020000,4.110000,4.110000,3484100
2018-03-01,4.120000,5.420000,4.000000,4.450000,4.450000,3725300
2018-04-01,4.420000,4.990000,4.370000,4.700000,4.700000,2575000
2018-05-01,4.680000,6.680000,4.430000,5.710000,5.710000,4538700
2018-06-01,5.730000,7.030000,5.710000,6.140000,6.140000,2765100
2018-07-01,6.110000,7.060000,6.080000,6.870000,6.870000,1688200
2018-08-01,6.880000,9.180000,6.690000,8.440000,8.440000,2785900
2018-09-01,8.420000,8.560000,7.720000,7.880000,7.880000,1120200
2018-10-01,7.910000,8.160000,6.960000,7.440000,7.440000,1354600
2018-11-01,7.450000,8.580000,7.450000,8.310000,8.310000,1987600
2018-12-01,8.380000,8.690000,6.440000,6.750000,6.750000,2372700
2019-01-01,6.740000,7.510000,6.500000,6.880000,6.880000,1623700
2019-02-01,6.910000,7.740000,6.770000,7.620000,7.620000,1292400
2019-03-01,7.680000,7.970000,6.850000,7.200000,7.200000,2026400
2019-04-01,7.310000,7.950000,7.140000,7.760000,7.760000,1634800
2019-05-01,7.790000,9.800000,7.560000,8.850000,8.850000,2796700
2019-06-01,8.820000,9.630000,8.510000,9.590000,9.590000,3373400
2019-07-01,9.690000,9.840000,8.620000,9.230000,9.230000,3450900
2019-08-01,9.190000,9.510000,6.660000,6.950000,6.950000,3180700
2019-09-01,6.910000,7.770000,6.760000,6.990000,6.990000,1902000
2019-10-01,7.010000,7.110000,6.530000,6.860000,6.860000,2385600
2019-11-01,6.900000,8.180000,6.860000,7.870000,7.870000,1127700
2019-12-01,7.890000,8.370000,7.500000,7.660000,7.660000,1364000
2020-01-01,7.650000,8.190000,7.260000,7.600000,7.600000,1200400
2020-02-01,7.650000,7.990000,6.660000,6.750000,6.750000,1156600
2020-03-01,6.750000,7.200000,3.530000,4.670000,4.670000,2926200
2020-04-01,4.500000,4.700000,4.360000,4.670000,4.670000,183500
