Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,7.930000,8.250000,7.390000,7.430000,7.430000,8471300
2015-05-01,7.420000,8.770000,7.200000,7.610000,7.610000,14449100
2015-06-01,7.600000,8.090000,7.520000,7.840000,7.840000,17544600
2015-07-01,7.870000,8.450000,7.570000,8.310000,8.310000,11835700
2015-08-01,8.330000,8.840000,7.030000,7.550000,7.550000,25094500
2015-09-01,7.280000,8.070000,6.900000,7.210000,7.210000,11598300
2015-10-01,7.240000,7.600000,6.740000,6.900000,6.900000,7345200
2015-11-01,6.900000,8.030000,6.550000,7.260000,7.260000,10176900
2015-12-01,7.280000,7.480000,6.640000,6.730000,6.730000,6744100
2016-01-01,6.670000,6.670000,5.460000,5.800000,5.800000,10691800
2016-02-01,5.740000,5.830000,3.150000,4.290000,4.290000,26044100
2016-03-01,4.340000,4.600000,4.030000,4.460000,4.460000,11002400
2016-04-01,4.380000,4.760000,4.260000,4.540000,4.540000,7413800
2016-05-01,4.590000,4.980000,4.260000,4.880000,4.880000,10989300
2016-06-01,4.880000,5.130000,4.580000,5.000000,5.000000,8154500
2016-07-01,5.020000,5.810000,4.820000,5.390000,5.390000,6204100
2016-08-01,5.420000,7.060000,5.400000,6.730000,6.730000,13033500
2016-09-01,6.720000,7.290000,6.650000,7.090000,7.090000,12752600
2016-10-01,7.050000,7.330000,6.590000,6.650000,6.650000,10911400
2016-11-01,6.680000,8.570000,6.510000,8.090000,8.090000,18051700
2016-12-01,8.140000,8.380000,7.300000,7.380000,7.380000,9693600
2017-01-01,7.420000,7.710000,7.050000,7.190000,7.190000,7362800
2017-02-01,7.200000,8.300000,6.840000,7.900000,7.900000,10360300
2017-03-01,8.040000,8.470000,7.810000,8.440000,8.440000,8911100
2017-04-01,8.460000,9.070000,8.040000,9.010000,9.010000,9919900
2017-05-01,9.050000,12.190000,8.970000,12.000000,12.000000,39508400
2017-06-01,11.980000,13.100000,11.530000,12.290000,12.290000,32177100
2017-07-01,12.300000,15.370000,11.930000,13.850000,13.850000,23083900
2017-08-01,13.330000,15.950000,13.210000,14.190000,14.190000,35222100
2017-09-01,14.200000,15.360000,13.520000,14.840000,14.840000,18355000
2017-10-01,14.830000,16.500000,14.250000,15.510000,15.510000,22527600
2017-11-01,15.640000,15.660000,13.750000,15.210000,15.210000,21659000
2017-12-01,15.160000,16.670000,13.830000,16.320000,16.320000,15496900
2018-01-01,16.350000,17.420000,15.790000,17.320000,17.320000,12369100
2018-02-01,17.250000,20.780001,15.470000,19.910000,19.910000,32512700
2018-03-01,19.930000,23.219999,19.420000,20.660000,20.660000,36377500
2018-04-01,20.660000,23.900000,19.770000,23.209999,23.209999,29214800
2018-05-01,22.690001,28.150000,21.379999,27.969999,27.969999,31129900
2018-06-01,28.150000,29.760000,26.370001,27.790001,27.790001,31631700
2018-07-01,27.530001,29.840000,25.379999,27.700001,27.700001,24860900
2018-08-01,27.590000,32.709999,26.760000,32.380001,32.380001,22893200
2018-09-01,32.360001,32.820000,26.540001,28.430000,28.430000,26772700
2018-10-01,28.500000,29.490000,22.670000,27.280001,27.280001,36586600
2018-11-01,26.379999,28.330000,23.209999,27.950001,27.950001,28998300
2018-12-01,28.500000,30.350000,25.160000,28.420000,28.420000,22496600
2019-01-01,28.000000,35.590000,27.580000,35.220001,35.220001,27676200
2019-02-01,35.099998,40.000000,33.250000,39.630001,39.630001,38481600
2019-03-01,39.849998,41.689999,36.070000,38.119999,38.119999,56479300
2019-04-01,38.070000,40.299999,35.650002,35.650002,35.650002,39874400
2019-05-01,35.869999,38.040001,34.529999,37.459999,37.459999,37295700
2019-06-01,37.349998,40.639999,35.520000,38.590000,38.590000,24863900
2019-07-01,39.430000,48.220001,39.070000,44.919998,44.919998,40518300
2019-08-01,44.759998,45.740002,39.049999,39.639999,39.639999,31946500
2019-09-01,39.299999,39.810001,29.340000,29.950001,29.950001,44189600
2019-10-01,30.090000,33.160000,28.290001,30.660000,30.660000,35095700
2019-11-01,30.770000,39.730000,29.170000,38.770000,38.770000,32195500
2019-12-01,38.840000,39.450001,36.759998,37.910000,37.910000,17170300
2020-01-01,38.090000,43.869999,37.810001,41.230000,41.230000,26006200
2020-02-01,41.419998,44.900002,35.880001,39.209999,39.209999,40792900
2020-03-01,39.410000,40.750000,25.889999,35.779999,35.779999,54672800
2020-04-01,34.950001,35.369999,32.529999,34.250000,34.250000,5179600
