Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,11.750000,12.000000,9.980000,10.940000,10.940000,4732500
2018-07-01,10.900000,11.750000,7.430000,7.570000,7.570000,2005800
2018-08-01,7.500000,8.400000,6.275000,7.330000,7.330000,3010900
2018-09-01,7.320000,7.960000,5.270000,7.900000,7.900000,3888400
2018-10-01,8.020000,8.760000,6.825000,7.510000,7.510000,2327600
2018-11-01,7.510000,7.890000,6.020000,6.510000,6.510000,1441400
2018-12-01,6.560000,8.650000,6.080000,8.350000,8.350000,1458000
2019-01-01,8.250000,8.400000,6.350000,7.160000,7.160000,1234100
2019-02-01,7.150000,7.850000,6.060000,6.060000,6.060000,739400
2019-03-01,6.420000,7.980000,6.080000,6.400000,6.400000,1819900
2019-04-01,6.364000,7.440000,6.030000,7.040000,7.040000,955100
2019-05-01,7.000000,7.235000,3.950000,4.660000,4.660000,3378500
2019-06-01,4.590000,5.930000,4.420000,5.500000,5.500000,1099300
2019-07-01,5.550000,5.730000,4.900000,5.200000,5.200000,522200
2019-08-01,5.180000,5.460000,2.440000,2.840000,2.840000,581300
2019-09-01,2.905000,2.905000,2.090000,2.120000,2.120000,874500
2019-10-01,2.100000,2.190000,1.765000,1.910000,1.910000,803700
2019-11-01,1.920000,2.610000,1.840000,2.340000,2.340000,693700
2019-12-01,2.360000,2.570000,2.010000,2.440000,2.440000,708200
2020-01-01,2.500000,3.150000,1.980000,2.000000,2.000000,886900
2020-02-01,2.070000,2.250000,1.890000,2.210000,2.210000,392900
2020-03-01,2.290000,2.720000,1.280000,1.710000,1.710000,784700
2020-04-01,1.650000,1.850000,1.360000,1.500000,1.500000,146600
