Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,9.410000,9.930000,8.820000,9.010000,8.877913,5257500
2015-05-01,9.020000,9.990000,8.810000,9.260000,9.124250,4080400
2015-06-01,9.320000,10.190000,9.090000,9.240000,9.104543,4316200
2015-07-01,9.330000,10.200000,8.710000,9.490000,9.350877,4935800
2015-08-01,9.470000,9.540000,7.010000,7.450000,7.340784,6934200
2015-09-01,7.350000,7.570000,6.210000,6.280000,6.187936,5151300
2015-10-01,6.310000,6.940000,5.010000,5.540000,5.458784,5936000
2015-11-01,5.540000,5.630000,3.800000,4.870000,4.798605,9958200
2015-12-01,4.860000,4.900000,4.260000,4.420000,4.355203,4180300
2016-01-01,4.380000,4.700000,3.850000,4.540000,4.473444,3359700
2016-02-01,4.500000,4.560000,3.950000,4.300000,4.236962,1916600
2016-03-01,4.350000,5.190000,4.150000,4.520000,4.453737,2858800
2016-04-01,4.460000,4.610000,4.220000,4.250000,4.187696,1918500
2016-05-01,4.250000,4.430000,3.950000,4.170000,4.108869,2283500
2016-06-01,4.120000,4.480000,3.930000,4.140000,4.079308,4635000
2016-07-01,4.110000,4.580000,4.110000,4.210000,4.148282,1855500
2016-08-01,4.230000,4.960000,4.150000,4.600000,4.532564,1812700
2016-09-01,4.600000,5.210000,4.600000,5.140000,5.064648,1238400
2016-10-01,5.140000,5.210000,4.750000,4.950000,4.877434,1395100
2016-11-01,5.200000,6.430000,5.030000,6.150000,6.059842,4389900
2016-12-01,6.200000,6.850000,5.250000,5.350000,5.271569,1476000
2017-01-01,5.300000,6.230000,5.300000,5.600000,5.517905,1479400
2017-02-01,5.650000,6.100000,5.000000,5.550000,5.468637,1342800
2017-03-01,5.600000,5.730000,5.000000,5.450000,5.370103,1822400
2017-04-01,5.400000,5.600000,5.100000,5.250000,5.173036,1147700
2017-05-01,5.300000,6.000000,5.200000,5.950000,5.862773,1293400
2017-06-01,6.000000,7.100000,5.950000,6.650000,6.552512,5057200
2017-07-01,6.600000,6.900000,6.150000,6.500000,6.404711,1766100
2017-08-01,6.500000,7.600000,5.200000,7.250000,7.143715,2371500
2017-09-01,7.250000,7.800000,6.800000,7.500000,7.390051,1929500
2017-10-01,7.750000,7.950000,6.950000,7.300000,7.192983,1121400
2017-11-01,7.300000,7.850000,6.750000,7.700000,7.587120,1320400
2017-12-01,7.750000,8.000000,7.500000,7.850000,7.734920,1328400
2018-01-01,7.850000,7.940000,6.850000,7.450000,7.340784,711600
2018-02-01,7.400000,7.800000,6.650000,6.700000,6.601778,1548000
2018-03-01,6.650000,7.650000,6.350000,6.750000,6.651046,1933600
2018-04-01,6.700000,7.250000,6.500000,7.150000,7.045182,1277600
2018-05-01,7.150000,7.600000,6.950000,7.350000,7.242250,1664000
2018-06-01,7.350000,8.350000,7.250000,8.250000,8.129056,1734200
2018-07-01,8.200000,9.100000,7.850000,9.000000,8.868060,1012900
2018-08-01,9.050000,11.000000,8.800000,10.350000,10.198271,3440300
2018-09-01,10.350000,11.300000,9.660000,11.050000,10.914119,2305100
2018-10-01,11.560000,12.000000,8.970000,9.800000,9.679490,2907900
2018-11-01,9.820000,11.930000,9.820000,11.320000,11.180798,2636300
2018-12-01,11.400000,11.650000,8.740000,10.120000,10.021117,2115200
2019-01-01,9.990000,11.800000,9.760000,11.190000,11.080664,3378200
2019-02-01,11.230000,12.290000,10.670000,12.180000,12.088021,2447900
2019-03-01,12.300000,13.460000,11.520000,12.810000,12.713264,2965100
2019-04-01,12.880000,13.730000,12.430000,13.420000,13.318657,2722600
2019-05-01,13.410000,14.900000,12.470000,12.750000,12.653716,3700400
2019-06-01,12.690000,14.670000,12.530000,14.440000,14.357096,3280900
2019-07-01,14.570000,15.100000,13.620000,14.370000,14.287498,3480700
2019-08-01,14.350000,14.560000,8.560000,11.010000,10.946789,5656800
2019-09-01,10.970000,12.390000,10.880000,11.730000,11.683518,2772700
2019-10-01,11.770000,12.930000,10.940000,12.750000,12.699475,2902800
2019-11-01,12.800000,12.950000,10.790000,12.590000,12.540111,3786100
2019-12-01,12.640000,14.110000,11.960000,13.560000,13.535237,2189300
2020-01-01,13.650000,13.740000,12.730000,13.220000,13.195858,2124300
2020-02-01,13.320000,13.730000,11.170000,11.560000,11.560000,1608200
2020-03-01,11.550000,12.440000,7.880000,9.800000,9.800000,4346100
2020-04-01,9.380000,9.790000,8.950000,9.660000,9.660000,310400
