Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,25.090000,25.500000,24.879999,25.290001,24.083115,1752500
2018-01-01,25.530001,27.799999,25.190001,26.520000,25.255415,2289500
2018-02-01,26.680000,26.690001,24.160000,25.940001,24.703075,6733300
2018-03-01,27.150000,27.360001,24.549999,25.070000,23.874561,1214500
2018-04-01,24.420000,25.790001,24.370001,25.330000,24.195509,1209100
2018-05-01,25.200001,26.010000,24.730000,25.230000,24.099987,2955100
2018-06-01,25.670000,27.020000,24.540001,25.020000,23.899395,5866900
2018-07-01,24.700001,26.070000,24.700001,25.992001,24.911777,1681900
2018-08-01,26.040001,26.549999,25.625000,26.219000,25.129343,3245300
2018-09-01,26.250000,26.690001,25.889999,26.090000,25.005703,3033000
2018-10-01,26.200001,27.280001,23.180000,24.173000,23.306553,10379000
2018-11-01,24.190001,25.180000,23.490000,24.309999,23.438639,5267600
2018-12-01,24.709999,24.709999,20.190001,21.330000,20.565456,7072800
2019-01-01,21.360001,23.590000,21.129999,23.545000,22.825453,6463600
2019-02-01,23.559999,24.627001,23.410000,24.150000,23.411964,4299800
2019-03-01,24.250000,24.537001,23.230000,23.650000,22.927246,2665300
2019-04-01,23.740000,24.719999,23.740000,24.709999,24.097445,1695200
2019-05-01,24.655001,24.709999,22.889999,22.889999,22.322563,4306600
2019-06-01,22.950001,24.590000,22.900000,24.590000,23.980421,2783800
2019-07-01,24.910000,25.730000,24.792999,25.320000,24.798647,1874600
2019-08-01,25.520000,25.541000,23.600000,24.287001,23.786919,175300
2019-09-01,24.046000,25.500000,24.046000,24.973000,24.458794,1859500
2019-10-01,24.820000,25.670000,23.818001,25.370001,25.011597,1860600
2019-11-01,25.662001,26.664000,25.650000,26.558001,26.182814,281900
2019-12-01,26.440001,27.299999,25.983000,27.010000,26.628429,2219300
2020-01-01,27.040001,27.500000,26.115999,26.219999,26.005199,1126400
2020-02-01,26.379999,27.757999,23.200001,23.459999,23.267809,545300
2020-03-01,23.945000,24.941999,16.230000,19.270000,19.112137,208700
2020-04-01,18.528999,18.528999,18.320000,18.410000,18.410000,5300
