Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,43.500000,45.299999,28.500000,35.099998,35.099998,648700
2015-05-01,35.400002,37.200001,31.200001,36.000000,36.000000,225600
2015-06-01,36.000000,44.099998,33.299999,34.200001,34.200001,298500
2015-07-01,34.500000,34.799999,24.299999,27.299999,27.299999,346700
2015-08-01,26.700001,28.200001,21.900000,22.500000,22.500000,232200
2015-09-01,22.500000,27.000000,17.700001,19.200001,19.200001,153400
2015-10-01,19.500000,26.700001,18.600000,20.400000,20.400000,114000
2015-11-01,20.400000,24.600000,20.400000,21.900000,21.900000,91000
2015-12-01,21.000000,26.700001,15.600000,26.700001,26.700001,187200
2016-01-01,0.890000,27.600000,0.585000,18.299999,18.299999,255600
2016-02-01,18.600000,19.200001,15.300000,17.700001,17.700001,75100
2016-03-01,17.700001,23.700001,16.200001,20.700001,20.700001,127300
2016-04-01,20.700001,25.799999,20.100000,21.000000,21.000000,116300
2016-05-01,21.000000,21.000000,17.100000,19.500000,19.500000,61900
2016-06-01,19.200001,19.500000,12.600000,14.400000,14.400000,121900
2016-07-01,14.100000,17.100000,13.200000,13.500000,13.500000,114400
2016-08-01,13.200000,14.100000,9.600000,12.300000,12.300000,62500
2016-09-01,12.000000,16.200001,11.400000,14.700000,14.700000,122000
2016-10-01,14.400000,15.600000,13.200000,14.400000,14.400000,72500
2016-11-01,14.400000,15.000000,12.600000,13.200000,13.200000,114400
2016-12-01,13.200000,13.800000,11.100000,11.700000,11.700000,155100
2017-01-01,0.385000,12.300000,0.385000,11.700000,11.700000,108600
2017-02-01,11.700000,11.700000,8.100000,8.700000,8.700000,168000
2017-03-01,8.700000,8.700000,5.700000,8.100000,8.100000,198500
2017-04-01,8.100000,9.600000,6.900000,8.100000,8.100000,142200
2017-05-01,8.100000,8.100000,6.000000,6.000000,6.000000,96700
2017-06-01,6.300000,7.800000,4.800000,6.600000,6.600000,79000
2017-07-01,6.900000,6.900000,5.400000,6.000000,6.000000,59800
2017-08-01,6.000000,7.800000,5.100000,7.500000,7.500000,114100
2017-09-01,7.500000,9.000000,7.200000,8.100000,8.100000,57600
2017-10-01,8.400000,8.400000,7.200000,7.500000,7.500000,55800
2017-11-01,7.500000,8.700000,0.250000,0.250000,0.250000,1078500
2017-12-01,7.500000,7.500000,5.100000,6.000000,6.000000,131600
2018-01-01,0.200000,6.900000,0.200000,4.210000,4.210000,292400
2018-02-01,4.250000,4.970000,3.760000,4.350000,4.350000,193800
2018-03-01,4.090000,6.450000,3.900000,5.950000,5.950000,196900
2018-04-01,5.760000,6.440000,2.050000,2.120000,2.120000,740100
2018-05-01,1.920000,2.630000,1.610000,2.290000,2.290000,2936700
2018-06-01,2.250000,5.500000,2.160000,3.660000,3.660000,4300200
2018-07-01,3.750000,5.160000,3.460000,4.160000,4.160000,788100
2018-08-01,4.050000,4.250000,3.450000,3.700000,3.700000,457300
2018-09-01,3.750000,4.000000,2.170000,2.500000,2.500000,1194800
2018-10-01,2.490000,3.000000,1.640000,1.850000,1.850000,675200
2018-11-01,1.840000,3.620000,1.510000,3.500000,3.500000,1389400
2018-12-01,3.620000,3.870000,2.710000,3.600000,3.600000,586900
2019-01-01,3.650000,5.280000,2.700000,2.900000,2.900000,1736200
2019-02-01,2.900000,2.940000,2.600000,2.880000,2.880000,191600
2019-03-01,2.880000,3.250000,2.700000,2.730000,2.730000,163400
2019-04-01,2.790000,2.830000,2.450000,2.550000,2.550000,241200
2019-05-01,2.600000,2.670000,2.300000,2.300000,2.300000,162700
2019-06-01,2.350000,2.570000,2.050000,2.350000,2.350000,270800
2019-07-01,2.290000,2.290000,2.000000,2.280000,2.280000,72300
2019-08-01,2.260000,2.950000,2.020000,2.290000,2.290000,114000
2019-09-01,2.320000,2.390000,1.630000,2.050000,2.050000,160600
2019-10-01,2.060000,2.080000,0.720000,0.740000,0.740000,1157700
2019-11-01,0.740000,0.790000,0.410000,0.510000,0.510000,3026600
2019-12-01,0.500000,0.580000,0.390000,0.500000,0.500000,2835700
2020-01-01,0.500000,0.980000,0.450000,0.630000,0.630000,12910400
2020-02-01,0.670000,2.500000,0.470000,1.330000,1.330000,204100800
2020-03-01,1.570000,2.240000,0.600000,0.710000,0.710000,131679200
2020-04-01,0.680000,0.740000,0.610000,0.720000,0.720000,2221400
