Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,30.370001,33.630001,27.520000,27.969999,27.969999,15962900
2015-05-01,27.959999,41.910000,27.959999,36.990002,36.990002,17296400
2015-06-01,37.279999,42.750000,35.360001,39.700001,39.700001,19837100
2015-07-01,39.939999,43.950001,33.860001,34.520000,34.520000,13480600
2015-08-01,34.330002,35.490002,28.000000,29.980000,29.980000,13699200
2015-09-01,29.260000,34.599998,23.709999,24.040001,24.040001,24836300
2015-10-01,23.969999,26.549999,18.900000,18.969999,18.969999,17321100
2015-11-01,19.570000,27.410000,19.430000,26.670000,26.670000,15896800
2015-12-01,27.900000,28.000000,21.410000,23.469999,23.469999,16592200
2016-01-01,22.400000,23.480000,11.490000,12.320000,12.320000,17209000
2016-02-01,12.250000,19.290001,11.530000,16.969999,16.969999,21296400
2016-03-01,17.040001,21.480000,11.590000,12.460000,12.460000,24963000
2016-04-01,12.280000,15.770000,10.250000,13.740000,13.740000,13187400
2016-05-01,13.700000,13.920000,9.640000,11.110000,11.110000,9452300
2016-06-01,10.820000,11.850000,6.700000,7.520000,7.520000,27784100
2016-07-01,7.530000,7.780000,6.900000,7.110000,7.110000,11044300
2016-08-01,7.140000,7.220000,6.540000,6.790000,6.790000,10083500
2016-09-01,6.810000,12.410000,6.560000,10.320000,10.320000,32029400
2016-10-01,10.280000,10.780000,8.760000,9.500000,9.500000,13508600
2016-11-01,9.500000,12.000000,8.100000,11.250000,11.250000,9084000
2016-12-01,11.200000,14.700000,10.700000,12.650000,12.650000,14847600
2017-01-01,13.000000,13.950000,9.850000,10.550000,10.550000,9700700
2017-02-01,10.650000,11.150000,9.200000,9.550000,9.550000,6669900
2017-03-01,9.900000,9.900000,7.750000,8.750000,8.750000,9756000
2017-04-01,8.800000,17.830000,8.400000,17.600000,17.600000,22871400
2017-05-01,17.750000,18.000000,15.100000,17.100000,17.100000,10350500
2017-06-01,17.100000,19.950001,16.000000,19.100000,19.100000,18752700
2017-07-01,19.100000,23.750000,17.600000,21.400000,21.400000,10625800
2017-08-01,21.450001,22.850000,16.549999,17.350000,17.350000,10314000
2017-09-01,17.400000,28.500000,17.150000,28.150000,28.150000,15412300
2017-10-01,28.200001,32.900002,24.500000,30.750000,30.750000,13559900
2017-11-01,31.000000,32.349998,28.400000,30.900000,30.900000,8071200
2017-12-01,31.000000,37.799999,29.129999,35.549999,35.549999,13355600
2018-01-01,35.750000,37.700001,33.250000,33.299999,33.299999,7656200
2018-02-01,33.150002,33.799999,29.049999,32.700001,32.700001,8238600
2018-03-01,32.900002,35.099998,30.510000,34.000000,34.000000,6690300
2018-04-01,33.799999,36.250000,24.950001,25.500000,25.500000,18290700
2018-05-01,25.299999,27.250000,23.049999,23.150000,23.150000,9581700
2018-06-01,23.400000,37.950001,22.100000,33.000000,33.000000,16300800
2018-07-01,32.799999,38.549999,32.549999,33.900002,33.900002,8250500
2018-08-01,33.799999,41.349998,32.730000,41.000000,41.000000,7453900
2018-09-01,42.150002,42.650002,33.240002,35.349998,35.349998,11262000
2018-10-01,35.599998,35.900002,27.080000,27.780001,27.780001,8499600
2018-11-01,27.900000,30.799999,24.580000,27.910000,27.910000,7398000
2018-12-01,28.440001,29.440001,17.000000,18.860001,18.860001,16478800
2019-01-01,18.459999,21.650000,18.120001,20.940001,20.940001,18328400
2019-02-01,20.820000,24.180000,19.730000,23.590000,23.590000,14013100
2019-03-01,23.889999,25.780001,21.320000,22.860001,22.860001,9706700
2019-04-01,23.080000,26.290001,21.889999,25.870001,25.870001,8023600
2019-05-01,25.980000,26.049999,17.059999,17.950001,17.950001,6536600
2019-06-01,17.719999,18.740000,15.400000,17.820000,17.820000,11495400
2019-07-01,18.250000,21.219999,17.170000,20.799999,20.799999,7600700
2019-08-01,22.250000,22.250000,18.049999,20.160000,20.160000,10799400
2019-09-01,23.330000,27.570000,22.410000,24.860001,24.860001,18642500
2019-10-01,25.040001,26.650000,23.250000,24.190001,24.190001,9898100
2019-11-01,24.389999,25.100000,20.910000,21.930000,21.930000,6438800
2019-12-01,21.820000,22.000000,12.110000,12.390000,12.390000,37024800
2020-01-01,12.430000,12.470000,8.690000,8.760000,8.760000,23154900
2020-02-01,8.790000,9.930000,7.510000,8.150000,8.150000,16256900
2020-03-01,8.130000,8.210000,2.830000,4.180000,4.180000,28611100
2020-04-01,4.010000,4.010000,3.310000,3.550000,3.550000,2180400
