Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,19.290001,22.940001,19.040001,22.530001,14.896848,463300
2015-05-01,22.700001,22.930000,17.250000,17.549999,11.687142,566600
2015-06-01,17.389999,17.900000,15.030000,16.500000,11.020175,933200
2015-07-01,16.360001,16.500000,15.010000,15.500000,10.404184,1091400
2015-08-01,15.420000,15.880000,12.010000,15.790000,10.664548,715300
2015-09-01,15.640000,15.950000,14.310000,15.480000,10.531430,723400
2015-10-01,15.500000,19.160000,14.750000,17.139999,11.732323,660000
2015-11-01,17.190001,17.990000,14.920000,17.420000,11.996065,487000
2015-12-01,15.870000,16.549999,12.010000,13.010000,9.032445,912800
2016-01-01,13.120000,15.240000,12.000000,14.270000,9.996744,779500
2016-02-01,14.000000,14.830000,12.510000,14.590000,10.347988,436900
2016-03-01,14.350000,16.459999,13.990000,15.240000,10.864337,663700
2016-04-01,14.940000,17.080000,14.500000,16.760000,12.047842,487300
2016-05-01,16.570000,16.930000,15.140000,16.900000,12.188254,373200
2016-06-01,16.570000,18.200001,16.040001,18.129999,13.113688,282700
2016-07-01,18.129999,20.590000,17.650000,18.889999,13.711366,474800
2016-08-01,18.980000,20.000000,18.540001,18.570000,13.517706,261600
2016-09-01,18.570000,19.700001,17.650000,18.240000,13.339515,262600
2016-10-01,18.320000,19.100000,17.549999,17.570000,12.902546,721700
2016-11-01,17.600000,18.469999,16.110001,17.000000,12.559520,422600
2016-12-01,17.680000,19.799999,17.209999,17.830000,13.259287,501700
2017-01-01,18.000000,19.000000,17.299999,17.799999,13.303560,227600
2017-02-01,17.850000,18.120001,15.740000,16.129999,12.108223,421300
2017-03-01,16.150000,16.420000,14.100000,14.650000,11.039235,688300
2017-04-01,14.610000,16.600000,14.470000,15.880000,12.039349,409600
2017-05-01,15.870000,16.070000,14.950000,15.200000,11.589448,608000
2017-06-01,15.300000,15.750000,15.050000,15.320000,11.738807,412800
2017-07-01,15.450000,15.710000,14.910000,15.090000,11.626575,300300
2017-08-01,15.050000,15.350000,14.100000,14.430000,11.174582,519800
2017-09-01,14.430000,14.880000,14.380000,14.620000,11.394164,282300
2017-10-01,14.610000,15.200000,14.400000,14.900000,11.678582,446100
2017-11-01,14.990000,15.470000,14.900000,15.180000,11.976688,715900
2017-12-01,15.200000,15.370000,14.100000,14.690000,11.661227,1136600
2018-01-01,14.750000,15.720000,14.660000,15.110000,12.059535,951800
2018-02-01,15.110000,15.490000,14.090000,15.300000,12.297290,845500
2018-03-01,15.220000,15.500000,14.360000,14.600000,11.842909,333700
2018-04-01,14.630000,14.950000,12.990000,13.500000,11.018767,498000
2018-05-01,13.530000,14.500000,13.020000,14.100000,11.620348,278400
2018-06-01,14.100000,14.620000,13.850000,14.490000,12.037322,247800
2018-07-01,14.490000,15.100000,14.020000,14.810000,12.406096,270500
2018-08-01,14.880000,15.970000,14.780000,15.490000,13.085771,318400
2018-09-01,15.460000,15.460000,11.460000,14.760000,12.555863,342800
2018-10-01,14.750000,15.490000,14.230000,15.020000,12.881007,385100
2018-11-01,14.960000,15.240000,14.010000,14.350000,12.408555,441000
2018-12-01,14.380000,14.400000,10.600000,10.920000,9.539140,604400
2019-01-01,11.000000,14.240000,10.920000,12.330000,10.864569,440200
2019-02-01,12.330000,12.450000,11.250000,11.270000,9.981444,318500
2019-03-01,11.300000,12.460000,11.250000,11.450000,10.181704,452100
2019-04-01,11.450000,13.210000,11.170000,12.060000,10.791361,408200
2019-05-01,12.060000,13.100000,11.590000,11.760000,10.618553,276500
2019-06-01,11.750000,12.730000,11.250000,12.650000,11.500321,277100
2019-07-01,12.580000,12.820000,10.800000,11.180000,10.237802,396100
2019-08-01,11.190000,11.230000,9.150000,9.880000,9.103540,643300
2019-09-01,9.790000,10.130000,8.380000,8.430000,7.825319,540100
2019-10-01,8.500000,9.130000,7.750000,8.560000,7.989058,565300
2019-11-01,8.580000,8.720000,7.780000,8.220000,7.738355,555200
2019-12-01,8.200000,8.730000,7.370000,8.730000,8.280657,907100
2020-01-01,8.510000,9.500000,8.020000,8.260000,7.917099,825700
2020-02-01,8.260000,9.380000,7.400000,7.400000,7.178663,815900
2020-03-01,7.420000,7.580000,4.010000,5.680000,5.581734,1149700
2020-04-01,5.550000,5.550000,4.620000,4.970000,4.970000,70800
