Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,25.150000,25.600000,24.450001,24.510000,23.907913,2634100
2017-06-01,24.840000,26.209999,24.719999,25.490000,24.863842,1979900
2017-07-01,25.780001,26.219999,25.230000,25.500000,24.873594,1543800
2017-08-01,25.549999,25.700001,23.889999,24.860001,24.249317,1335000
2017-09-01,24.959999,27.049999,24.080000,26.840000,26.180679,1726200
2017-10-01,26.959999,27.959999,26.959999,27.760000,27.078079,2321500
2017-11-01,28.080000,28.584999,26.750000,28.340000,27.643831,2314300
2017-12-01,28.490000,28.690001,27.340000,28.049999,27.360954,2756100
2018-01-01,28.020000,29.580000,28.020000,28.540001,27.883337,2375000
2018-02-01,28.320000,28.690001,26.228001,27.420000,26.789103,2113900
2018-03-01,27.370001,29.139999,26.988001,27.280001,26.652330,1613600
2018-04-01,27.340000,28.360001,26.400999,27.170000,26.579338,1958700
2018-05-01,27.270000,28.980000,26.785999,28.580000,27.958687,3054500
2018-06-01,28.920000,29.959999,28.459999,28.610001,27.988033,1401900
2018-07-01,28.480000,29.799999,28.480000,28.959999,28.377085,1708400
2018-08-01,29.059999,29.700001,28.631001,29.410000,28.818027,1656100
2018-09-01,29.559999,29.559999,28.209999,28.260000,27.691177,1075300
2018-10-01,28.350000,28.430000,24.440001,25.209999,24.755638,2621500
2018-11-01,25.230000,26.480000,24.590000,25.580000,25.118971,1324600
2018-12-01,26.799999,26.799999,21.030001,22.320000,21.917725,2967400
2019-01-01,22.059999,25.070000,22.000000,25.070000,24.691126,1267400
2019-02-01,25.100000,27.100000,25.000000,26.431000,26.031559,1283300
2019-03-01,26.520000,26.650000,24.080000,24.820000,24.444906,1331300
2019-04-01,24.920000,26.010000,24.920000,25.680000,25.411877,403500
2019-05-01,25.730000,26.282000,22.959999,23.018000,22.777666,2241900
2019-06-01,23.059999,24.950001,22.980000,24.870001,24.610334,977100
2019-07-01,25.299999,25.910000,24.620001,25.540001,25.384748,574200
2019-08-01,25.580000,25.693001,23.118999,23.910000,23.764656,1380900
2019-09-01,23.760000,26.101000,23.431000,25.129000,24.976244,780200
2019-10-01,25.170000,26.469000,23.980000,26.150000,26.058142,732800
2019-11-01,26.160000,27.218000,26.160000,26.930000,26.835402,1550500
2019-12-01,26.906000,27.670000,26.150000,27.340000,27.243961,698000
2020-01-01,27.520000,28.051001,26.100000,26.156000,26.127077,908500
2020-02-01,26.280001,27.493000,22.980000,23.576000,23.549931,547700
2020-03-01,23.760000,24.416000,13.300000,17.245001,17.225931,632900
2020-04-01,16.450001,16.520000,15.665000,16.107000,16.107000,19500
