Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,10.480000,12.480000,9.190000,9.490000,9.490000,20512800
2015-05-01,9.540000,10.920000,9.170000,9.360000,9.360000,14079900
2015-06-01,9.420000,9.420000,5.950000,6.120000,6.120000,42823300
2015-07-01,6.180000,8.310000,3.300000,5.210000,5.210000,47711100
2015-08-01,5.180000,10.610000,5.160000,9.550000,9.550000,37883900
2015-09-01,9.380000,9.910000,5.600000,5.890000,5.890000,19205900
2015-10-01,5.800000,8.390000,5.750000,8.050000,8.050000,13245500
2015-11-01,8.020000,9.170000,6.670000,8.470000,8.470000,13874800
2015-12-01,8.450000,8.880000,7.000000,7.890000,7.890000,16220200
2016-01-01,7.780000,8.200000,5.650000,6.930000,6.930000,17247400
2016-02-01,6.830000,9.640000,5.830000,9.040000,9.040000,19263300
2016-03-01,9.210000,9.470000,5.910000,6.800000,6.800000,27032900
2016-04-01,6.670000,7.700000,6.240000,6.830000,6.830000,14681200
2016-05-01,6.900000,7.530000,6.500000,7.330000,7.330000,13540000
2016-06-01,7.310000,8.860000,7.200000,7.690000,7.690000,18640100
2016-07-01,7.660000,7.680000,6.430000,6.900000,6.900000,13766900
2016-08-01,7.610000,8.370000,5.390000,6.320000,6.320000,28401100
2016-09-01,6.280000,10.840000,6.060000,7.450000,7.450000,36553700
2016-10-01,7.480000,7.930000,6.970000,7.100000,7.100000,15074000
2016-11-01,7.150000,7.630000,6.700000,7.500000,7.500000,14876400
2016-12-01,7.500000,8.500000,7.050000,8.500000,8.500000,22574300
2017-01-01,8.550000,9.400000,8.180000,8.950000,8.950000,18642200
2017-02-01,8.950000,9.500000,8.500000,9.450000,9.450000,17246200
2017-03-01,9.500000,10.500000,9.000000,9.550000,9.550000,20300900
2017-04-01,9.500000,11.200000,9.200000,11.100000,11.100000,29173200
2017-05-01,11.200000,11.830000,10.600000,10.950000,10.950000,49384600
2017-06-01,11.250000,13.050000,11.150000,12.000000,12.000000,59203900
2017-07-01,12.100000,13.450000,11.650000,12.350000,12.350000,40067800
2017-08-01,12.450000,12.600000,10.950000,11.600000,11.600000,46166600
2017-09-01,11.600000,13.450000,11.400000,13.350000,13.350000,70001000
2017-10-01,12.850000,13.600000,11.600000,12.950000,12.950000,262482600
2017-11-01,13.000000,13.550000,12.150000,13.250000,13.250000,210007100
2017-12-01,13.150000,13.500000,12.200000,12.650000,12.650000,190483100
2018-01-01,12.650000,14.200000,12.350000,13.950000,13.950000,162135200
2018-02-01,14.000000,14.500000,11.850000,12.700000,12.700000,121454200
2018-03-01,12.650000,13.300000,10.650000,11.250000,11.250000,280407800
2018-04-01,11.050000,12.050000,10.480000,11.350000,11.350000,273660300
2018-05-01,11.300000,13.540000,11.250000,12.150000,12.150000,312404000
2018-06-01,12.450000,12.550000,10.450000,10.700000,10.700000,274195300
2018-07-01,10.650000,11.900000,10.250000,11.300000,11.300000,184571900
2018-08-01,11.450000,11.500000,8.550000,10.200000,10.200000,422187900
2018-09-01,10.200000,11.050000,9.450000,10.250000,10.250000,245541700
2018-10-01,10.340000,11.280000,7.950000,8.590000,8.590000,534932600
2018-11-01,8.600000,9.910000,7.640000,8.520000,8.520000,372120100
2018-12-01,8.780000,8.930000,5.840000,6.790000,6.790000,379531800
2019-01-01,6.580000,9.170000,6.490000,9.140000,9.140000,585266800
2019-02-01,9.190000,9.810000,8.390000,8.620000,8.620000,606876700
2019-03-01,8.820000,9.100000,8.000000,8.690000,8.690000,514684600
2019-04-01,8.750000,9.670000,8.690000,9.360000,9.360000,503781700
2019-05-01,9.450000,9.580000,8.690000,8.790000,8.790000,349789300
2019-06-01,8.760000,11.870000,8.520000,11.820000,11.820000,710153800
2019-07-01,11.890000,12.230000,11.680000,11.840000,11.840000,366595500
2019-08-01,11.830000,12.070000,11.270000,11.510000,11.510000,272175300
2019-09-01,11.490000,12.030000,11.160000,11.660000,11.660000,218917500
2019-10-01,11.730000,12.370000,11.560000,12.280000,12.280000,202491700
2019-11-01,12.400000,13.130000,12.110000,13.040000,13.040000,162721200
2019-12-01,13.080000,13.650000,12.830000,13.600000,13.600000,290498000
2020-01-01,13.620000,13.860000,13.360000,13.670000,13.670000,321727000
2020-02-01,13.710000,14.740000,12.500000,12.710000,12.710000,288381300
2020-03-01,12.710000,12.790000,3.220000,6.760000,6.760000,762980200
2020-04-01,6.500000,6.900000,6.220000,6.460000,6.460000,26390700
