Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,1.880000,1.970000,1.820000,1.890000,1.415467,396800
2015-05-01,1.880000,1.950000,1.750000,1.860000,1.393000,509600
2015-06-01,1.810000,1.860000,1.770000,1.800000,1.348064,441800
2015-07-01,1.800000,1.850000,1.750000,1.780000,1.358652,625200
2015-08-01,1.800000,1.800000,1.680000,1.700000,1.323320,164700
2015-09-01,1.670000,1.690000,1.410000,1.540000,1.198772,188800
2015-10-01,1.540000,1.790000,1.350000,1.400000,1.114805,451100
2015-11-01,1.300000,1.720000,1.260000,1.410000,1.122767,2369100
2015-12-01,1.370000,1.450000,1.320000,1.430000,1.167890,997600
2016-01-01,1.450000,1.450000,1.090000,1.130000,0.922878,642700
2016-02-01,1.110000,1.430000,1.080000,1.400000,1.143389,711700
2016-03-01,1.400000,1.770000,1.350000,1.700000,1.388401,658400
2016-04-01,1.670000,1.690000,1.490000,1.660000,1.383727,297900
2016-05-01,1.640000,1.680000,1.520000,1.540000,1.283699,315000
2016-06-01,1.550000,1.650000,1.500000,1.580000,1.317042,187300
2016-07-01,1.600000,1.750000,1.520000,1.620000,1.350384,482100
2016-08-01,1.600000,1.880000,1.570000,1.820000,1.551691,490800
2016-09-01,1.830000,1.830000,1.700000,1.760000,1.500536,527500
2016-10-01,1.780000,1.780000,1.730000,1.780000,1.517587,166900
2016-11-01,1.760000,1.870000,1.660000,1.800000,1.534639,675500
2016-12-01,1.810000,1.860000,1.700000,1.780000,1.577268,300500
2017-01-01,1.760000,1.850000,1.710000,1.840000,1.630434,435700
2017-02-01,1.840000,1.850000,1.780000,1.830000,1.621573,127200
2017-03-01,1.820000,1.950000,1.800000,1.950000,1.727906,232600
2017-04-01,1.950000,1.980000,1.880000,1.910000,1.692462,436900
2017-05-01,1.920000,1.960000,1.850000,1.930000,1.710184,302600
2017-06-01,1.930000,2.200000,1.920000,2.190000,1.940571,784200
2017-07-01,2.210000,2.600000,2.170000,2.520000,2.307419,572600
2017-08-01,2.510000,2.890000,2.260000,2.690000,2.463078,718100
2017-09-01,2.690000,2.750000,2.360000,2.640000,2.417296,501800
2017-10-01,2.620000,2.790000,2.320000,2.700000,2.472234,218000
2017-11-01,2.720000,3.640000,2.410000,2.830000,2.591268,2020000
2017-12-01,2.820000,2.850000,2.710000,2.720000,2.490547,278400
2018-01-01,2.790000,2.800000,2.610000,2.690000,2.463078,381300
2018-02-01,2.700000,3.390000,2.590000,3.200000,2.930056,787100
2018-03-01,3.210000,3.330000,2.870000,3.120000,2.856804,493200
2018-04-01,2.960000,3.120000,2.920000,3.050000,2.792709,210800
2018-05-01,3.000000,3.100000,2.990000,3.070000,2.811022,193600
2018-06-01,3.090000,3.490000,3.020000,3.380000,3.094871,806000
2018-07-01,3.380000,3.470000,3.240000,3.460000,3.207478,315100
2018-08-01,3.430000,3.500000,3.400000,3.450000,3.198208,125600
2018-09-01,3.460000,3.530000,3.400000,3.500000,3.244559,157700
2018-10-01,3.500000,3.500000,3.110000,3.250000,3.012805,478100
2018-11-01,3.240000,3.300000,2.790000,3.150000,2.920103,369500
2018-12-01,3.100000,3.320000,2.980000,3.010000,2.846127,93300
2019-01-01,3.010000,3.170000,3.000000,3.030000,2.865038,179400
2019-02-01,3.010000,3.100000,3.000000,3.060000,2.893405,107900
2019-03-01,3.010000,3.070000,2.920000,2.990000,2.827216,165900
2019-04-01,2.990000,3.070000,2.960000,3.000000,2.836671,49300
2019-05-01,3.000000,3.010000,2.650000,2.850000,2.694838,251800
2019-06-01,2.850000,2.970000,2.780000,2.780000,2.628649,76200
2019-07-01,2.780000,2.800000,2.470000,2.690000,2.606911,163500
2019-08-01,2.710000,2.930000,2.650000,2.690000,2.606911,65100
2019-09-01,2.650000,2.790000,2.510000,2.650000,2.568147,59100
2019-10-01,2.560000,2.770000,2.550000,2.580000,2.500309,96300
2019-11-01,2.550000,2.670000,2.430000,2.600000,2.519691,295400
2019-12-01,2.670000,2.730000,2.600000,2.680000,2.680000,99800
2020-01-01,2.630000,3.090000,2.600000,2.790000,2.790000,256600
2020-02-01,2.770000,3.030000,2.710000,2.710000,2.710000,70200
2020-03-01,2.750000,2.800000,2.020000,2.220000,2.220000,321100
2020-04-01,2.200000,2.500000,2.200000,2.500000,2.500000,2000
