Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,10.200000,10.900000,10.050000,10.500000,10.037746,889464
2017-05-01,10.500000,11.180000,10.400000,11.000000,10.515734,404134
2017-06-01,11.000000,12.830000,11.000000,11.990000,11.462150,485531
2017-07-01,11.980000,12.650000,11.800000,12.600000,12.045295,447362
2017-08-01,12.130000,12.600000,11.760000,12.300000,11.758503,265749
2017-09-01,12.100000,12.700000,12.050000,12.400000,11.854099,272735
2017-10-01,12.250000,12.950000,11.800000,12.800000,12.236490,333161
2017-11-01,12.940000,13.320000,12.500000,13.300000,12.714478,351678
2017-12-01,12.910000,13.300000,11.850000,12.600000,12.045295,2298524
2018-01-01,12.600000,13.750000,12.150000,12.600000,12.045295,1776147
2018-02-01,12.600000,12.800000,11.850000,12.400000,11.854099,1320622
2018-03-01,12.500000,12.500000,11.500000,12.100000,11.567307,668289
2018-04-01,12.100000,12.950000,12.000000,12.200000,11.662904,382452
2018-05-01,12.200000,12.900000,11.500000,11.500000,10.993721,992664
2018-06-01,11.600000,12.950000,11.350000,12.350000,12.040282,1138166
2018-07-01,12.450000,13.500000,11.650000,12.950000,12.625236,1046053
2018-08-01,12.900000,13.000000,12.050000,12.200000,11.894044,245130
2018-09-01,12.250000,12.900000,12.000000,12.200000,11.894044,1397096
2018-10-01,12.300000,12.450000,10.000000,10.250000,9.992947,892668
2018-11-01,10.150000,10.900000,8.780000,9.540000,9.300753,632087
2018-12-01,9.680000,10.000000,8.700000,8.980000,8.754796,395671
2019-01-01,8.980000,9.640000,8.720000,9.300000,9.066772,629404
2019-02-01,9.180000,9.780000,8.980000,9.260000,9.027775,409826
2019-03-01,9.140000,10.600000,8.820000,10.000000,9.749216,1832781
2019-04-01,10.000000,10.140000,9.480000,9.690000,9.446990,1270085
2019-05-01,9.690000,9.780000,8.060000,8.380000,8.169844,1015791
2019-06-01,8.380000,8.810000,7.870000,8.290000,8.290000,1098739
2019-07-01,8.310000,8.850000,7.790000,7.910000,7.910000,744313
2019-08-01,7.990000,8.020000,6.440000,6.500000,6.500000,1131634
2019-09-01,6.570000,7.370000,6.480000,7.060000,7.060000,980899
2019-10-01,7.160000,7.890000,6.680000,7.000000,7.000000,1311522
2019-11-01,7.020000,7.140000,5.130000,6.060000,6.060000,4776431
2019-12-01,6.120000,6.740000,6.080000,6.300000,6.300000,3179015
2020-01-01,6.300000,6.540000,5.970000,6.060000,6.060000,1389216
2020-02-01,5.940000,6.720000,4.830000,5.050000,5.050000,2789318
2020-03-01,4.945000,5.040000,2.610000,3.360000,3.360000,1748446
2020-04-01,3.440000,3.440000,3.180000,3.295000,3.295000,54859
