Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,3.680000,3.680000,2.920000,3.040000,3.040000,2445100
2015-05-01,3.030000,3.440000,2.590000,3.350000,3.350000,1640900
2015-06-01,3.270000,3.690000,3.020000,3.250000,3.250000,1383700
2015-07-01,3.260000,3.880000,3.230000,3.740000,3.740000,1547400
2015-08-01,3.780000,3.800000,2.760000,3.650000,3.650000,1486100
2015-09-01,3.660000,6.000000,3.500000,5.590000,5.590000,6751000
2015-10-01,5.500000,5.630000,3.050000,4.760000,4.760000,8619500
2015-11-01,4.830000,6.570000,4.760000,5.430000,5.430000,8857700
2015-12-01,5.430000,5.470000,4.120000,4.130000,4.130000,2888100
2016-01-01,4.150000,4.360000,2.890000,3.540000,3.540000,3081500
2016-02-01,3.500000,4.600000,3.340000,4.060000,4.060000,1168800
2016-03-01,4.040000,4.740000,3.860000,4.020000,4.020000,1361200
2016-04-01,4.150000,4.800000,3.320000,3.420000,3.420000,3111400
2016-05-01,3.490000,3.570000,3.210000,3.490000,3.490000,2019500
2016-06-01,3.450000,3.530000,3.000000,3.310000,3.310000,1251300
2016-07-01,3.310000,3.420000,3.000000,3.110000,3.110000,523300
2016-08-01,3.130000,3.360000,2.430000,2.920000,2.920000,2441000
2016-09-01,2.900000,3.040000,2.730000,2.900000,2.900000,962600
2016-10-01,2.870000,2.930000,2.600000,2.620000,2.620000,752700
2016-11-01,2.640000,3.600000,2.590000,3.030000,3.030000,2342400
2016-12-01,3.020000,3.400000,2.970000,3.280000,3.280000,988800
2017-01-01,3.280000,3.620000,3.100000,3.210000,3.210000,1197300
2017-02-01,3.220000,3.300000,2.250000,2.820000,2.820000,1326700
2017-03-01,2.820000,3.160000,2.500000,2.770000,2.770000,1396000
2017-04-01,2.810000,2.820000,2.450000,2.640000,2.640000,976600
2017-05-01,2.620000,3.140000,2.350000,2.650000,2.650000,1638200
2017-06-01,2.650000,3.850000,2.600000,3.300000,3.300000,4365600
2017-07-01,3.300000,3.480000,3.110000,3.150000,3.150000,1345200
2017-08-01,3.130000,3.170000,2.510000,2.950000,2.950000,1235800
2017-09-01,2.940000,3.250000,2.860000,2.980000,2.980000,639800
2017-10-01,2.920000,3.500000,2.730000,3.090000,3.090000,1874300
2017-11-01,3.050000,3.180000,2.900000,2.920000,2.920000,940500
2017-12-01,2.970000,3.030000,2.600000,2.870000,2.870000,1372400
2018-01-01,2.660000,2.860000,2.550000,2.570000,2.570000,1131100
2018-02-01,2.610000,2.750000,2.320000,2.410000,2.410000,1089700
2018-03-01,2.470000,2.470000,2.070000,2.320000,2.320000,1242400
2018-04-01,2.300000,2.550000,2.220000,2.250000,2.250000,552000
2018-05-01,2.270000,2.550000,2.220000,2.240000,2.240000,1080000
2018-06-01,2.200000,4.250000,2.100000,3.030000,3.030000,39778500
2018-07-01,3.030000,3.510000,2.950000,3.180000,3.180000,1553800
2018-08-01,3.210000,3.240000,2.980000,3.010000,3.010000,970400
2018-09-01,3.000000,3.090000,2.610000,3.080000,3.080000,895100
2018-10-01,3.080000,3.100000,2.500000,2.600000,2.600000,884500
2018-11-01,2.600000,2.810000,2.230000,2.670000,2.670000,902900
2018-12-01,2.690000,2.790000,1.350000,1.850000,1.850000,1726600
2019-01-01,1.850000,3.010000,1.780000,2.660000,2.660000,1432300
2019-02-01,2.750000,2.920000,2.550000,2.810000,2.810000,752500
2019-03-01,2.830000,3.190000,2.760000,3.000000,3.000000,776500
2019-04-01,3.140000,5.420000,2.890000,4.960000,4.960000,13543400
2019-05-01,4.930000,5.010000,2.900000,2.930000,2.930000,3992300
2019-06-01,2.910000,3.140000,2.540000,2.700000,2.700000,1914500
2019-07-01,2.760000,3.490000,2.550000,3.220000,3.220000,5595200
2019-08-01,3.180000,3.930000,2.890000,3.170000,3.170000,1981900
2019-09-01,3.180000,4.750000,3.120000,4.490000,4.490000,4213100
2019-10-01,4.470000,5.200000,4.250000,5.030000,5.030000,4388000
2019-11-01,5.010000,5.190000,4.150000,5.060000,5.060000,3470100
2019-12-01,5.030000,5.390000,4.260000,4.430000,4.430000,2536000
2020-01-01,4.420000,4.530000,3.750000,3.800000,3.800000,2381700
2020-02-01,3.800000,4.740000,3.550000,3.830000,3.830000,2005600
2020-03-01,3.840000,3.900000,1.460000,2.270000,2.270000,3762200
2020-04-01,2.260000,2.310000,2.070000,2.110000,2.110000,50400
