Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,13.600000,31.400000,12.600000,16.200001,16.200001,31400
2015-05-01,15.800000,25.000000,13.600000,17.000000,17.000000,58800
2015-06-01,16.200001,23.799999,15.400000,19.200001,19.200001,77700
2015-07-01,18.799999,19.799999,13.400000,14.000000,14.000000,26300
2015-08-01,14.600000,17.000000,12.400000,16.000000,16.000000,26400
2015-09-01,16.000000,16.600000,11.000000,11.800000,11.800000,16900
2015-10-01,11.800000,14.400000,10.600000,12.200000,12.200000,7900
2015-11-01,12.800000,12.800000,8.000000,9.000000,9.000000,19700
2015-12-01,9.000000,10.000000,6.400000,8.000000,8.000000,13300
2016-01-01,8.000000,8.000000,3.800000,4.800000,4.800000,17300
2016-02-01,5.200000,7.200000,4.000000,7.000000,7.000000,3100
2016-03-01,5.000000,7.800000,4.800000,5.400000,5.400000,4600
2016-04-01,5.200000,5.600000,3.000000,5.200000,5.200000,22900
2016-05-01,5.200000,5.400000,4.000000,4.400000,4.400000,14600
2016-06-01,4.400000,4.800000,4.200000,4.400000,4.400000,3000
2016-07-01,4.400000,4.400000,3.200000,3.600000,3.600000,11700
2016-08-01,3.600000,4.000000,3.000000,4.000000,4.000000,8300
2016-09-01,4.000000,4.000000,1.600000,3.600000,3.600000,4100
2016-10-01,3.600000,3.800000,2.200000,2.800000,2.800000,5400
2016-11-01,2.200000,4.000000,2.200000,3.600000,3.600000,4200
2016-12-01,4.000000,4.000000,2.600000,2.800000,2.800000,27000
2017-01-01,3.200000,6.000000,3.200000,3.800000,3.800000,38800
2017-02-01,4.400000,5.400000,4.000000,4.600000,4.600000,52800
2017-03-01,4.600000,5.600000,3.400000,3.400000,3.400000,19200
2017-04-01,4.000000,5.000000,3.200000,4.000000,4.000000,8700
2017-05-01,3.800000,5.400000,3.800000,5.200000,5.200000,8900
2017-06-01,4.400000,7.600000,4.400000,5.400000,5.400000,115300
2017-07-01,5.600000,7.200000,4.800000,5.000000,5.000000,78100
2017-08-01,5.200000,6.600000,3.600000,4.400000,4.400000,98000
2017-09-01,4.400000,6.000000,4.200000,4.800000,4.800000,65900
2017-10-01,5.600000,6.400000,4.000000,5.800000,5.800000,2508900
2017-11-01,5.600000,8.800000,4.600000,8.000000,8.000000,18918700
2017-12-01,7.600000,8.400000,5.800000,8.000000,8.000000,2327600
2018-01-01,8.150000,9.150000,6.600000,8.400000,8.400000,263100
2018-02-01,8.300000,8.450000,6.250000,7.270000,7.270000,88100
2018-03-01,7.250000,9.850000,6.850000,9.600000,9.600000,290800
2018-04-01,9.700000,12.990000,8.000000,12.270000,12.270000,1714400
2018-05-01,13.000000,16.320000,12.320000,14.910000,14.910000,2435800
2018-06-01,15.070000,24.600000,13.180000,17.070000,17.070000,8165700
2018-07-01,17.120001,19.780001,14.800000,15.170000,15.170000,1297200
2018-08-01,15.180000,18.500000,10.650000,18.320000,18.320000,1751100
2018-09-01,18.250000,18.250000,12.910000,17.040001,17.040001,1368600
2018-10-01,17.070000,17.500000,9.530000,12.030000,12.030000,794200
2018-11-01,12.050000,17.500000,11.140000,15.570000,15.570000,805200
2018-12-01,15.750000,15.920000,9.120000,12.010000,12.010000,1934700
2019-01-01,11.770000,13.990000,10.090000,12.060000,12.060000,855300
2019-02-01,12.090000,13.870000,10.520000,12.850000,12.850000,454300
2019-03-01,12.970000,14.740000,10.440000,11.680000,11.680000,690100
2019-04-01,11.690000,13.460000,9.650000,11.940000,11.940000,573400
2019-05-01,12.000000,12.000000,8.940000,8.990000,8.990000,547900
2019-06-01,9.050000,13.370000,8.490000,9.970000,9.970000,3038700
2019-07-01,9.980000,10.000000,7.540000,8.160000,8.160000,1728000
2019-08-01,8.170000,8.320000,5.140000,6.200000,6.200000,1306300
2019-09-01,6.220000,6.850000,4.230000,4.520000,4.520000,2135800
2019-10-01,4.570000,6.670000,2.870000,6.090000,6.090000,3975300
2019-11-01,5.470000,8.000000,4.020000,5.220000,5.220000,6764800
2019-12-01,5.200000,7.790000,4.540000,7.360000,7.360000,6753600
2020-01-01,7.470000,8.160000,3.710000,3.830000,3.830000,5383000
2020-02-01,3.840000,4.600000,2.820000,3.130000,3.130000,2314400
2020-03-01,3.200000,3.850000,1.890000,1.960000,1.960000,2780600
2020-04-01,2.000000,2.000000,1.530000,1.590000,1.590000,235800
