Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,8.818770,10.005394,8.791801,9.584682,7.847274,59047900
2015-05-01,9.633225,10.097087,9.099245,9.277239,7.595562,48921900
2015-06-01,9.190939,9.190939,8.295577,8.311758,7.110162,38152100
2015-07-01,8.581446,8.683927,7.729234,8.149946,6.971742,24029000
2015-08-01,8.090615,8.149946,6.580367,7.486516,6.404221,29371200
2015-09-01,7.373247,7.454153,6.655879,6.817691,5.832086,45559000
2015-10-01,6.855448,7.545847,6.677454,7.146710,6.113539,36496700
2015-11-01,7.146710,7.259978,6.504854,6.661273,5.698280,42813200
2015-12-01,6.628911,6.898598,6.067961,6.456311,5.522948,49614700
2016-01-01,6.396979,6.450917,5.571737,6.359223,5.439897,38040400
2016-02-01,6.321467,7.028048,6.321467,6.817691,5.921827,52096500
2016-03-01,6.893204,7.513484,6.860841,7.497303,6.512136,45551500
2016-04-01,7.405610,8.650000,7.065804,8.040000,6.983521,31636236
2016-05-01,8.590000,8.690000,7.570000,7.640000,6.636081,19636600
2016-06-01,7.610000,8.660000,7.500000,8.580000,7.678779,22502500
2016-07-01,8.610000,9.160000,8.290000,8.680000,7.768274,21907500
2016-08-01,8.650000,9.080000,8.210000,8.330000,7.455038,14733600
2016-09-01,8.320000,8.640000,8.080000,8.190000,7.329742,9167900
2016-10-01,8.160000,8.930000,8.060000,8.670000,7.759325,15425800
2016-11-01,8.670000,8.800000,7.670000,7.990000,7.150750,21891100
2016-12-01,7.970000,8.630000,7.750000,8.210000,7.347642,14859500
2017-01-01,8.220000,9.150000,8.010000,9.030000,8.081511,15780300
2017-02-01,9.020000,9.910000,8.950000,9.750000,8.799373,18115900
2017-03-01,9.750000,10.770000,9.610000,10.390000,9.376972,21970300
2017-04-01,10.430000,10.740000,9.830000,9.910000,8.943771,18678800
2017-05-01,9.910000,10.230000,9.070000,9.390000,8.474473,25378400
2017-06-01,9.330000,9.820000,9.210000,9.430000,8.666766,23100900
2017-07-01,9.370000,10.600000,9.370000,10.000000,9.190631,16426000
2017-08-01,10.020000,10.800000,9.490000,10.740000,9.870738,27686800
2017-09-01,10.730000,10.750000,9.980000,10.220000,9.392825,15528100
2017-10-01,10.270000,10.950000,10.220000,10.600000,9.742068,15379200
2017-11-01,10.700000,11.100000,9.610000,10.140000,9.319301,31161700
2017-12-01,9.930000,11.200000,9.580000,11.170000,10.265935,17857100
2018-01-01,11.230000,12.110000,11.060000,11.780000,10.826563,15451400
2018-02-01,11.750000,11.950000,10.860000,11.420000,10.541167,15502400
2018-03-01,11.680000,11.700000,11.050000,11.620000,10.725776,16305500
2018-04-01,11.670000,12.030000,11.340000,11.350000,10.476554,19639000
2018-05-01,11.310000,11.370000,9.670000,9.680000,8.935070,24145400
2018-06-01,9.730000,9.820000,8.650000,8.810000,8.336251,21977200
2018-07-01,8.770000,8.990000,8.390000,8.770000,8.298404,17526600
2018-08-01,8.740000,8.740000,7.270000,7.420000,7.020998,17704100
2018-09-01,7.350000,8.170000,6.960000,7.730000,7.314327,26005300
2018-10-01,7.770000,8.090000,7.350000,7.880000,7.456261,36330700
2018-11-01,8.020000,8.850000,7.730000,8.680000,8.213243,34393400
2018-12-01,8.830000,9.010000,8.510000,8.920000,8.440337,26572300
2019-01-01,8.880000,10.420000,8.840000,10.340000,9.783978,36588600
2019-02-01,10.310000,10.520000,8.690000,8.770000,8.353907,17668600
2019-03-01,8.810000,9.570000,8.450000,8.930000,8.506315,39099100
2019-04-01,9.030000,9.110000,8.630000,8.740000,8.325329,21859200
2019-05-01,8.740000,8.820000,7.590000,7.990000,7.610913,16666200
2019-06-01,8.110000,8.900000,7.980000,8.870000,8.806240,12198800
2019-07-01,8.870000,8.930000,8.210000,8.250000,8.190697,28138400
2019-08-01,8.270000,8.400000,7.780000,8.180000,8.121201,24452100
2019-09-01,8.130000,9.260000,8.030000,9.110000,9.044515,31564000
2019-10-01,9.110000,9.760000,9.100000,9.560000,9.491281,33374400
2019-11-01,9.590000,10.020000,9.090000,9.670000,9.600490,33128000
2019-12-01,9.730000,11.110000,9.610000,10.980000,10.901073,27699900
2020-01-01,11.020000,11.210000,9.680000,9.800000,9.729555,25990900
2020-02-01,9.850000,10.260000,8.220000,8.600000,8.600000,30829800
2020-03-01,8.650000,9.410000,5.220000,6.060000,6.060000,48712300
2020-04-01,5.840000,6.920000,5.550000,6.820000,6.820000,7105100
