Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,5.900000,7.100000,5.050000,5.950000,5.950000,262100
2018-03-01,5.900000,6.900000,5.000000,5.500000,5.500000,299200
2018-04-01,5.500000,5.870000,4.450000,5.000000,5.000000,142500
2018-05-01,4.990000,5.970000,4.590000,5.250000,5.250000,198300
2018-06-01,5.250000,5.270000,3.320000,3.320000,3.320000,118400
2018-07-01,3.535000,5.000000,3.535000,4.000000,4.000000,188500
2018-08-01,3.950000,5.000000,3.500000,4.500000,4.500000,191800
2018-09-01,4.800000,6.370000,4.510000,5.840000,5.840000,357200
2018-10-01,5.840000,6.040000,5.030000,5.700000,5.700000,430500
2018-11-01,5.700000,7.950000,5.700000,6.450000,6.450000,557900
2018-12-01,6.600000,9.000000,5.970000,7.000000,7.000000,447400
2019-01-01,7.000000,9.500000,5.960000,6.480000,6.480000,1503600
2019-02-01,6.540000,8.750000,6.540000,7.100000,7.100000,716600
2019-03-01,7.270000,7.500000,5.750000,6.940000,6.940000,2226200
2019-04-01,6.840000,7.000000,5.830000,6.150000,6.150000,709300
2019-05-01,6.290000,6.750000,5.260000,6.630000,6.630000,819100
2019-06-01,6.590000,6.800000,4.500000,4.500000,4.500000,1272000
2019-07-01,4.580000,5.670000,4.320000,4.890000,4.890000,538400
2019-08-01,4.920000,5.000000,4.050000,4.700000,4.700000,578400
2019-09-01,4.700000,6.200000,3.700000,5.500000,5.500000,923000
2019-10-01,5.400000,6.350000,2.910000,5.700000,5.700000,1521700
2019-11-01,5.600000,7.080000,5.290000,5.810000,5.810000,2697500
2019-12-01,5.880000,6.550000,4.500000,5.020000,5.020000,3080600
2020-01-01,5.030000,6.190000,4.100000,4.430000,4.430000,1169000
2020-02-01,4.470000,4.750000,2.570000,3.260000,3.260000,952700
2020-03-01,3.350000,3.780000,1.950000,3.000000,3.000000,1209100
2020-04-01,2.950000,2.950000,2.710000,2.930000,2.930000,52700
