Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,0.060000,0.135000,0.055000,0.070000,0.070000,75234
2015-05-01,0.080000,0.080000,0.060000,0.060000,0.060000,131062
2015-06-01,0.060000,0.090000,0.050000,0.055000,0.055000,132877
2015-07-01,0.055000,0.060000,0.055000,0.060000,0.060000,9049
2015-08-01,0.085000,0.090000,0.070000,0.090000,0.090000,7275
2015-09-01,0.090000,0.090000,0.055000,0.055000,0.055000,193375
2015-10-01,0.055000,0.060000,0.050000,0.050000,0.050000,76256
2015-11-01,0.055000,0.075000,0.050000,0.055000,0.055000,121142
2015-12-01,0.055000,0.080000,0.055000,0.060000,0.060000,175872
2016-01-01,0.060000,0.095000,0.055000,0.070000,0.070000,234800
2016-02-01,0.070000,0.070000,0.045000,0.050000,0.050000,1181247
2016-03-01,0.045000,0.050000,0.040000,0.050000,0.050000,28262
2016-04-01,0.050000,0.050000,0.040000,0.040000,0.040000,33890
2016-05-01,0.040000,0.045000,0.040000,0.040000,0.040000,108950
2016-06-01,0.040000,0.040000,0.035000,0.040000,0.040000,51062
2016-07-01,0.040000,0.055000,0.035000,0.040000,0.040000,1126970
2016-08-01,0.040000,0.075000,0.040000,0.055000,0.055000,298824
2016-09-01,0.055000,0.070000,0.055000,0.060000,0.060000,501015
2016-10-01,0.060000,0.060000,0.050000,0.050000,0.050000,37462
2016-11-01,0.050000,0.070000,0.050000,0.070000,0.070000,45451
2016-12-01,0.060000,0.075000,0.050000,0.075000,0.075000,376124
2017-01-01,0.075000,0.075000,0.065000,0.075000,0.075000,66420
2017-02-01,0.070000,0.080000,0.070000,0.075000,0.075000,50875
2017-03-01,0.075000,0.170000,0.075000,0.130000,0.130000,287470
2017-04-01,0.130000,0.160000,0.120000,0.130000,0.130000,321362
2017-05-01,0.130000,0.365000,0.130000,0.360000,0.360000,3373940
2017-06-01,0.350000,0.360000,0.290000,0.300000,0.300000,1824671
2017-07-01,0.300000,0.330000,0.295000,0.310000,0.310000,412224
2017-08-01,0.310000,0.415000,0.300000,0.400000,0.400000,810532
2017-09-01,0.400000,0.460000,0.370000,0.450000,0.450000,1340130
2017-10-01,0.460000,0.530000,0.440000,0.530000,0.530000,991308
2017-11-01,0.530000,0.700000,0.530000,0.700000,0.700000,1200235
2017-12-01,0.690000,0.700000,0.520000,0.640000,0.640000,1491204
2018-01-01,0.640000,0.640000,0.580000,0.600000,0.600000,625385
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,14.350000,15.370000,9.210000,14.000000,14.000000,1448100
2018-11-01,14.230000,19.690001,11.750000,16.400000,16.400000,572000
2018-12-01,16.730000,17.500000,5.500000,8.160000,8.160000,1259700
2019-01-01,8.160000,13.320000,7.000000,8.790000,8.790000,853500
2019-02-01,8.800000,9.600000,5.630000,7.870000,7.870000,552000
2019-03-01,7.870000,8.440000,6.520000,8.000000,8.000000,366300
2019-04-01,8.050000,8.660000,5.120000,6.240000,6.240000,443400
2019-05-01,5.500000,8.030000,5.500000,6.450000,6.450000,550900
2019-06-01,6.320000,6.780000,5.520000,5.660000,5.660000,986700
2019-07-01,5.720000,7.450000,4.100000,4.100000,4.100000,717800
2019-08-01,4.250000,4.880000,3.100000,3.860000,3.860000,412000
2019-09-01,3.700000,4.230000,3.550000,3.800000,3.800000,487500
2019-10-01,3.800000,4.970000,2.560000,3.570000,3.570000,1334200
2019-11-01,3.440000,3.910000,3.180000,3.250000,3.250000,339500
2019-12-01,3.500000,5.470000,3.260000,3.380000,3.380000,1468400
2020-01-01,3.580000,5.720000,3.560000,4.570000,4.570000,1069200
2020-02-01,4.470000,5.660000,4.300000,4.810000,4.810000,433800
2020-03-01,5.000000,5.220000,2.200000,2.710000,2.710000,468900
2020-04-01,2.510000,2.990000,2.320000,2.450000,2.450000,50100
