Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,31.090000,31.930000,29.950001,31.180000,30.036409,16552700
2015-05-01,31.190001,32.790001,30.000000,30.120001,29.042545,17470900
2015-06-01,30.070000,32.200001,29.549999,30.290001,29.206461,16163300
2015-07-01,30.320000,31.040001,25.730000,27.850000,26.898663,20535000
2015-08-01,27.900000,28.950001,23.150000,25.280001,24.416449,16682200
2015-09-01,24.540001,27.430000,23.920000,26.250000,25.396557,31791200
2015-10-01,25.770000,29.910000,24.900000,29.370001,28.415115,19208500
2015-11-01,29.320000,31.940001,28.750000,31.290001,30.272694,17818000
2015-12-01,30.879999,32.500000,28.469999,29.540001,28.579594,22326700
2016-01-01,29.559999,29.559999,25.559999,28.780001,27.886122,18388700
2016-02-01,28.290001,30.650000,27.049999,29.969999,29.039160,12206100
2016-03-01,30.150000,30.629999,23.639999,26.360001,25.541286,29392700
2016-04-01,26.139999,26.330000,22.190001,23.100000,22.420452,26656800
2016-05-01,23.240000,23.260000,20.670000,20.820000,20.207521,26493300
2016-06-01,20.809999,22.270000,19.629999,21.719999,21.081043,26243000
2016-07-01,21.799999,22.139999,18.120001,18.270000,17.772202,22634200
2016-08-01,18.340000,19.049999,17.150000,17.610001,17.130182,37122400
2016-09-01,17.639999,20.230000,17.129999,17.260000,16.789722,26968100
2016-10-01,17.360001,21.450001,17.059999,21.389999,20.835047,29991700
2016-11-01,22.190001,22.330000,19.150000,19.590000,19.081749,29817100
2016-12-01,19.620001,20.180000,17.600000,19.250000,18.750566,26300100
2017-01-01,19.879999,24.010000,19.809999,22.860001,22.266912,22545400
2017-02-01,23.290001,24.280001,22.170000,23.090000,22.490942,15902700
2017-03-01,23.320000,24.950001,21.990000,22.080000,21.507147,23195000
2017-04-01,21.910000,22.389999,18.670000,19.200001,18.739849,20850600
2017-05-01,19.219999,20.940001,17.580000,19.760000,19.415276,32296000
2017-06-01,19.950001,20.080000,17.900000,18.230000,17.911966,20088900
2017-07-01,18.340000,20.740000,18.270000,20.270000,20.020124,16893100
2017-08-01,20.160000,22.760000,19.850000,22.700001,22.420170,34275800
2017-09-01,22.840000,24.110001,22.410000,22.610001,22.331278,25581400
2017-10-01,22.620001,23.120001,18.450001,19.139999,18.945728,46755600
2017-11-01,19.350000,20.120001,18.360001,19.139999,18.945728,27766500
2017-12-01,19.129999,26.250000,18.910000,23.930000,23.687109,51339000
2018-01-01,24.990000,27.450001,23.540001,25.250000,25.101032,38493000
2018-02-01,25.490000,28.549999,25.250000,26.719999,26.562359,21127800
2018-03-01,26.900000,27.500000,24.430000,26.000000,25.846609,21828600
2018-04-01,25.920000,28.320000,24.410000,25.219999,25.095919,20763100
2018-05-01,25.250000,26.690001,22.860001,24.059999,24.016178,24738400
2018-06-01,24.120001,27.700001,23.000000,24.900000,24.854649,20544300
2018-07-01,24.510000,26.590000,20.049999,20.450001,20.429853,39410700
2018-08-01,20.430000,20.940001,18.290001,19.190001,19.171095,25689700
2018-09-01,18.629999,20.049999,17.990000,19.590000,19.570702,14240000
2018-10-01,19.590000,22.690001,18.830000,22.270000,22.259869,27122400
2018-11-01,22.700001,23.610001,20.770000,22.450001,22.439787,19449600
2018-12-01,23.250000,23.370001,20.530001,22.129999,22.119930,16243200
2019-01-01,22.299999,23.680000,20.330000,21.280001,21.280001,22318100
2019-02-01,21.129999,21.480000,19.480000,20.520000,20.520000,14032300
2019-03-01,20.389999,21.100000,18.500000,19.010000,19.010000,21618200
2019-04-01,19.170000,20.100000,18.719999,20.010000,20.010000,13685100
2019-05-01,20.090000,20.260000,16.809999,19.230000,19.230000,20533900
2019-06-01,19.230000,20.540001,18.830000,20.129999,20.129999,11798800
2019-07-01,20.400000,20.920000,19.719999,20.200001,20.200001,9706900
2019-08-01,20.160000,20.370001,16.730000,17.530001,17.530001,18230500
2019-09-01,17.040001,19.420000,17.040001,17.250000,17.250000,13756200
2019-10-01,17.260000,17.980000,16.379999,17.850000,17.850000,17836400
2019-11-01,17.450001,18.290001,15.860000,17.020000,17.020000,17617500
2019-12-01,17.230000,19.650000,17.190001,19.490000,19.490000,14731000
2020-01-01,19.990000,20.240000,16.660000,16.840000,16.840000,15593800
2020-02-01,17.040001,18.280001,14.460000,15.240000,15.240000,17542500
2020-03-01,14.940000,15.750000,5.750000,7.400000,7.400000,57907900
2020-04-01,7.040000,7.440000,6.270000,6.390000,6.390000,5253500
