Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,7.050000,8.000000,6.020000,6.170000,6.170000,494100
2015-05-01,6.220000,6.236000,5.250000,5.250000,5.250000,215400
2015-06-01,5.250000,6.360000,4.430000,5.230000,5.230000,687200
2015-07-01,5.299000,6.320000,4.650000,5.230000,5.230000,329900
2015-08-01,5.018000,7.170000,2.800000,3.920000,3.920000,4400100
2015-09-01,3.790000,5.090000,2.540000,2.910000,2.910000,6722200
2015-10-01,3.230000,4.570000,3.020000,3.700000,3.700000,8788100
2015-11-01,3.800000,3.970000,3.040000,3.840000,3.840000,1244100
2015-12-01,3.880000,3.880000,2.880000,3.300000,3.300000,1195700
2016-01-01,3.270000,3.410000,2.370000,3.160000,3.160000,931000
2016-02-01,3.250000,3.700000,2.380000,3.430000,3.430000,451900
2016-03-01,3.480000,5.480000,3.370000,5.090000,5.090000,840900
2016-04-01,4.890000,5.630000,4.570000,4.760000,4.760000,870400
2016-05-01,4.740000,5.930000,4.740000,5.390000,5.390000,752600
2016-06-01,5.500000,7.150000,5.160000,6.850000,6.850000,1179100
2016-07-01,6.850000,11.110000,1.520000,2.620000,2.620000,81913100
2016-08-01,2.820000,2.890000,1.890000,1.920000,1.920000,26368400
2016-09-01,1.920000,2.410000,1.750000,2.260000,2.260000,11499100
2016-10-01,2.280000,2.290000,1.580000,1.590000,1.590000,4698000
2016-11-01,1.620000,2.050000,1.350000,1.640000,1.640000,4870200
2016-12-01,1.660000,2.520000,1.420000,1.540000,1.540000,32109200
2017-01-01,2.010000,3.500000,1.870000,2.810000,2.810000,27071800
2017-02-01,2.790000,4.550000,2.410000,3.290000,3.290000,33638600
2017-03-01,3.300000,3.560000,2.692000,3.100000,3.100000,6872000
2017-04-01,3.080000,3.670000,2.410000,2.730000,2.730000,5221700
2017-05-01,2.730000,2.850000,2.400000,2.467000,2.467000,1552300
2017-06-01,2.490000,2.770000,2.450000,2.559000,2.559000,1166400
2017-07-01,2.574000,2.634000,2.210000,2.260000,2.260000,1089100
2017-08-01,2.290000,2.710000,2.190000,2.520000,2.520000,1223200
2017-09-01,2.540000,3.690000,2.410000,3.340000,3.340000,3930900
2017-10-01,3.350000,4.090000,2.765000,3.050000,3.050000,10914000
2017-11-01,3.060000,3.070000,2.520000,2.670000,2.670000,2507700
2017-12-01,2.640000,2.725000,2.200000,2.260000,2.260000,1992700
2018-01-01,2.240000,2.840000,2.240000,2.680000,2.680000,1533100
2018-02-01,2.670000,2.790000,1.850000,1.950000,1.950000,2222400
2018-03-01,1.950000,2.225000,1.870000,2.080000,2.080000,1718000
2018-04-01,2.101000,2.540000,2.000000,2.480000,2.480000,2126400
2018-05-01,2.500000,3.100000,2.360000,2.940000,2.940000,2107000
2018-06-01,2.950000,2.950000,2.340000,2.500000,2.500000,1346500
2018-07-01,2.510000,2.840000,2.450000,2.770000,2.770000,592900
2018-08-01,2.750000,2.910000,2.100000,2.890000,2.890000,2281000
2018-09-01,2.960000,3.400000,2.870000,2.980000,2.980000,2989900
2018-10-01,3.020000,3.070000,2.300000,2.440000,2.440000,1207200
2018-11-01,2.460000,3.060000,2.370000,2.550000,2.550000,817300
2018-12-01,2.590000,2.810000,2.080000,2.480000,2.480000,730200
2019-01-01,2.480000,2.950000,2.390000,2.890000,2.890000,798200
2019-02-01,2.900000,3.260000,2.800000,3.080000,3.080000,688500
2019-03-01,3.080000,3.080000,1.040000,1.500000,1.500000,25667100
2019-04-01,1.630000,2.000000,0.700000,0.720000,0.720000,31319500
2019-05-01,0.730000,0.740000,0.530000,0.633000,0.633000,6523000
2019-06-01,0.670000,0.743000,0.500000,0.625000,0.625000,6871000
2019-07-01,0.620000,1.390000,0.620000,0.974000,0.974000,36251600
2019-08-01,0.960000,1.080000,0.803000,0.994000,0.994000,6650600
2019-09-01,1.040000,1.100000,0.850000,0.860000,0.860000,4136800
2019-10-01,0.873000,0.910000,0.733000,0.875000,0.875000,1240700
2019-11-01,0.895000,1.720000,0.815000,1.660000,1.660000,9302700
2019-12-01,1.730000,1.730000,1.350000,1.620000,1.620000,5391100
2020-01-01,1.620000,1.790000,1.360000,1.390000,1.390000,5133400
2020-02-01,1.390000,1.600000,1.030000,1.230000,1.230000,2582500
2020-03-01,1.200000,1.440000,0.790000,1.160000,1.160000,4028200
2020-04-01,1.120000,1.160000,1.000000,1.030000,1.030000,200800
