Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,40.360001,42.560001,39.880001,40.590000,37.022568,16519600
2015-05-01,40.950001,43.869999,40.209999,42.900002,39.321632,14263400
2015-06-01,43.130001,46.500000,42.279999,44.820000,41.081486,20990200
2015-07-01,45.459999,45.910000,42.830002,44.759998,41.026485,25820100
2015-08-01,44.669998,45.669998,37.189999,40.150002,36.967571,33452000
2015-09-01,39.529999,40.919998,37.290001,38.419998,35.374699,20744600
2015-10-01,38.380001,41.959999,36.400002,40.389999,37.188549,20620400
2015-11-01,40.549999,43.759998,40.119999,43.380001,40.134552,16897900
2015-12-01,43.520000,43.939999,40.680000,41.560001,38.450722,17369500
2016-01-01,41.070000,41.070000,31.330000,32.419998,29.994516,29810800
2016-02-01,32.369999,32.950001,27.250000,29.969999,27.891886,34196000
2016-03-01,30.080000,33.889999,30.049999,32.480000,30.227844,26332400
2016-04-01,32.250000,40.000000,31.370001,37.490002,34.890453,20384700
2016-05-01,37.330002,39.099998,35.180000,38.599998,35.923485,17388700
2016-06-01,38.320000,39.340000,31.340000,34.180000,31.980564,25337300
2016-07-01,33.840000,36.189999,31.340000,34.220001,32.018002,21046200
2016-08-01,34.340000,37.220001,33.020000,37.139999,34.952019,17035300
2016-09-01,37.349998,37.590000,35.330002,36.709999,34.547340,18360500
2016-10-01,36.389999,40.459999,36.310001,39.509998,37.182407,18934300
2016-11-01,39.740002,48.139999,38.130001,47.880001,45.286880,20588900
2016-12-01,48.299999,51.730000,47.880001,50.830002,48.077118,18003800
2017-01-01,51.580002,54.040001,48.830002,51.439999,48.654068,14462000
2017-02-01,52.209999,54.919998,50.200001,54.119999,51.384121,12685100
2017-03-01,55.000000,56.970001,48.070000,51.610001,49.001007,20610000
2017-04-01,51.639999,57.240002,48.759998,54.270000,51.526535,23185900
2017-05-01,54.689999,56.490002,53.080002,54.730000,52.147064,30542500
2017-06-01,55.049999,60.040001,53.270000,58.580002,55.815372,26983500
2017-07-01,58.990002,60.419998,56.189999,56.980000,54.290874,17624800
2017-08-01,57.450001,59.029999,53.820000,55.369999,52.942425,12717000
2017-09-01,55.610001,60.290001,52.860001,59.779999,57.159081,16504600
2017-10-01,59.849998,61.900002,57.040001,59.840000,57.216454,22071900
2017-11-01,60.389999,62.759998,55.970001,61.540001,59.037601,17067900
2017-12-01,61.450001,63.919998,58.540001,60.830002,58.356476,15951200
2018-01-01,61.320000,69.250000,60.630001,65.910004,63.229923,18442400
2018-02-01,65.620003,68.860001,60.360001,65.550003,62.884544,14541500
2018-03-01,65.510002,69.220001,60.330002,62.540001,60.176872,25777400
2018-04-01,62.680000,67.870003,59.180000,66.620003,64.102707,19831000
2018-05-01,66.400002,72.720001,65.610001,69.480003,67.053490,16099200
2018-06-01,70.690002,73.980003,65.110001,65.199997,62.922951,15767600
2018-07-01,65.070000,68.089996,64.029999,64.739998,62.479019,16410800
2018-08-01,65.279999,66.220001,62.360001,63.389999,61.393143,13887100
2018-09-01,63.330002,64.339996,59.900002,60.369999,58.468273,15015700
2018-10-01,62.060001,63.270000,50.340000,52.439999,50.788082,25555200
2018-11-01,52.669998,55.439999,50.150002,53.689999,52.227379,16477000
2018-12-01,54.490002,55.200001,40.049999,43.529999,42.344158,25758400
2019-01-01,42.740002,52.990002,42.740002,50.320000,48.949188,20825700
2019-02-01,50.279999,56.090000,49.720001,54.610001,53.122318,14801300
2019-03-01,55.139999,55.459999,45.980000,47.970001,46.877472,20657100
2019-04-01,48.599998,52.389999,48.450001,51.480000,50.307526,17908000
2019-05-01,51.549999,52.970001,42.349998,42.720001,41.968693,18697700
2019-06-01,42.509998,47.349998,42.029999,46.770000,45.947464,23435200
2019-07-01,48.020000,49.189999,44.290001,48.009998,47.165653,19961000
2019-08-01,47.790001,48.099998,37.689999,41.130001,40.636547,21468800
2019-09-01,40.480000,46.919998,39.730000,44.290001,43.758633,18352400
2019-10-01,44.580002,45.009998,39.650002,42.919998,42.405064,30546600
2019-11-01,43.540001,46.820000,43.250000,45.820000,45.554279,17341700
2019-12-01,46.250000,49.680000,43.990002,48.700001,48.417580,18469100
2020-01-01,49.110001,51.880001,44.849998,45.840000,45.574162,27349200
2020-02-01,46.230000,49.419998,37.220001,38.740002,38.740002,23762100
2020-03-01,38.639999,40.889999,25.309999,25.740000,25.740000,64135800
2020-04-01,25.000000,25.670000,23.760000,24.230000,24.230000,3301400
