Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,1.930000,2.240000,1.840000,2.020000,2.020000,19245600
2015-05-01,2.000000,2.410000,1.900000,1.970000,1.970000,17354600
2015-06-01,2.020000,2.220000,1.950000,1.990000,1.990000,14417300
2015-07-01,1.990000,2.050000,1.260000,1.370000,1.370000,17527100
2015-08-01,1.340000,1.940000,1.250000,1.520000,1.520000,21573200
2015-09-01,1.690000,1.770000,1.370000,1.600000,1.600000,18658100
2015-10-01,1.530000,1.940000,1.530000,1.650000,1.650000,14492100
2015-11-01,1.610000,1.610000,1.330000,1.420000,1.420000,11494300
2015-12-01,1.440000,1.570000,1.360000,1.420000,1.420000,10190800
2016-01-01,1.430000,1.480000,1.000000,1.240000,1.240000,10874800
2016-02-01,1.250000,1.830000,1.180000,1.680000,1.680000,20863600
2016-03-01,1.680000,2.910000,1.580000,2.460000,2.460000,40098800
2016-04-01,2.360000,4.280000,2.330000,4.150000,4.150000,51445300
2016-05-01,4.210000,4.230000,2.900000,3.100000,3.100000,50115000
2016-06-01,3.130000,3.990000,2.960000,3.950000,3.950000,47715500
2016-07-01,4.100000,5.130000,3.990000,4.850000,4.850000,54274500
2016-08-01,4.970000,5.950000,4.290000,4.320000,4.320000,63545500
2016-09-01,4.270000,5.840000,4.210000,5.130000,5.130000,73523500
2016-10-01,5.110000,5.180000,4.000000,4.400000,4.400000,41618700
2016-11-01,4.580000,5.070000,3.530000,3.800000,3.800000,51776200
2016-12-01,3.750000,4.150000,3.100000,3.520000,3.520000,54332200
2017-01-01,3.620000,4.350000,3.560000,4.230000,4.230000,43280800
2017-02-01,4.210000,4.900000,4.120000,4.340000,4.340000,41536000
2017-03-01,4.130000,4.420000,2.840000,3.180000,3.180000,64835900
2017-04-01,3.180000,3.730000,2.760000,3.080000,3.080000,53300600
2017-05-01,3.050000,3.390000,2.800000,2.910000,2.910000,57604200
2017-06-01,2.860000,3.220000,2.800000,3.050000,3.050000,51025300
2017-07-01,2.960000,3.120000,2.750000,3.050000,3.050000,28853700
2017-08-01,3.030000,3.100000,2.080000,2.490000,2.490000,45857200
2017-09-01,2.500000,2.710000,2.330000,2.380000,2.380000,32763200
2017-10-01,2.350000,2.750000,2.060000,2.080000,2.080000,32042000
2017-11-01,2.130000,2.290000,1.940000,2.100000,2.100000,37505200
2017-12-01,2.110000,2.530000,1.980000,2.390000,2.390000,25033200
2018-01-01,2.470000,2.700000,2.300000,2.390000,2.390000,33662600
2018-02-01,2.340000,2.440000,2.000000,2.200000,2.200000,24439300
2018-03-01,2.170000,2.550000,2.120000,2.430000,2.430000,25124200
2018-04-01,2.460000,3.240000,2.370000,3.000000,3.000000,30610500
2018-05-01,2.950000,3.150000,2.710000,2.810000,2.810000,26094900
2018-06-01,2.800000,3.320000,2.710000,3.120000,3.120000,29013100
2018-07-01,3.060000,3.350000,2.800000,2.930000,2.930000,16855400
2018-08-01,2.910000,2.920000,2.090000,2.240000,2.240000,22146500
2018-09-01,2.200000,2.400000,2.080000,2.310000,2.310000,12420600
2018-10-01,2.280000,2.570000,1.860000,1.970000,1.970000,19421300
2018-11-01,2.040000,2.200000,1.760000,1.850000,1.850000,14793100
2018-12-01,1.920000,2.260000,1.810000,2.150000,2.150000,19463200
2019-01-01,2.150000,2.300000,1.890000,2.220000,2.220000,15992400
2019-02-01,2.200000,2.700000,2.150000,2.570000,2.570000,17057700
2019-03-01,2.540000,2.850000,2.330000,2.520000,2.520000,23320000
2019-04-01,2.520000,2.570000,2.070000,2.200000,2.200000,15583100
2019-05-01,2.210000,2.210000,1.680000,1.790000,1.790000,20432500
2019-06-01,1.830000,2.150000,1.760000,2.050000,2.050000,28271500
2019-07-01,2.000000,2.570000,1.700000,2.300000,2.300000,63898300
2019-08-01,2.240000,2.860000,2.200000,2.640000,2.640000,76205400
2019-09-01,2.740000,3.200000,2.210000,2.220000,2.220000,89500900
2019-10-01,2.260000,2.550000,2.020000,2.480000,2.480000,60375900
2019-11-01,2.410000,2.590000,1.970000,2.160000,2.160000,52384200
2019-12-01,2.130000,2.490000,2.080000,2.410000,2.410000,53468400
2020-01-01,2.440000,2.470000,2.000000,2.120000,2.120000,44869400
2020-02-01,2.100000,2.120000,1.440000,1.560000,1.560000,47349900
2020-03-01,1.610000,1.850000,0.990000,1.340000,1.340000,58895300
2020-04-01,1.300000,1.330000,1.180000,1.200000,1.200000,5019300
