Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,6.971000,6.971000,6.971000,6.971000,6.858796,0
2016-02-01,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,21.150000,21.270000,20.000000,20.180000,19.855183,5406100
2016-10-01,20.450001,22.270000,19.809999,20.850000,20.514400,1511900
2016-11-01,20.910000,23.889999,20.650000,23.700001,23.318529,999000
2016-12-01,23.790001,26.450001,23.160000,23.969999,23.584183,2428300
2017-01-01,26.090000,28.040001,23.709999,25.459999,25.050198,1374900
2017-02-01,25.540001,33.770000,24.100000,31.750000,31.238958,2129500
2017-03-01,32.000000,35.500000,30.400000,35.360001,34.790852,991700
2017-04-01,35.330002,37.849998,32.494999,36.240002,35.656685,1122200
2017-05-01,36.400002,38.590000,33.939999,34.169998,33.619999,1199700
2017-06-01,34.220001,37.160000,33.970001,36.189999,35.607487,971000
2017-07-01,36.290001,36.830002,33.139999,34.369999,33.816784,1955300
2017-08-01,34.349998,35.549999,32.840000,34.750000,34.190670,1984700
2017-09-01,34.830002,38.240002,33.650002,37.720001,37.112869,2578700
2017-10-01,38.049999,41.970001,37.369999,40.869999,40.212162,1789300
2017-11-01,41.480000,43.009998,38.540001,42.450001,41.766735,1443600
2017-12-01,42.470001,44.810001,41.299999,41.990002,41.314137,1537700
2018-01-01,42.189999,45.430000,42.150002,42.279999,41.599464,2613600
2018-02-01,41.990002,43.130001,38.320000,39.529999,38.893730,1573900
2018-03-01,39.500000,42.779999,39.099998,40.590000,39.936668,4703800
2018-04-01,40.529999,42.320000,39.590000,39.830002,39.188904,1359600
2018-05-01,39.700001,43.930000,39.049999,40.919998,40.320648,3252800
2018-06-01,41.380001,43.314999,40.099998,40.720001,40.123581,2974400
2018-07-01,40.400002,43.849998,40.310001,42.560001,41.936634,1843300
2018-08-01,42.560001,44.500000,42.180000,43.980000,43.396923,1096600
2018-09-01,43.758999,44.689999,38.869999,39.180000,38.660564,2043300
2018-10-01,39.590000,39.590000,33.115002,36.480000,35.996357,2453500
2018-11-01,36.630001,39.580002,36.349998,38.650002,38.220795,1129600
2018-12-01,39.020000,39.020000,32.660000,35.020000,34.631104,1063600
2019-01-01,34.669998,38.500000,32.680000,33.080002,32.712654,2261300
2019-02-01,33.154999,36.130001,33.080002,35.450001,35.139973,933600
2019-03-01,35.750000,35.750000,30.330000,31.760000,31.482241,999600
2019-04-01,32.000000,37.340000,31.639000,36.740002,36.418690,1412000
2019-05-01,36.799999,37.270000,34.250000,34.790001,34.560795,1335600
2019-06-01,34.720001,36.759998,34.720001,36.599998,36.358868,1679700
2019-07-01,37.169998,38.650002,35.860001,38.009998,37.759579,1697600
2019-08-01,37.959999,38.320000,34.790001,35.869999,35.707741,857400
2019-09-01,35.560001,39.240002,35.160000,37.549999,37.380138,918000
2019-10-01,37.750000,39.500000,35.900002,37.669998,37.499596,1311400
2019-11-01,37.980000,39.709999,37.529999,38.500000,38.406147,938100
2019-12-01,38.590000,40.330002,37.500000,39.590000,39.493492,894300
2020-01-01,40.080002,40.080002,35.500000,35.650002,35.563099,2623200
2020-02-01,35.860001,37.360001,31.599001,32.570000,32.490604,2423500
2020-03-01,32.380001,33.259998,14.380000,19.719999,19.719999,4153300
2020-04-01,18.700001,18.940001,17.660000,18.860001,18.860001,440300
