Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,13.800000,14.800000,12.170000,13.240000,13.240000,289600
2015-05-01,13.040000,13.420000,12.280000,12.900000,12.900000,198400
2015-06-01,12.990000,13.380000,10.510000,11.280000,11.280000,570700
2015-07-01,11.250000,11.500000,10.330000,11.180000,11.180000,745400
2015-08-01,10.960000,11.460000,10.410000,11.190000,11.190000,93900
2015-09-01,11.020000,11.250000,10.130000,10.370000,10.370000,305300
2015-10-01,10.140000,11.130000,9.950000,10.760000,10.760000,137100
2015-11-01,10.920000,11.280000,10.110000,11.000000,11.000000,56400
2015-12-01,10.510000,10.990000,9.770000,10.620000,10.620000,415600
2016-01-01,10.580000,10.890000,8.510000,8.880000,8.880000,196000
2016-02-01,8.940000,9.980000,8.820000,9.330000,9.330000,83300
2016-03-01,9.450000,11.000000,9.250000,9.980000,9.980000,1023500
2016-04-01,10.220000,10.220000,9.760000,10.130000,10.130000,248300
2016-05-01,10.020000,10.180000,9.580000,9.890000,9.890000,84800
2016-06-01,9.790000,10.000000,8.600000,9.300000,9.300000,180300
2016-07-01,9.210000,11.990000,9.200000,10.720000,10.720000,376700
2016-08-01,10.770000,11.240000,10.220000,10.980000,10.980000,58200
2016-09-01,10.330000,11.990000,10.070000,10.510000,10.510000,187000
2016-10-01,10.570000,10.640000,9.050000,9.180000,9.180000,88400
2016-11-01,9.180000,10.600000,9.000000,10.440000,10.440000,95900
2016-12-01,10.630000,10.880000,9.550000,10.800000,10.800000,351700
2017-01-01,10.500000,11.240000,10.500000,11.080000,11.080000,62500
2017-02-01,10.870000,11.430000,10.650000,11.090000,11.090000,106300
2017-03-01,11.000000,11.500000,10.500000,11.000000,11.000000,797800
2017-04-01,10.300000,11.050000,10.290000,10.500000,10.500000,575800
2017-05-01,10.500000,10.760000,9.300000,9.970000,9.970000,669100
2017-06-01,9.850000,10.000000,8.800000,9.540000,9.540000,646400
2017-07-01,9.340000,9.750000,7.910000,9.470000,9.470000,619300
2017-08-01,8.580000,8.890000,7.530000,7.980000,7.980000,169900
2017-09-01,8.010000,9.550000,7.660000,9.550000,9.550000,637600
2017-10-01,9.630000,10.000000,8.950000,9.280000,9.280000,179600
2017-11-01,9.340000,9.650000,8.800000,9.380000,9.380000,199200
2017-12-01,9.400000,9.700000,8.660000,9.360000,9.360000,168400
2018-01-01,9.380000,9.940000,9.050000,9.500000,9.500000,87900
2018-02-01,9.300000,10.590000,9.080000,9.240000,9.240000,85400
2018-03-01,9.330000,10.000000,8.620000,8.750000,8.750000,237000
2018-04-01,8.770000,9.700000,8.550000,8.810000,8.810000,369300
2018-05-01,8.800000,8.950000,7.700000,8.080000,8.080000,422900
2018-06-01,8.130000,8.550000,7.510000,8.060000,8.060000,331600
2018-07-01,7.950000,8.410000,7.300000,8.300000,8.300000,437200
2018-08-01,8.340000,8.900000,7.870000,8.300000,8.300000,216100
2018-09-01,8.430000,10.560000,7.800000,10.370000,10.370000,569700
2018-10-01,10.450000,11.380000,10.120000,11.100000,11.100000,417000
2018-11-01,11.180000,11.840000,10.300000,10.760000,10.760000,181600
2018-12-01,11.000000,12.000000,9.600000,10.600000,10.600000,257400
2019-01-01,10.340000,13.380000,9.620000,13.240000,13.240000,273700
2019-02-01,12.380000,13.520000,11.020000,11.630000,11.630000,151900
2019-03-01,11.460000,12.630000,10.800000,11.850000,11.850000,217400
2019-04-01,12.040000,12.550000,11.530000,12.050000,12.050000,188100
2019-05-01,12.060000,12.300000,11.190000,11.200000,11.200000,91900
2019-06-01,11.190000,12.160000,10.430000,11.390000,11.390000,135300
2019-07-01,11.130000,12.430000,10.910000,11.940000,11.940000,535300
2019-08-01,11.810000,11.850000,10.470000,10.750000,10.750000,1779700
2019-09-01,10.750000,12.170000,10.350000,12.150000,12.150000,1187700
2019-10-01,11.930000,12.170000,10.820000,11.800000,11.800000,97900
2019-11-01,11.770000,11.770000,10.010000,10.100000,10.100000,128600
2019-12-01,10.000000,10.850000,9.150000,10.210000,10.210000,469200
2020-01-01,10.450000,10.460000,9.040000,9.250000,9.250000,147800
2020-02-01,9.050000,9.770000,9.020000,9.300000,9.300000,109900
2020-03-01,9.250000,9.590000,5.950000,9.140000,9.140000,233200
2020-04-01,8.970000,9.040000,8.640000,9.040000,9.040000,20100
