Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,2.960000,3.150000,2.960000,3.150000,2.953751,9000
2016-12-01,3.150000,3.150000,2.980000,2.980000,2.794343,8500
2017-01-01,2.980000,3.304000,2.920000,3.020000,2.831851,31000
2017-02-01,3.020000,3.150000,3.002000,3.050000,2.859982,21000
2017-03-01,3.050000,3.200000,2.990000,3.048000,2.858106,73000
2017-04-01,3.048000,4.700000,3.048000,4.290000,4.022728,184000
2017-05-01,4.290000,4.800000,4.210000,4.500000,4.219645,73500
2017-06-01,4.588000,4.590000,4.010000,4.240000,3.975843,23000
2017-07-01,4.240000,4.240000,3.538000,3.614000,3.388844,28500
2017-08-01,3.614000,4.340000,3.590000,3.910000,3.666402,22000
2017-09-01,4.018000,7.870000,3.910000,6.925000,6.493564,409000
2017-10-01,6.805000,7.150000,5.975000,6.600000,6.188812,145500
2017-11-01,6.595000,6.595000,5.900000,6.295000,5.902814,35500
2017-12-01,6.160000,6.500000,5.900000,6.270000,5.879372,27500
2018-01-01,6.270000,7.350000,6.270000,6.700000,6.282582,116500
2018-02-01,6.600000,6.700000,6.200000,6.550000,6.141927,21000
2018-03-01,6.550000,7.200000,6.200000,6.800000,6.376352,51500
2018-04-01,6.800000,7.450000,6.600000,6.600000,6.188812,38500
2018-05-01,6.600000,6.850000,6.200000,6.500000,6.208333,20000
2018-06-01,6.500000,6.900000,6.150000,6.550000,6.256090,11500
2018-07-01,6.550000,7.200000,6.450000,6.650000,6.351603,27500
2018-08-01,6.650000,6.700000,6.400000,6.450000,6.160577,8000
2018-09-01,6.500000,7.300000,6.500000,6.900000,6.590384,74000
2018-10-01,6.900000,6.900000,6.050000,6.200000,5.921794,184000
2018-11-01,6.200000,6.650000,6.200000,6.650000,6.351603,7500
2018-12-01,6.500000,6.650000,5.950000,6.050000,5.778526,7000
2019-01-01,6.050000,7.000000,6.000000,6.450000,6.160577,14000
2019-02-01,6.450000,6.800000,6.300000,6.650000,6.351603,8500
2019-03-01,6.650000,7.450000,6.500000,7.250000,6.924679,53000
2019-04-01,7.350000,8.350000,7.150000,7.550000,7.211218,116000
2019-05-01,7.550000,7.800000,7.100000,7.100000,7.100000,36000
2019-06-01,7.250000,7.600000,7.150000,7.350000,7.350000,38500
2019-07-01,7.450000,8.000000,7.300000,7.400000,7.400000,78000
2019-08-01,7.300000,7.550000,7.100000,7.300000,7.300000,34000
2019-09-01,7.300000,7.850000,6.800000,7.350000,7.350000,59500
2019-10-01,7.350000,7.950000,7.100000,7.600000,7.600000,48000
2019-11-01,7.700000,10.300000,7.700000,8.900000,8.900000,366000
2019-12-01,8.800000,9.000000,8.000000,9.000000,9.000000,53500
2020-01-01,9.000000,9.800000,8.600000,8.700000,8.700000,92000
2020-02-01,8.700000,9.250000,8.300000,9.100000,9.100000,155500
2020-03-01,9.150000,9.200000,8.000000,8.200000,8.200000,184500
2020-04-01,8.100000,8.200000,8.100000,8.150000,8.150000,4000
