Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,17.110001,17.830000,16.950001,17.740000,10.541490,1587900
2015-05-01,17.709999,17.790001,16.870001,16.950001,10.132530,1331800
2015-06-01,16.969999,16.969999,15.520000,15.700000,9.439569,2499000
2015-07-01,15.640000,15.860000,14.410000,15.500000,9.375736,3141400
2015-08-01,15.220000,15.750000,13.460000,14.980000,9.121036,3396400
2015-09-01,14.590000,15.150000,12.050000,12.420000,7.612890,2417300
2015-10-01,12.560000,14.770000,12.520000,13.860000,8.554360,3202900
2015-11-01,13.750000,14.330000,11.460000,11.710000,7.289011,3388000
2015-12-01,11.550000,12.110000,8.820000,10.770000,6.755072,7235700
2016-01-01,10.500000,11.200000,7.050000,10.100000,6.392154,3388500
2016-02-01,9.920000,11.130000,8.520000,11.020000,7.043079,3614700
2016-03-01,10.960000,12.330000,10.490000,12.000000,7.749981,2716900
2016-04-01,11.850000,13.260000,11.220000,13.140000,8.567867,2320900
2016-05-01,13.180000,13.250000,12.020000,13.090000,8.610603,2429600
2016-06-01,12.960000,14.380000,12.190000,14.050000,9.316541,3348000
2016-07-01,13.990000,14.500000,13.460000,13.820000,9.238130,2171600
2016-08-01,13.710000,13.940000,13.050000,13.090000,8.816040,2203700
2016-09-01,13.010000,13.870000,12.710000,13.670000,9.277149,1805500
2016-10-01,13.640000,13.640000,12.630000,12.800000,8.756970,1598900
2016-11-01,12.730000,13.240000,10.910000,13.020000,8.976427,2512600
2016-12-01,13.150000,13.690000,12.480000,12.860000,8.939447,2500100
2017-01-01,12.830000,14.120000,12.830000,13.360000,9.362519,2603600
2017-02-01,13.460000,14.230000,13.310000,13.830000,9.771675,2004000
2017-03-01,13.820000,13.890000,12.840000,13.530000,9.635437,1854800
2017-04-01,13.560000,13.950000,13.280000,13.710000,9.838317,1531600
2017-05-01,13.650000,13.690000,12.960000,13.020000,9.416248,1906100
2017-06-01,12.910000,13.210000,11.920000,13.150000,9.583665,2312600
2017-07-01,13.180000,13.370000,12.720000,13.250000,9.735053,1505100
2017-08-01,13.060000,13.230000,12.000000,12.370000,9.161652,2466700
2017-09-01,12.290000,12.830000,12.150000,12.610000,9.414005,2320600
2017-10-01,12.480000,12.790000,11.500000,11.910000,8.967541,2383000
2017-11-01,11.930000,12.100000,10.930000,11.890000,9.027654,2986400
2017-12-01,11.890000,12.780000,11.470000,11.970000,9.169228,3722300
2018-01-01,11.940000,13.490000,11.940000,12.710000,9.822829,2773300
2018-02-01,12.730000,12.750000,11.290000,11.770000,9.176855,1938400
2018-03-01,11.660000,11.780000,9.610000,9.820000,7.720253,3138300
2018-04-01,9.720000,11.350000,9.570000,11.350000,9.003424,2207400
2018-05-01,11.210000,11.390000,10.150000,10.470000,8.395124,2806500
2018-06-01,10.370000,10.570000,10.120000,10.380000,8.400676,2214100
2018-07-01,10.310000,10.900000,10.220000,10.890000,8.902709,1917100
2018-08-01,10.700000,11.060000,9.870000,10.030000,8.283440,4026400
2018-09-01,9.970000,10.040000,9.340000,9.610000,8.013844,3642700
2018-10-01,9.520000,9.810000,8.520000,8.650000,7.267639,3163900
2018-11-01,8.650000,8.970000,8.250000,8.500000,7.197785,2826700
2018-12-01,8.580000,8.600000,6.940000,7.540000,6.440702,7304600
2019-01-01,7.430000,8.980000,7.320000,8.890000,7.661481,3386300
2019-02-01,8.840000,9.090000,8.530000,8.620000,7.503428,2494300
2019-03-01,8.590000,9.300000,8.450000,9.260000,8.129106,2329500
2019-04-01,9.240000,9.370000,9.080000,9.270000,8.209313,2280400
2019-05-01,9.130000,9.450000,8.810000,8.950000,7.990648,2844500
2019-06-01,8.910000,9.490000,8.890000,9.450000,8.505868,2332100
2019-07-01,9.470000,10.000000,9.360000,9.620000,8.732059,2387600
2019-08-01,9.530000,9.540000,8.770000,9.100000,8.326136,2676100
2019-09-01,8.970000,9.490000,8.850000,9.330000,8.603654,1970400
2019-10-01,9.300000,9.300000,8.580000,8.660000,8.052176,2068500
2019-11-01,8.700000,8.830000,8.200000,8.480000,7.948708,3250800
2019-12-01,8.430000,9.510000,8.200000,9.330000,8.821855,3796500
2020-01-01,9.350000,9.630000,8.890000,8.920000,8.509445,2820900
2020-02-01,8.840000,9.290000,7.550000,7.890000,7.587848,3171800
2020-03-01,7.920000,8.270000,2.600000,3.600000,3.491493,8615900
2020-04-01,3.330000,3.890000,3.280000,3.570000,3.495625,1137600
