Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,23.980000,25.250000,22.750000,23.400000,21.334078,818300
2015-05-01,23.370001,24.070000,21.900000,22.230000,20.267372,505700
2015-06-01,22.200001,22.469999,19.820000,20.490000,18.680994,1113900
2015-07-01,20.510000,20.600000,17.110001,18.879999,17.279594,1396900
2015-08-01,19.010000,19.440001,15.710000,18.500000,16.931807,1846700
2015-09-01,18.280001,18.280001,16.590000,17.650000,16.225855,931700
2015-10-01,17.770000,18.879999,16.650000,16.969999,15.600720,958700
2015-11-01,16.940001,18.250000,16.910000,17.959999,16.510841,659300
2015-12-01,18.000000,18.010000,15.630000,16.820000,15.532126,1079800
2016-01-01,16.520000,17.860001,14.390000,17.299999,15.975373,1327200
2016-02-01,17.139999,18.780001,16.059999,18.370001,16.963444,774400
2016-03-01,18.450001,20.240000,18.160000,19.910000,18.484024,605600
2016-04-01,19.700001,19.920000,17.910000,18.510000,17.184296,397300
2016-05-01,18.530001,19.530001,17.110001,18.059999,16.766523,565200
2016-06-01,18.080000,19.170000,17.430000,18.420000,17.100742,512400
2016-07-01,18.340000,21.090000,18.010000,18.020000,16.810080,384700
2016-08-01,18.129999,20.360001,17.719999,19.110001,17.826889,414400
2016-09-01,18.870001,20.040001,17.750000,19.100000,17.907148,384300
2016-10-01,18.959999,19.809999,17.770000,17.850000,16.735218,245200
2016-11-01,18.750000,24.049999,17.190001,22.219999,20.832294,955700
2016-12-01,22.290001,23.870001,21.760000,22.150000,20.874952,842700
2017-01-01,22.799999,25.000000,21.590000,22.219999,20.940922,829100
2017-02-01,22.650000,24.340000,21.600000,21.930000,20.667618,800600
2017-03-01,22.370001,23.629999,22.100000,23.000000,21.761587,823500
2017-04-01,23.030001,23.280001,20.650000,22.070000,20.881660,667500
2017-05-01,22.120001,24.030001,20.770000,20.930000,19.803047,572200
2017-06-01,21.240000,21.910000,19.309999,19.660000,18.601425,875400
2017-07-01,19.889999,20.500000,19.459999,20.010000,19.019207,510900
2017-08-01,19.900000,20.850000,18.780001,20.030001,19.038216,846900
2017-09-01,20.059999,21.250000,19.620001,20.830000,19.890312,534800
2017-10-01,20.889999,22.379999,18.629999,19.270000,18.400684,662700
2017-11-01,19.389999,20.660000,17.969999,18.840000,17.990088,887200
2017-12-01,19.840000,22.530001,18.639999,20.930000,20.081375,653400
2018-01-01,21.070000,22.830000,21.070000,21.400000,20.532318,1120700
2018-02-01,21.400000,23.250000,20.129999,20.209999,19.390566,940800
2018-03-01,20.150000,22.299999,19.760000,21.420000,20.639124,573700
2018-04-01,21.350000,22.450001,20.750000,21.580000,20.793291,788700
2018-05-01,21.540001,27.500000,21.000000,25.510000,24.580025,681300
2018-06-01,25.639999,27.510000,24.879999,25.809999,24.869085,824300
2018-07-01,25.709999,27.209999,25.120001,26.629999,25.749611,503100
2018-08-01,26.620001,28.980000,22.549999,27.809999,26.890600,474700
2018-09-01,27.660000,28.610001,25.610001,28.170000,27.337107,320800
2018-10-01,28.180000,28.730000,23.059999,24.610001,23.882362,724500
2018-11-01,25.219999,26.540001,24.500000,24.920000,24.183195,605500
2018-12-01,25.330000,26.350000,19.480000,22.840000,22.253109,548300
2019-01-01,22.660000,24.900000,21.389999,22.400000,21.824413,390500
2019-02-01,22.480000,23.590000,20.840000,22.650000,22.067991,312000
2019-03-01,22.799999,22.969999,19.000000,19.629999,19.215677,454700
2019-04-01,19.840000,21.000000,19.270000,20.700001,20.263094,351800
2019-05-01,20.719999,22.840000,18.959999,20.410000,19.979216,373800
2019-06-01,20.270000,21.410000,19.500000,20.209999,19.783436,440400
2019-07-01,20.480000,23.250000,18.620001,21.650000,21.294445,452300
2019-08-01,21.650000,21.900000,17.700001,18.410000,18.107656,433700
2019-09-01,18.700001,20.620001,17.750000,19.860001,19.645407,807000
2019-10-01,20.010000,23.379999,19.030001,22.660000,22.415152,545600
2019-11-01,22.940001,23.639999,21.170000,21.240000,21.010496,415600
2019-12-01,21.250000,23.770000,20.370001,21.879999,21.746288,650400
2020-01-01,21.900000,21.900000,17.830000,18.280001,18.168289,701900
2020-02-01,18.430000,19.049999,16.500000,16.580000,16.478678,519800
2020-03-01,16.900000,17.000000,11.070000,12.900000,12.900000,1259000
2020-04-01,12.500000,12.950000,11.540000,12.000000,12.000000,142500
