Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,21.139999,25.709999,20.540001,21.010000,21.010000,3912000
2015-05-01,21.049999,26.660000,20.549999,26.040001,26.040001,2837300
2015-06-01,26.270000,33.020000,25.850000,30.430000,30.430000,5229200
2015-07-01,30.750000,35.000000,27.150000,31.799999,31.799999,7284600
2015-08-01,31.900000,32.978001,25.340000,27.200001,27.200001,8751400
2015-09-01,26.700001,33.959999,25.670000,32.299999,32.299999,3368900
2015-10-01,30.760000,36.799999,28.620001,34.570000,34.570000,5665700
2015-11-01,34.689999,38.160000,32.441002,35.160000,35.160000,5081400
2015-12-01,35.160000,38.234001,32.599998,37.509998,37.509998,6078900
2016-01-01,36.919998,37.860001,28.900000,30.420000,30.420000,5122300
2016-02-01,30.270000,31.959999,22.504999,30.850000,30.850000,6124700
2016-03-01,31.190001,32.650002,28.270000,30.860001,30.860001,4991100
2016-04-01,30.680000,35.910000,30.110001,35.490002,35.490002,3708300
2016-05-01,35.520000,40.139999,33.599998,40.139999,40.139999,5752900
2016-06-01,40.099998,41.230000,35.900002,39.349998,39.349998,5697900
2016-07-01,39.480000,42.959999,38.759998,42.189999,42.189999,4212600
2016-08-01,42.250000,44.810001,37.500000,39.049999,39.049999,6162400
2016-09-01,39.070000,42.349998,38.029999,42.119999,42.119999,3710800
2016-10-01,42.070000,47.189999,41.660000,43.500000,43.500000,3085300
2016-11-01,43.500000,45.730000,31.639999,34.259998,34.259998,7378600
2016-12-01,34.279999,34.509998,31.219999,33.349998,33.349998,7021100
2017-01-01,33.750000,35.525002,30.900000,33.150002,33.150002,6391000
2017-02-01,33.509998,37.480000,32.110001,36.299999,36.299999,5525000
2017-03-01,36.660000,37.570000,34.340000,36.400002,36.400002,3859200
2017-04-01,36.330002,37.939999,33.560001,37.889999,37.889999,3253100
2017-05-01,37.919998,40.389999,33.869999,39.160000,39.160000,5262000
2017-06-01,39.160000,45.000000,39.160000,43.439999,43.439999,9639500
2017-07-01,43.180000,47.509998,39.810001,45.970001,45.970001,5436300
2017-08-01,46.080002,46.419998,37.849998,38.889999,38.889999,4625900
2017-09-01,38.950001,40.279999,36.669998,40.070000,40.070000,4074900
2017-10-01,40.000000,42.950001,37.330002,37.720001,37.720001,4003100
2017-11-01,37.980000,41.970001,34.820000,40.000000,40.000000,6652000
2017-12-01,39.970001,46.610001,37.939999,46.459999,46.459999,4566700
2018-01-01,46.099998,48.570000,44.549999,45.439999,45.439999,4793300
2018-02-01,45.270000,53.465000,42.110001,52.080002,52.080002,6281100
2018-03-01,52.230000,54.840000,49.770000,51.540001,51.540001,3908400
2018-04-01,51.110001,51.439999,43.290001,45.009998,45.009998,8942000
2018-05-01,44.930000,55.740002,44.259998,51.500000,51.500000,8308900
2018-06-01,51.730000,57.566002,51.639999,56.790001,56.790001,10662800
2018-07-01,56.430000,59.970001,53.619999,55.439999,55.439999,7055200
2018-08-01,55.520000,66.410004,53.240002,64.879997,64.879997,7588300
2018-09-01,64.639999,65.010002,56.000000,58.990002,58.990002,4599200
2018-10-01,59.110001,59.650002,46.299999,51.480000,51.480000,5242300
2018-11-01,51.480000,58.840000,48.950001,58.650002,58.650002,4092600
2018-12-01,59.919998,59.919998,51.509998,56.320000,56.320000,4073900
2019-01-01,55.259998,69.900002,50.910000,67.599998,67.599998,5184200
2019-02-01,67.660004,74.000000,65.730003,68.889999,68.889999,4286200
2019-03-01,69.639999,73.290001,67.599998,71.400002,71.400002,3329400
2019-04-01,71.750000,84.190002,68.680000,83.989998,83.989998,4715300
2019-05-01,84.330002,93.500000,75.000000,92.839996,92.839996,12111600
2019-06-01,92.720001,105.330002,85.620003,101.050003,101.050003,7578900
2019-07-01,103.550003,111.870003,101.440002,106.000000,106.000000,5718200
2019-08-01,106.599998,112.330002,89.790001,94.930000,94.930000,8762400
2019-09-01,94.470001,96.150002,85.269997,91.580002,91.580002,5071400
2019-10-01,91.410004,102.209999,88.199997,93.260002,93.260002,4680200
2019-11-01,94.550003,109.779999,92.120003,107.000000,107.000000,6692600
2019-12-01,106.989998,110.430000,97.291000,106.050003,106.050003,4777400
2020-01-01,106.370003,131.000000,105.169998,122.699997,122.699997,5849500
2020-02-01,123.199997,141.669998,104.849998,113.010002,113.010002,7000200
2020-03-01,115.180000,124.320000,71.940002,87.879997,87.879997,9853300
2020-04-01,83.889999,85.779999,70.830002,72.650002,72.650002,1956400
