Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,29.000000,29.000000,16.990000,17.000000,17.000000,11970200
2019-05-01,17.010000,17.430000,12.900000,15.240000,15.240000,9152900
2019-06-01,15.370000,15.980000,8.680000,9.590000,9.590000,6501000
2019-07-01,9.950000,9.970000,7.310000,8.430000,8.430000,5479100
2019-08-01,8.410000,9.680000,6.050000,6.200000,6.200000,4821700
2019-09-01,6.250000,6.350000,3.170000,3.390000,3.390000,6620800
2019-10-01,3.370000,4.250000,3.120000,3.930000,3.930000,4569100
2019-11-01,3.970000,4.490000,3.100000,3.390000,3.390000,3996300
2019-12-01,3.303000,3.530000,2.350000,3.255000,3.255000,6841900
2020-01-01,3.290000,3.470000,2.410000,2.440000,2.440000,3807500
2020-02-01,2.430000,2.800000,1.950000,2.140000,2.140000,3203700
2020-03-01,2.100000,2.620000,1.018000,1.720000,1.720000,3412500
2020-04-01,1.700000,1.820000,1.430000,1.470000,1.470000,246300
