Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,15.400000,16.000000,13.410000,15.950000,9.715277,2898000
2015-08-01,15.770000,16.000000,10.920000,14.620000,8.905162,1721400
2015-09-01,14.200000,14.650000,12.530000,13.200000,8.040230,1553300
2015-10-01,13.240000,14.770000,12.920000,14.770000,8.996529,1418200
2015-11-01,14.770000,15.500000,12.490000,13.210000,8.046320,2023700
2015-12-01,13.150000,16.540001,13.000000,16.250000,10.176632,2159500
2016-01-01,16.209999,16.389999,13.510000,14.610000,9.149573,801700
2016-02-01,14.610000,15.580000,12.410000,12.850000,8.047366,1069700
2016-03-01,13.020000,13.850000,12.560000,13.450000,8.663950,918400
2016-04-01,13.340000,14.430000,13.010000,14.350000,9.243693,785100
2016-05-01,14.350000,14.480000,13.400000,14.400000,9.275902,914800
2016-06-01,14.400000,16.100000,14.330000,15.550000,10.308854,980200
2016-07-01,15.690000,18.500000,15.220000,18.490000,12.257925,1000400
2016-08-01,17.420000,18.979000,17.030001,18.420000,12.211519,1706200
2016-09-01,18.510000,20.410000,18.270000,19.200001,13.030279,1683000
2016-10-01,19.280001,21.749001,18.299999,21.250000,14.421530,1184600
2016-11-01,21.500000,21.500000,17.049999,18.250000,12.385549,1559200
2016-12-01,18.250000,19.799999,17.799999,19.150000,13.264836,1219400
2017-01-01,19.700001,21.153999,19.450001,19.799999,13.715081,1156900
2017-02-01,19.650000,20.559000,18.200001,19.799999,13.715081,1074200
2017-03-01,19.900000,20.260000,19.250000,20.100000,14.231965,828500
2017-04-01,20.100000,20.340000,19.500000,20.100000,14.231965,1103900
2017-05-01,20.100000,20.750000,18.459999,18.650000,13.205279,978500
2017-06-01,18.650000,19.400000,17.650000,18.700001,13.535516,545200
2017-07-01,18.750000,21.000000,18.549999,20.700001,14.983162,705700
2017-08-01,20.549999,20.646000,17.850000,19.150000,13.861235,942700
2017-09-01,19.200001,20.362000,18.900000,20.100000,14.881205,288400
2017-10-01,20.049999,20.389999,19.350000,19.799999,14.659093,433800
2017-11-01,20.200001,20.200001,18.049999,18.900000,13.992773,489800
2017-12-01,19.000000,19.299999,16.500000,18.700001,14.168143,4059200
2018-01-01,19.000000,19.000000,17.650000,17.799999,13.486253,1081200
2018-02-01,17.250000,18.299999,16.600000,17.900000,13.562016,730100
2018-03-01,17.850000,18.200001,16.950001,17.400000,13.540727,565200
2018-04-01,17.350000,18.000000,16.900000,17.400000,13.540727,1207500
2018-05-01,17.500000,17.750000,15.650000,17.400000,13.540727,2655500
2018-06-01,17.450001,17.799999,17.150000,17.150000,13.727498,784500
2018-07-01,17.049999,17.500000,16.110001,16.400000,13.127168,1095500
2018-08-01,16.150000,16.674999,15.040000,15.200000,12.166643,1178200
2018-09-01,15.250000,15.800000,14.400000,14.900000,12.279478,830900
2018-10-01,14.900000,15.450000,14.500000,15.390000,12.683300,1556500
2018-11-01,15.040000,15.155000,13.300000,13.460000,11.092737,1120500
2018-12-01,13.640000,14.740000,13.385000,13.570000,11.539549,2210400
2019-01-01,13.500000,15.430000,13.500000,15.250000,12.968175,1075200
2019-02-01,15.200000,16.469999,14.390000,16.010000,14.050377,1008300
2019-03-01,16.000000,16.120001,15.670000,15.840000,13.901185,396400
2019-04-01,15.870000,16.120001,15.500000,16.020000,14.059154,627400
2019-05-01,16.100000,16.129999,14.000000,14.250000,12.505801,610600
2019-06-01,14.290000,14.818000,13.370000,14.000000,12.661588,589200
2019-07-01,14.000000,14.500000,13.880000,14.450000,13.068566,778200
2019-08-01,14.140000,14.140000,12.530000,12.930000,11.693881,850700
2019-09-01,13.000000,13.450000,12.800000,13.280000,12.418646,750300
2019-10-01,13.280000,14.340000,13.010000,13.560000,12.680485,804100
2019-11-01,13.625000,14.050000,13.150000,13.450000,13.014502,550500
2019-12-01,13.410000,14.480000,13.360000,13.820000,13.372521,1653100
2020-01-01,14.020000,14.810000,13.720000,14.240000,13.778922,1150200
2020-02-01,14.120000,14.360000,13.140000,13.660000,13.660000,1101100
2020-03-01,13.590000,14.471000,3.470000,6.640000,6.640000,3359900
2020-04-01,6.150000,6.481000,5.970000,6.020000,6.020000,123500
