Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,99.050003,100.440002,95.779999,96.720001,91.726974,14509700
2015-05-01,96.809998,98.769997,95.029999,97.930000,92.874512,8589600
2015-06-01,98.309998,103.720001,96.980003,100.300003,95.122162,8468500
2015-07-01,100.910004,104.500000,96.620003,100.930000,95.719627,9975900
2015-08-01,100.830002,104.940002,92.629997,98.940002,93.832375,13725500
2015-09-01,97.050003,99.809998,90.839996,93.050003,88.246437,9456900
2015-10-01,93.489998,101.989998,92.660004,100.300003,95.122162,13045500
2015-11-01,100.419998,101.470001,93.580002,98.220001,93.149536,8248600
2015-12-01,98.660004,101.169998,92.739998,99.589996,94.448792,10433600
2016-01-01,98.000000,98.150002,78.449997,81.339996,77.140923,20080400
2016-02-01,80.739998,84.800003,63.840000,68.739998,65.191383,27466300
2016-03-01,68.839996,72.660004,68.669998,71.180000,67.505455,17731300
2016-04-01,70.589996,80.389999,70.589996,76.680000,72.721504,14769100
2016-05-01,76.690002,79.320000,75.360001,77.639999,73.631950,12911700
2016-06-01,77.419998,79.779999,70.709999,73.209999,69.582298,10967200
2016-07-01,73.199997,77.709999,72.120003,74.870003,71.160034,8900500
2016-08-01,77.680000,80.559998,72.889999,78.129997,74.258484,14930300
2016-09-01,77.839996,79.660004,71.470001,73.800003,70.304871,9832500
2016-10-01,73.580002,74.379997,64.900002,66.959999,63.788780,12391600
2016-11-01,67.050003,71.209999,64.529999,65.260002,62.169315,14877600
2016-12-01,65.470001,71.500000,63.369999,67.639999,64.595520,12421100
2017-01-01,68.120003,71.330002,67.699997,69.339996,66.219025,9201800
2017-02-01,69.400002,74.629997,68.919998,70.839996,67.651505,12845100
2017-03-01,71.489998,71.870003,67.540001,69.709999,66.769707,10730100
2017-04-01,69.739998,71.389999,67.120003,69.720001,66.779289,12750500
2017-05-01,70.070000,72.669998,68.940002,71.690002,68.666199,10063500
2017-06-01,71.720001,72.720001,68.699997,72.010002,69.181633,9455300
2017-07-01,72.360001,73.000000,67.489998,68.959999,66.251411,9679500
2017-08-01,69.239998,71.849998,65.839996,71.480003,68.672447,12456000
2017-09-01,71.720001,73.769997,70.360001,72.150002,69.533119,11592000
2017-10-01,72.290001,77.180000,69.910004,76.489998,73.715714,19390400
2017-11-01,76.489998,77.370003,70.199997,73.309998,70.651039,14969500
2017-12-01,73.300003,74.830002,69.370003,70.129997,67.785217,14622400
2018-01-01,70.360001,75.510002,69.949997,73.820000,71.351852,10784200
2018-02-01,73.510002,74.290001,62.590000,66.180000,63.967281,19132200
2018-03-01,66.080002,67.900002,60.299999,61.230000,59.393814,13042000
2018-04-01,61.130001,70.900002,58.480000,68.440002,66.387604,24889200
2018-05-01,68.150002,75.330002,67.419998,71.589996,69.443130,22064600
2018-06-01,72.050003,74.669998,71.860001,73.309998,71.347832,17771600
2018-07-01,73.349998,75.589996,71.290001,73.860001,71.883125,12231100
2018-08-01,74.150002,74.150002,68.320000,70.660004,68.768768,12950500
2018-09-01,70.570000,74.250000,69.500000,71.459999,69.784134,8691100
2018-10-01,71.900002,73.860001,62.430000,64.790001,63.270561,21855400
2018-11-01,65.260002,67.589996,59.470001,63.840000,62.342846,11802000
2018-12-01,65.029999,65.570000,59.220001,64.910004,63.627060,14921700
2019-01-01,63.919998,71.750000,63.369999,71.010002,69.606499,14131400
2019-02-01,71.000000,78.709999,70.989998,77.669998,76.134865,12950200
2019-03-01,78.139999,78.930000,75.839996,78.040001,76.763229,8042200
2019-04-01,78.389999,78.879997,72.980003,75.580002,74.343483,7636600
2019-05-01,75.790001,76.900002,69.220001,70.480003,69.326920,8062700
2019-06-01,70.750000,76.480003,70.559998,76.110001,75.139381,8047800
2019-07-01,76.809998,79.709999,66.610001,67.809998,66.945229,12440700
2019-08-01,68.050003,69.349998,62.910000,67.709999,66.846504,10883900
2019-09-01,67.220001,71.660004,66.010002,66.760002,66.183662,11943400
2019-10-01,67.019997,68.709999,63.740002,66.449997,65.876335,10313100
2019-11-01,66.760002,69.410004,66.470001,66.830002,66.253059,6718200
2019-12-01,66.769997,70.489998,65.129997,69.849998,69.518066,6778300
2020-01-01,69.980003,73.360001,66.919998,67.360001,67.039902,7449300
2020-02-01,67.699997,68.209999,52.869999,56.560001,56.291222,13712100
2020-03-01,57.070000,59.110001,26.750000,35.599998,35.599998,20006600
2020-04-01,34.290001,35.799999,33.090000,33.860001,33.860001,1849600
