Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,2.827500,8.200000,2.750000,7.550000,7.499555,3386000
2018-07-01,7.600000,9.948000,5.801000,7.200000,7.151893,2770000
2018-08-01,7.300000,7.300000,5.702000,6.677000,6.632388,355500
2018-09-01,6.210000,7.080000,6.100000,6.288000,6.245987,442500
2018-10-01,6.320000,6.448000,4.002000,4.045000,4.017973,335500
2018-11-01,3.866000,5.700000,3.866000,5.280000,5.244722,331000
2018-12-01,5.270000,5.270000,4.150000,4.350000,4.320935,98500
2019-01-01,4.350000,5.310000,4.350000,4.800000,4.767929,134500
2019-02-01,4.899500,4.910000,4.551000,4.660000,4.628864,62500
2019-03-01,4.700000,5.489000,4.650000,5.160000,5.125523,203000
2019-04-01,5.040000,5.120000,4.350000,4.500000,4.469933,115000
2019-05-01,4.500000,5.900000,4.230000,4.710000,4.678530,391000
2019-06-01,4.680000,5.260000,4.300000,4.350000,4.350000,339000
2019-07-01,4.310000,4.750000,3.590000,3.630000,3.630000,608500
2019-08-01,3.720000,3.720000,2.860000,3.030000,3.030000,474000
2019-09-01,3.060000,4.040000,2.980000,3.680000,3.680000,1436000
2019-10-01,3.810000,4.190000,3.340000,3.420000,3.420000,856000
2019-11-01,3.380000,3.770000,3.380000,3.650000,3.650000,322000
2019-12-01,3.670000,3.830000,3.430000,3.740000,3.740000,327500
2020-01-01,3.740000,3.970000,3.540000,3.610000,3.610000,404500
2020-02-01,3.600000,3.700000,2.960000,2.960000,2.960000,265500
2020-03-01,3.000000,3.070000,1.870000,2.280000,2.280000,407500
2020-04-01,2.280000,2.280000,2.120000,2.190000,2.190000,23000
