Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,11.280000,11.630000,11.110000,11.170000,8.625599,1131500
2015-05-01,11.220000,11.530000,10.980000,11.290000,8.718262,919800
2015-06-01,11.300000,11.400000,10.890000,11.250000,8.687374,1138800
2015-07-01,11.340000,11.670000,11.010000,11.340000,8.859897,805500
2015-08-01,11.380000,11.500000,9.660000,10.400000,8.125478,1476300
2015-09-01,10.250000,10.690000,9.560000,9.690000,7.570757,1211900
2015-10-01,9.620000,10.300000,9.470000,10.210000,8.077715,996900
2015-11-01,10.240000,10.640000,9.920000,10.200000,8.069802,584500
2015-12-01,10.260000,10.400000,9.820000,10.250000,8.109358,713200
2016-01-01,10.100000,10.180000,8.680000,9.230000,7.396368,845800
2016-02-01,9.210000,9.800000,8.890000,9.670000,7.748960,752800
2016-03-01,9.700000,10.030000,9.630000,9.870000,7.909229,906600
2016-04-01,9.780000,10.250000,9.780000,10.120000,8.216159,833600
2016-05-01,10.130000,10.570000,10.060000,10.410000,8.451605,830300
2016-06-01,10.420000,10.950000,10.060000,10.670000,8.662689,989200
2016-07-01,10.750000,11.200000,10.600000,11.150000,9.165653,837500
2016-08-01,11.120000,11.320000,10.840000,10.880000,8.943707,893200
2016-09-01,10.870000,11.070000,10.330000,10.410000,8.557350,684900
2016-10-01,10.450000,10.490000,9.710000,9.770000,8.131256,760900
2016-11-01,9.690000,9.790000,9.230000,9.440000,7.856606,1014000
2016-12-01,9.470000,9.620000,9.250000,9.440000,7.856606,1470000
2017-01-01,9.530000,9.850000,9.470000,9.750000,8.226834,975800
2017-02-01,9.780000,10.290000,9.750000,10.170000,8.581219,1036400
2017-03-01,10.220000,10.270000,9.900000,9.990000,8.429340,1074000
2017-04-01,9.980000,10.340000,9.920000,10.230000,8.744623,922200
2017-05-01,10.220000,10.570000,10.170000,10.540000,9.009614,875300
2017-06-01,10.510000,10.970000,10.410000,10.850000,9.274602,785400
2017-07-01,10.820000,10.870000,10.560000,10.630000,9.198404,725300
2017-08-01,10.610000,10.620000,10.000000,10.290000,8.904197,1159600
2017-09-01,10.270000,10.420000,10.010000,10.110000,8.748438,1275200
2017-10-01,10.110000,10.280000,9.850000,9.860000,8.640212,1539800
2017-11-01,9.920000,10.090000,9.420000,10.010000,8.771659,2003300
2017-12-01,10.010000,10.370000,9.880000,10.320000,9.043305,1134700
2018-01-01,10.350000,10.950000,10.330000,10.520000,9.339862,1281600
2018-02-01,10.500000,10.570000,9.570000,9.940000,8.824925,816700
2018-03-01,9.910000,10.210000,9.310000,9.500000,8.434285,824700
2018-04-01,9.480000,9.820000,9.120000,9.650000,8.678723,873500
2018-05-01,9.590000,9.870000,9.340000,9.730000,8.750670,591600
2018-06-01,9.770000,10.260000,9.740000,10.020000,9.011483,1268200
2018-07-01,10.010000,10.470000,9.900000,10.400000,9.475561,1092000
2018-08-01,10.350000,11.000000,10.020000,10.960000,9.985784,973500
2018-09-01,11.000000,11.140000,10.670000,11.020000,10.040451,1308800
2018-10-01,11.090000,11.150000,9.850000,10.180000,9.386762,1387600
2018-11-01,10.280000,10.830000,10.230000,10.800000,9.958450,849500
2018-12-01,10.900000,10.920000,8.760000,9.250000,8.529227,1463100
2019-01-01,9.170000,10.110000,9.160000,10.110000,9.438297,605700
2019-02-01,10.110000,10.490000,9.880000,10.310000,9.625010,617500
2019-03-01,10.370000,10.540000,10.040000,10.510000,9.811721,653800
2019-04-01,10.540000,10.820000,10.270000,10.730000,10.155136,1447700
2019-05-01,10.690000,10.800000,10.100000,10.110000,9.568353,657600
2019-06-01,10.120000,10.690000,10.120000,10.540000,9.975315,618100
2019-07-01,10.680000,10.780000,10.470000,10.680000,10.245470,613600
2019-08-01,10.650000,10.870000,10.000000,10.400000,9.976862,661900
2019-09-01,10.330000,10.730000,10.240000,10.420000,9.996049,691700
2019-10-01,10.430000,10.520000,10.040000,10.440000,10.148012,698900
2019-11-01,10.450000,11.240000,10.430000,11.180000,10.867316,638000
2019-12-01,11.170000,11.630000,11.020000,11.520000,11.197807,770900
2020-01-01,11.530000,11.740000,11.150000,11.180000,11.004135,688100
2020-02-01,11.250000,11.920000,10.040000,10.280000,10.118292,704900
2020-03-01,10.220000,11.050000,6.850000,8.660000,8.523775,2291400
2020-04-01,8.310000,8.540000,8.140000,8.390000,8.390000,208400
