Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,0.010000,0.010000,0.005000,0.005000,0.005000,5838400
2015-05-01,0.005000,0.005000,0.005000,0.005000,0.005000,329000
2015-06-01,0.005000,0.005000,0.005000,0.005000,0.005000,733000
2015-07-01,0.005000,0.005000,0.005000,0.005000,0.005000,60000
2015-08-01,0.005000,0.005000,0.005000,0.005000,0.005000,10000
2015-09-01,0.005000,0.005000,0.005000,0.005000,0.005000,819000
2015-10-01,0.005000,0.005000,0.005000,0.005000,0.005000,95000
2015-11-01,0.005000,0.005000,0.005000,0.005000,0.005000,0
2015-12-01,0.005000,0.005000,0.005000,0.005000,0.005000,0
2016-01-01,0.005000,0.005000,0.005000,0.005000,0.005000,200
2016-02-01,0.005000,0.005000,0.005000,0.005000,0.005000,0
2016-03-01,0.005000,0.005000,0.005000,0.005000,0.005000,42000
2016-04-01,null,null,null,null,null,null
2016-05-01,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-09-01,null,null,null,null,null,null
2016-10-01,null,null,null,null,null,null
2016-11-01,null,null,null,null,null,null
2016-12-01,null,null,null,null,null,null
2017-01-01,null,null,null,null,null,null
2017-02-01,null,null,null,null,null,null
2017-03-01,null,null,null,null,null,null
2017-04-01,null,null,null,null,null,null
2017-05-01,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-07-01,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-10-01,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-04-01,null,null,null,null,null,null
2018-05-01,null,null,null,null,null,null
2018-06-01,null,null,null,null,null,null
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,12.100000,12.670000,8.530000,10.790000,10.790000,25304900
2019-07-01,11.190000,13.990000,8.830000,12.950000,12.950000,19007500
2019-08-01,12.940000,17.540001,12.080000,14.320000,14.320000,33754300
2019-09-01,14.000000,15.360000,11.720000,15.310000,15.310000,15088400
2019-10-01,15.350000,17.280001,13.300000,17.139999,17.139999,15029700
2019-11-01,17.070000,19.299999,14.210000,17.590000,17.590000,36940600
2019-12-01,17.740000,22.400000,17.580000,21.860001,21.860001,33875200
2020-01-01,22.700001,37.470001,22.700001,32.689999,32.689999,57327200
2020-02-01,33.020000,46.400002,32.619999,40.549999,40.549999,72800700
2020-03-01,41.310001,44.320000,34.500000,42.360001,42.360001,45865500
2020-04-01,41.900002,43.490002,31.959999,32.930000,32.930000,18941200
