Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,19.139999,19.540001,17.639999,18.260000,18.260000,1862700
2015-05-01,18.230000,22.389999,17.620001,22.030001,22.030001,1978000
2015-06-01,22.219999,24.650000,21.120001,23.870001,23.870001,4074600
2015-07-01,24.100000,25.500000,21.610001,23.230000,23.230000,3545200
2015-08-01,23.340000,25.660000,14.000000,21.990000,21.990000,4831400
2015-09-01,21.600000,26.639999,21.040001,23.260000,23.260000,4310900
2015-10-01,23.170000,25.129999,18.240000,18.719999,18.719999,5038800
2015-11-01,18.790001,21.440001,18.500000,21.190001,21.190001,4655500
2015-12-01,21.290001,21.420000,15.870000,17.059999,17.059999,4487500
2016-01-01,16.549999,17.379999,13.840000,14.890000,14.890000,4391800
2016-02-01,14.870000,15.420000,12.310000,14.780000,14.780000,5106800
2016-03-01,14.980000,18.700001,14.870000,16.540001,16.540001,5213400
2016-04-01,16.389999,17.000000,15.090000,15.980000,15.980000,2881500
2016-05-01,16.040001,18.879999,14.960000,18.740000,18.740000,3769500
2016-06-01,18.709999,18.730000,16.400000,18.480000,18.480000,6030000
2016-07-01,18.490000,21.490000,17.549999,20.530001,20.530001,3049800
2016-08-01,20.480000,21.990000,19.760000,21.230000,21.230000,3871900
2016-09-01,21.219999,24.200001,20.180000,23.530001,23.530001,3221300
2016-10-01,23.379999,24.309999,22.150000,22.500000,22.500000,1981600
2016-11-01,22.450001,26.000000,20.799999,25.400000,25.400000,3109300
2016-12-01,25.400000,29.750000,24.650000,28.750000,28.750000,3331400
2017-01-01,29.000000,29.700001,27.299999,28.250000,28.250000,3223000
2017-02-01,28.350000,29.549999,27.200001,27.900000,27.900000,2167200
2017-03-01,28.200001,28.500000,22.950001,24.350000,24.350000,7022600
2017-04-01,24.450001,29.000000,23.100000,27.500000,27.500000,5526100
2017-05-01,27.600000,32.299999,26.799999,32.250000,32.250000,5410800
2017-06-01,32.200001,34.200001,31.350000,31.650000,31.650000,5350700
2017-07-01,31.799999,31.799999,29.750000,30.549999,30.549999,4673700
2017-08-01,30.750000,32.599998,28.299999,29.750000,29.750000,6130500
2017-09-01,31.700001,32.549999,29.200001,31.650000,31.650000,6860700
2017-10-01,31.750000,36.450001,31.510000,36.450001,36.450001,6282600
2017-11-01,36.599998,40.950001,34.099998,40.450001,40.450001,10300000
2017-12-01,40.250000,47.750000,39.099998,46.950001,46.950001,5829400
2018-01-01,47.000000,47.500000,41.250000,46.150002,46.150002,5628400
2018-02-01,45.900002,55.349998,41.299999,51.599998,51.599998,5475000
2018-03-01,52.049999,62.320000,49.750000,56.700001,56.700001,11118900
2018-04-01,56.500000,56.849998,47.430000,48.049999,48.049999,6801100
2018-05-01,48.500000,53.049999,44.200001,47.000000,47.000000,9463500
2018-06-01,47.250000,52.450001,43.400002,45.000000,45.000000,9684600
2018-07-01,44.650002,48.299999,42.799999,44.450001,44.450001,6684600
2018-08-01,44.500000,47.250000,32.150002,43.049999,43.049999,21643500
2018-09-01,42.700001,47.200001,39.200001,43.400002,43.400002,12167600
2018-10-01,43.500000,46.220001,31.450001,35.900002,35.900002,16725000
2018-11-01,35.900002,39.349998,30.240000,33.660000,33.660000,11938500
2018-12-01,34.599998,35.009998,22.160000,23.660000,23.660000,9702400
2019-01-01,23.250000,30.290001,21.680000,25.600000,25.600000,11391200
2019-02-01,25.980000,33.869999,24.879999,31.260000,31.260000,8486500
2019-03-01,31.610001,35.200001,28.250000,34.700001,34.700001,5992300
2019-04-01,35.070000,43.349998,35.009998,41.950001,41.950001,7112200
2019-05-01,42.090000,42.610001,23.629999,23.780001,23.780001,10272600
2019-06-01,23.980000,24.809999,17.049999,17.600000,17.600000,11492900
2019-07-01,18.190001,19.750000,11.920000,12.100000,12.100000,15029600
2019-08-01,12.070000,12.390000,4.900000,9.510000,9.510000,34374000
2019-09-01,9.300000,10.370000,7.060000,9.420000,9.420000,15551500
2019-10-01,9.490000,9.640000,6.420000,7.530000,7.530000,11261000
2019-11-01,7.610000,9.890000,4.670000,8.870000,8.870000,21486000
2019-12-01,9.010000,13.130000,8.110000,11.350000,11.350000,27900300
2020-01-01,11.350000,14.160000,10.030000,11.850000,11.850000,12047300
2020-02-01,11.860000,15.770000,11.790000,15.140000,15.140000,8681800
2020-03-01,14.210000,15.230000,5.070000,7.950000,7.950000,15832500
2020-04-01,7.750000,8.040000,7.090000,7.180000,7.180000,878000
