Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,10.000000,10.100000,10.000000,10.000000,8.821359,564600
2017-12-01,10.010000,10.310000,10.000000,10.310000,9.094818,226700
2018-01-01,10.301000,10.330000,9.850000,9.860000,8.697856,153400
2018-02-01,9.880000,9.890000,8.280000,9.150000,8.109963,234100
2018-03-01,9.140000,9.390000,8.995000,9.194000,8.189521,502900
2018-04-01,9.280000,9.600000,8.750000,9.140000,8.183501,611000
2018-05-01,9.140000,9.275000,8.790000,9.050000,8.143943,1229800
2018-06-01,9.020000,9.220000,8.995000,9.160000,8.285074,660600
2018-07-01,9.140000,9.390000,9.090000,9.230000,8.391681,511800
2018-08-01,9.260000,9.850000,9.240000,9.600000,8.772847,491400
2018-09-01,9.590000,9.640000,9.150000,9.290000,8.532739,539000
2018-10-01,9.330000,9.540000,9.160000,9.210000,8.501771,415100
2018-11-01,9.270000,9.470000,9.072000,9.310000,8.636628,410700
2018-12-01,9.330000,9.600000,8.870000,8.990000,8.381548,873800
2019-01-01,8.880000,9.990000,8.880000,9.460000,8.866472,536700
2019-02-01,9.500000,9.842000,9.460000,9.590000,9.032768,579800
2019-03-01,9.540000,10.000000,9.510000,9.891000,9.361593,464600
2019-04-01,9.913000,10.100000,9.820000,9.960000,9.471175,334600
2019-05-01,9.972000,10.204000,9.820000,10.010000,9.563723,325100
2019-06-01,9.960000,12.300000,9.960000,10.160000,9.752305,461500
2019-07-01,10.190000,10.499000,10.100000,10.210000,9.845376,523000
2019-08-01,10.250000,10.560000,10.180000,10.330000,10.006996,365800
2019-09-01,10.390000,10.600000,10.270000,10.400000,10.120472,434700
2019-10-01,10.389000,10.550000,10.270000,10.370000,10.137266,446500
2019-11-01,10.400000,10.700000,10.310000,10.490000,10.300977,473600
2019-12-01,10.500000,10.600000,10.300000,10.431000,10.289065,527200
2020-01-01,10.440000,10.740000,10.400000,10.670000,10.525116,371800
2020-02-01,10.630000,10.980000,10.320000,10.330000,10.234845,276700
2020-03-01,10.370000,10.720000,6.000000,7.350000,7.313789,1023100
2020-04-01,7.409000,7.580000,6.510000,6.510000,6.510000,43100
