Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,31.639999,32.570000,29.240000,29.309999,28.594875,8842400
2015-05-01,29.400000,30.600000,28.740000,30.389999,29.648527,7215600
2015-06-01,30.590000,30.629999,28.280001,29.860001,29.131458,8317000
2015-07-01,30.209999,31.260000,29.629999,30.660000,30.019789,7085600
2015-08-01,30.660000,30.940001,25.000000,27.420000,26.847441,11209500
2015-09-01,26.620001,28.350000,25.910000,27.900000,27.317417,5915700
2015-10-01,27.719999,29.570000,27.440001,27.980000,27.395752,4197700
2015-11-01,28.120001,28.320000,26.549999,27.290001,26.720161,4266400
2015-12-01,27.389999,27.420000,25.559999,27.190001,26.622248,8908200
2016-01-01,26.590000,26.900000,24.260000,25.790001,25.295958,6880600
2016-02-01,25.420000,25.660000,23.240000,23.549999,23.098867,3920300
2016-03-01,24.510000,27.020000,24.490000,26.900000,26.384695,4145500
2016-04-01,26.500000,27.790001,25.680000,27.040001,26.522011,3664300
2016-05-01,26.870001,28.040001,26.090000,27.889999,27.355730,4033100
2016-06-01,27.780001,28.780001,26.950001,28.299999,27.757874,4534800
2016-07-01,28.570000,29.830000,28.090000,29.780001,29.315941,2103700
2016-08-01,29.709999,30.180000,29.139999,30.070000,29.601418,2395100
2016-09-01,30.110001,31.090000,29.320000,29.799999,29.335627,3419600
2016-10-01,30.209999,30.420000,29.240000,29.660000,29.197807,2508400
2016-11-01,29.670000,29.680000,26.610001,27.559999,27.130533,4194700
2016-12-01,27.520000,28.200001,26.730000,28.049999,27.612898,3466100
2017-01-01,27.320000,29.219999,27.320000,29.219999,28.795412,2845000
2017-02-01,29.700001,30.770000,29.559999,30.410000,29.968119,3302800
2017-03-01,30.709999,32.459999,30.260000,32.330002,31.860226,3422900
2017-04-01,32.509998,33.340000,32.000000,33.040001,32.559902,3866500
2017-05-01,33.259998,34.160000,32.950001,34.099998,33.604500,2693800
2017-06-01,33.970001,34.500000,33.189999,33.610001,33.121624,6832500
2017-07-01,33.939999,35.820000,33.860001,35.750000,35.271599,5176400
2017-08-01,36.009998,36.099998,34.340000,35.299999,34.827621,3866100
2017-09-01,35.439999,35.849998,33.369999,34.099998,33.643677,4293300
2017-10-01,34.130001,36.169998,33.910000,36.169998,35.685982,5323000
2017-11-01,36.360001,36.689999,34.860001,35.770000,35.291332,3396900
2017-12-01,35.509998,37.290001,34.990002,37.119999,36.623264,3184500
2018-01-01,37.180000,39.290001,37.040001,38.880001,38.421181,6198900
2018-02-01,38.610001,38.610001,35.669998,35.770000,35.347881,4902300
2018-03-01,36.090000,36.389999,34.230000,35.360001,34.942719,3572500
2018-04-01,35.290001,36.240002,34.810001,36.040001,35.614693,13379400
2018-05-01,36.020000,36.110001,34.110001,35.560001,35.140362,2499600
2018-06-01,35.720001,36.080002,34.310001,35.189999,34.774723,9284600
2018-07-01,34.950001,37.500000,34.650002,37.470001,37.103073,2540400
2018-08-01,37.520000,37.930000,36.000000,37.250000,36.885223,7269000
2018-09-01,36.410000,36.599998,34.099998,34.200001,33.865093,4492000
2018-10-01,34.389999,34.400002,31.040001,31.809999,31.498497,12083800
2018-11-01,32.209999,35.619999,32.119999,35.380001,35.033539,2317900
2018-12-01,35.200001,35.610001,32.020000,35.320000,34.974125,2690500
2019-01-01,34.820000,35.389999,33.849998,34.860001,34.654675,2869600
2019-02-01,34.770000,35.250000,33.610001,34.570000,34.366379,2753400
2019-03-01,34.889999,38.320000,34.270000,37.919998,37.696648,3911300
2019-04-01,38.049999,38.680000,37.380001,38.200001,37.974998,2486100
2019-05-01,38.200001,39.119999,35.340000,39.119999,38.889580,11074500
2019-06-01,39.349998,39.529999,37.610001,38.389999,38.163879,6410000
2019-07-01,38.759998,38.970001,35.900002,36.230000,36.230000,3588000
2019-08-01,35.900002,36.169998,33.709999,34.779999,34.779999,3211500
2019-09-01,33.849998,37.279999,33.750000,36.700001,36.700001,2066700
2019-10-01,35.889999,37.869999,35.209999,37.590000,37.590000,2582200
2019-11-01,37.750000,38.259998,36.900002,37.740002,37.740002,1129000
2019-12-01,37.990002,39.090000,37.610001,38.619999,38.619999,1410300
2020-01-01,39.110001,39.490002,37.520000,37.549999,37.549999,1679300
2020-02-01,37.009998,38.900002,34.380001,35.139999,35.139999,5497100
2020-03-01,34.470001,35.500000,21.969999,25.650000,25.650000,5293300
2020-04-01,24.370001,24.510000,23.629999,24.190001,24.190001,321700
