Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,29.750000,35.000000,28.730000,31.000000,26.433674,18200
2015-05-01,29.000000,34.750000,29.000000,34.750000,30.662313,21300
2015-06-01,31.610001,33.000000,29.340000,32.000000,28.235800,6500
2015-07-01,32.000000,32.000000,29.000000,29.000000,25.588696,5400
2015-08-01,29.000000,35.000000,22.020000,26.000000,22.941589,46000
2015-09-01,26.000000,36.549999,26.000000,34.549999,30.485838,20200
2015-10-01,34.549999,39.000000,29.150000,38.500000,33.971195,11500
2015-11-01,38.700001,39.000000,29.000000,31.900000,28.147564,238400
2015-12-01,31.000000,34.090000,28.760000,34.090000,30.844572,88200
2016-01-01,34.090000,35.000000,31.750000,35.000000,31.667940,5500
2016-02-01,36.000000,39.000000,30.700001,32.750000,29.632143,34100
2016-03-01,32.840000,40.000000,32.000000,37.000000,33.477535,166900
2016-04-01,37.000000,40.099998,34.689999,39.099998,35.377609,151400
2016-05-01,40.950001,46.009998,33.799999,38.400002,34.744251,56700
2016-06-01,38.400002,39.799999,34.250000,38.500000,34.834728,19000
2016-07-01,38.500000,39.009998,32.660000,38.000000,34.382332,25500
2016-08-01,35.040001,39.349998,35.040001,39.349998,35.603809,15200
2016-09-01,39.299999,45.000000,38.990002,43.820000,39.648262,14100
2016-10-01,43.820000,54.450001,38.009998,44.849998,40.580196,31700
2016-11-01,44.849998,47.990002,39.509998,47.889999,43.330788,42900
2016-12-01,47.889999,47.889999,42.000000,47.369999,43.637653,33800
2017-01-01,43.000000,46.009998,40.520000,44.000000,40.533180,8700
2017-02-01,44.000000,44.000000,42.299999,43.799999,40.348938,9200
2017-03-01,43.799999,43.900002,41.049999,43.799999,40.348938,54900
2017-04-01,43.799999,50.650002,42.480000,48.000000,44.218014,83500
2017-05-01,51.660000,51.950001,43.500000,47.750000,44.644554,45200
2017-06-01,47.700001,57.000000,46.000000,57.000000,53.292969,86500
2017-07-01,56.349998,61.500000,50.970001,54.040001,50.525475,24700
2017-08-01,55.029999,58.000000,53.750000,57.889999,54.125092,59900
2017-09-01,57.130001,58.000000,57.000000,57.500000,53.760452,7400
2017-10-01,57.500000,64.680000,53.770000,56.000000,52.358009,115900
2017-11-01,57.990002,60.029999,54.470001,55.880001,52.245811,107400
2017-12-01,55.880001,57.150002,54.099998,56.500000,53.974644,257800
2018-01-01,56.220001,57.500000,49.689999,53.990002,51.576832,235500
2018-02-01,53.990002,54.000000,45.000000,47.540001,45.415127,181500
2018-03-01,47.049999,50.000000,43.000000,44.500000,42.511002,1178900
2018-04-01,44.500000,47.049999,43.020000,45.490002,43.456757,123400
2018-05-01,45.040001,45.040001,31.100000,32.160000,30.722559,341700
2018-06-01,32.830002,37.299999,27.549999,30.990000,29.604853,189000
2018-07-01,30.500000,37.000000,27.290001,33.299999,31.811604,96000
2018-08-01,33.950001,34.119999,25.750000,27.160000,25.946041,179300
2018-09-01,28.000000,28.000000,23.000000,23.879999,22.812645,277100
2018-10-01,23.990000,24.900000,22.350000,24.500000,23.404934,86600
2018-11-01,24.750000,26.490000,20.500000,20.500000,19.583721,84400
2018-12-01,20.910000,20.959999,16.820000,18.030001,17.534567,244200
2019-01-01,18.129999,23.000000,16.860001,23.000000,22.368000,757200
2019-02-01,22.379999,24.000000,21.000000,22.700001,22.076244,481900
2019-03-01,22.629999,23.170000,20.299999,20.750000,20.179825,518100
2019-04-01,20.350000,20.680000,17.750000,18.290001,17.787424,355600
2019-05-01,19.000000,19.250000,17.010000,17.740000,17.252535,81100
2019-06-01,17.750000,21.000000,17.260000,20.430000,19.868620,98100
2019-07-01,20.430000,22.240000,20.030001,21.000000,20.422956,81100
2019-08-01,20.990000,21.000000,10.050000,10.250000,9.968348,169500
2019-09-01,9.990000,15.480000,9.820000,13.000000,12.642782,111100
2019-10-01,12.940000,13.800000,10.650000,11.990000,11.660535,151100
2019-11-01,11.880000,15.200000,10.490000,14.060000,13.673656,184000
2019-12-01,14.280000,18.000000,12.760000,16.750000,16.750000,196200
2020-01-01,15.070000,16.799999,13.050000,13.380000,13.380000,66900
2020-02-01,12.750000,13.300000,11.850000,11.850000,11.850000,39500
2020-03-01,11.980000,13.340000,6.510000,7.250000,7.250000,96300
2020-04-01,7.000000,7.100000,6.090000,6.100000,6.100000,14600
