Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,8.840000,9.200000,8.650000,8.940000,4.859310,1547600
2015-05-01,8.960000,9.050000,8.150000,8.220000,4.598001,1380500
2015-06-01,8.250000,8.250000,7.580000,7.800000,4.363067,1279100
2015-07-01,7.550000,7.550000,6.500000,6.660000,3.725388,1901800
2015-08-01,6.700000,6.770000,5.640000,6.650000,3.843984,4273800
2015-09-01,6.450000,6.590000,5.870000,6.030000,3.485597,1577700
2015-10-01,5.830000,6.510000,5.690000,6.220000,3.595425,2272600
2015-11-01,6.160000,6.540000,5.990000,6.250000,3.737987,1441000
2015-12-01,6.250000,6.360000,5.360000,5.460000,3.265505,2548700
2016-01-01,5.400000,5.500000,4.350000,5.180000,3.212074,2204100
2016-02-01,5.120000,5.170000,4.620000,5.150000,3.193472,1719500
2016-03-01,5.170000,5.750000,5.080000,5.640000,3.497317,1924000
2016-04-01,5.390000,6.090000,5.250000,5.960000,3.695746,2283700
2016-05-01,5.930000,6.050000,5.570000,6.000000,3.858753,2163200
2016-06-01,5.910000,6.460000,5.910000,6.320000,4.064553,2810300
2016-07-01,6.130000,6.330000,5.960000,6.170000,3.968085,2213400
2016-08-01,6.150000,6.500000,5.890000,6.360000,4.225328,2781000
2016-09-01,6.370000,6.900000,6.290000,6.840000,4.544221,2487600
2016-10-01,6.700000,6.700000,6.210000,6.480000,4.305051,1836200
2016-11-01,6.480000,6.870000,6.270000,6.750000,4.620894,1602000
2016-12-01,6.840000,7.180000,6.370000,6.400000,4.381292,2331900
2017-01-01,6.440000,6.760000,6.440000,6.570000,4.608101,1447800
2017-02-01,6.610000,6.640000,6.290000,6.330000,4.439769,1619500
2017-03-01,6.410000,6.590000,6.000000,6.550000,4.594074,2720300
2017-04-01,6.410000,6.630000,6.300000,6.330000,4.439769,1805700
2017-05-01,6.370000,6.480000,6.080000,6.290000,4.523595,1293600
2017-06-01,6.280000,6.310000,5.810000,5.950000,4.279076,2078700
2017-07-01,5.850000,6.150000,5.630000,6.120000,4.401335,1497000
2017-08-01,6.090000,6.240000,5.790000,6.030000,4.457987,1871400
2017-09-01,6.020000,6.880000,6.020000,6.600000,4.879388,2094800
2017-10-01,6.570000,6.720000,6.120000,6.210000,4.591061,1714300
2017-11-01,6.250000,6.380000,5.960000,6.200000,4.697417,1426200
2017-12-01,6.250000,6.660000,6.050000,6.260000,4.742876,1622500
2018-01-01,6.330000,7.000000,6.310000,6.560000,5.094079,2014000
2018-02-01,6.540000,6.560000,5.820000,5.910000,4.589331,1209500
2018-03-01,5.880000,6.230000,5.760000,6.040000,4.690281,934300
2018-04-01,5.870000,6.230000,5.750000,6.140000,4.767934,1415900
2018-05-01,6.180000,6.500000,6.070000,6.310000,5.034990,1621100
2018-06-01,6.310000,6.490000,6.160000,6.350000,5.066908,1870200
2018-07-01,6.120000,6.630000,6.050000,6.610000,5.274372,1981300
2018-08-01,6.590000,6.590000,5.950000,6.180000,5.060357,1939600
2018-09-01,6.190000,6.630000,6.020000,6.410000,5.248687,1459900
2018-10-01,6.270000,6.370000,5.210000,5.310000,4.347977,1578600
2018-11-01,5.310000,5.500000,4.700000,4.970000,4.175092,3409200
2018-12-01,5.070000,5.120000,4.000000,4.280000,3.595452,3378700
2019-01-01,4.210000,4.990000,4.190000,4.930000,4.301310,2505500
2019-02-01,4.970000,5.540000,4.850000,5.500000,4.798621,2367600
2019-03-01,5.500000,5.560000,5.010000,5.410000,4.720098,2055900
2019-04-01,5.350000,5.400000,5.140000,5.140000,4.484529,1159300
2019-05-01,5.140000,5.200000,4.570000,4.600000,4.137281,1111700
2019-06-01,4.620000,5.240000,4.530000,5.230000,4.703909,1061100
2019-07-01,5.150000,5.150000,4.710000,4.730000,4.254205,1156200
2019-08-01,4.730000,4.740000,4.170000,4.250000,3.944675,1295900
2019-09-01,4.190000,4.570000,3.880000,3.920000,3.638383,2743400
2019-10-01,3.850000,3.930000,3.550000,3.690000,3.424906,5886600
2019-11-01,3.680000,3.900000,3.680000,3.770000,3.569269,3934300
2019-12-01,3.760000,4.250000,3.710000,4.120000,3.900634,3511500
2020-01-01,4.120000,4.220000,3.750000,3.780000,3.645250,2509700
2020-02-01,3.750000,3.950000,3.220000,3.310000,3.192004,2703000
2020-03-01,3.370000,3.470000,1.350000,2.160000,2.083000,5643700
2020-04-01,2.010000,2.290000,1.960000,2.020000,1.947991,1065800
