Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,1.781000,1.898000,1.745000,1.767000,1.724928,436010
2015-06-01,1.797000,1.830000,1.458000,1.541000,1.504310,543305
2015-07-01,1.560000,1.670000,1.430000,1.641000,1.601929,669311
2015-08-01,1.620000,1.690000,1.510000,1.547000,1.510167,476510
2015-09-01,1.541000,1.630000,1.450000,1.485000,1.449643,334296
2015-10-01,1.462000,1.608000,1.450000,1.490000,1.454524,516983
2015-11-01,1.485000,1.579000,1.380000,1.506000,1.470143,932895
2015-12-01,1.500000,1.554000,1.395000,1.500000,1.464286,480691
2016-01-01,1.500000,1.547000,1.244000,1.319000,1.287595,280982
2016-02-01,1.279000,1.305000,0.878000,0.990000,0.966429,1390656
2016-03-01,1.029000,1.278000,0.980500,1.119000,1.092357,3492060
2016-04-01,1.071000,1.148000,0.960000,1.050000,1.025000,873359
2016-05-01,1.056000,1.420000,0.982000,1.350000,1.317857,2611340
2016-06-01,1.374000,1.450000,1.144000,1.220000,1.220000,1573812
2016-07-01,1.241000,1.280000,1.168000,1.190000,1.190000,291460
2016-08-01,1.285000,1.392000,1.242000,1.324000,1.324000,1161479
2016-09-01,1.330000,1.353000,1.149000,1.217000,1.217000,847661
2016-10-01,1.217000,1.246000,1.137000,1.154000,1.154000,274714
2016-11-01,1.150000,1.199000,0.981000,1.025000,1.025000,517987
2016-12-01,1.024000,1.187000,0.961500,1.030000,1.030000,938647
2017-01-01,1.122000,1.409000,1.102000,1.214000,1.214000,2507168
2017-02-01,1.229000,1.280000,1.165000,1.199000,1.199000,710600
2017-03-01,1.222000,1.330000,1.180000,1.298000,1.298000,1263783
2017-04-01,1.305000,1.439000,1.265000,1.363000,1.363000,2244384
2017-05-01,1.363000,1.504000,1.300000,1.392000,1.392000,2559412
2017-06-01,1.391000,1.430000,1.239000,1.340000,1.340000,572995
2017-07-01,1.362000,1.450000,1.301000,1.380000,1.380000,686590
2017-08-01,1.393000,1.396000,1.271000,1.277000,1.277000,763432
2017-09-01,1.278000,1.975000,1.278000,1.910000,1.910000,5759331
2017-10-01,1.980000,2.402000,1.906000,2.108000,2.108000,9642320
2017-11-01,2.100000,2.190000,1.651000,1.780000,1.780000,2072896
2017-12-01,1.773000,2.082000,1.705000,1.717000,1.717000,1836489
2018-01-01,1.717000,2.230000,1.687000,1.720000,1.720000,7492265
2018-02-01,1.992000,2.005000,1.710000,1.866000,1.866000,1508889
2018-03-01,1.880000,1.980000,1.734000,1.884000,1.884000,1664379
2018-04-01,1.884000,1.920000,1.758000,1.862000,1.862000,475619
2018-05-01,1.862000,1.886000,1.456000,1.540000,1.540000,1048029
2018-06-01,1.576000,1.716000,1.560000,1.620000,1.620000,431754
2018-07-01,1.640000,1.648000,1.520000,1.564000,1.564000,185678
2018-08-01,1.564000,1.570000,1.454000,1.472000,1.472000,249510
2018-09-01,1.470000,1.820000,1.418000,1.552000,1.552000,1533915
2018-10-01,1.556000,1.594000,1.328000,1.410000,1.410000,622169
2018-11-01,1.428000,1.506000,1.336000,1.400000,1.400000,543672
2018-12-01,1.412000,1.486000,1.330000,1.380000,1.380000,295726
2019-01-01,1.380000,1.774000,1.266000,1.648000,1.648000,1221706
2019-02-01,1.660000,1.682000,1.530000,1.580000,1.580000,500012
2019-03-01,1.590000,1.700000,1.526000,1.548000,1.548000,961245
2019-04-01,1.545000,1.570000,1.415000,1.475000,1.475000,343553
2019-05-01,1.475000,1.610000,1.300000,1.305000,1.305000,703446
2019-06-01,1.300000,1.380000,1.270000,1.345000,1.345000,437646
2019-07-01,1.350000,1.350000,1.245000,1.270000,1.270000,368690
2019-08-01,1.280000,1.280000,1.160000,1.230000,1.230000,173100
2019-09-01,1.215000,1.570000,1.210000,1.505000,1.505000,1753933
2019-10-01,1.480000,1.505000,1.325000,1.365000,1.365000,774307
2019-11-01,1.370000,1.390000,1.190000,1.205000,1.205000,1154176
2019-12-01,1.210000,1.410000,1.110000,1.245000,1.245000,1252488
2020-01-01,1.245000,1.270000,1.140000,1.165000,1.165000,648487
2020-02-01,1.175000,1.180000,0.974000,0.986000,0.986000,691714
2020-03-01,0.998000,1.000000,0.562000,0.722000,0.722000,1001104
2020-04-01,0.732000,0.742000,0.722000,0.724000,0.724000,10917
