Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,12.700000,13.000000,11.230000,11.440000,11.440000,1000500
2018-06-01,12.000000,13.000000,9.800000,10.670000,10.670000,1910900
2018-07-01,11.970000,11.970000,8.127000,9.290000,9.290000,554300
2018-08-01,9.210000,11.220000,8.350000,10.060000,10.060000,296200
2018-09-01,10.004000,10.300000,6.200000,6.625000,6.625000,979400
2018-10-01,6.700000,7.280000,5.550000,6.095000,6.095000,372700
2018-11-01,6.240000,6.710000,5.300000,6.270000,6.270000,163600
2018-12-01,6.390000,7.900000,5.010000,5.010000,5.010000,246300
2019-01-01,5.310000,7.170000,5.310000,6.140000,6.140000,170900
2019-02-01,6.500000,6.882000,5.110000,5.670000,5.670000,133200
2019-03-01,5.570000,8.970000,4.700000,7.922000,7.922000,469600
2019-04-01,7.940000,9.301000,7.940000,8.100000,8.100000,163000
2019-05-01,8.250000,8.250000,6.260000,6.260000,6.260000,88700
2019-06-01,6.744000,7.500000,5.870000,6.880000,6.880000,220400
2019-07-01,6.880000,6.967000,6.170000,6.550000,6.550000,132300
2019-08-01,6.510000,7.650000,6.210000,6.251000,6.251000,287100
2019-09-01,6.320000,6.960000,5.575000,5.770000,5.770000,129100
2019-10-01,5.800000,6.290000,2.570000,3.500000,3.500000,707700
2019-11-01,2.720000,3.080000,1.680000,2.389000,2.389000,1209700
2019-12-01,2.450000,7.190000,2.180000,4.500000,4.500000,15491500
2020-01-01,4.450000,4.960000,2.280000,2.320000,2.320000,3203200
2020-02-01,2.400000,3.414000,2.220000,2.400000,2.400000,1442500
2020-03-01,2.360000,2.950000,1.401000,2.710000,2.710000,990700
2020-04-01,2.710000,2.780000,2.570000,2.640000,2.640000,45300
