Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,4.660000,5.620000,4.610000,5.360000,3.750806,5418200
2015-05-01,5.360000,5.620000,5.100000,5.460000,3.820782,3150000
2015-06-01,5.440000,5.550000,5.110000,5.210000,3.645838,3091500
2015-07-01,5.270000,5.400000,4.800000,5.370000,3.830287,3088800
2015-08-01,5.330000,6.150000,5.070000,6.020000,4.293915,4867500
2015-09-01,6.000000,6.200000,5.610000,6.160000,4.393775,3116700
2015-10-01,6.200000,7.540000,6.150000,7.350000,5.325173,6553100
2015-11-01,7.300000,7.450000,6.110000,6.980000,5.057103,6093900
2015-12-01,7.020000,7.380000,6.530000,7.120000,5.158535,3638900
2016-01-01,7.000000,7.110000,5.490000,6.650000,4.882647,3690500
2016-02-01,6.610000,6.830000,5.370000,5.850000,4.295262,2482000
2016-03-01,5.900000,6.250000,5.830000,5.940000,4.361342,1991400
2016-04-01,5.990000,6.520000,5.850000,6.350000,4.736209,2329700
2016-05-01,6.330000,6.490000,5.880000,6.250000,4.661623,1751700
2016-06-01,6.270000,6.770000,5.940000,6.080000,4.534827,1784000
2016-07-01,6.120000,6.290000,5.970000,6.210000,4.701924,3810600
2016-08-01,6.050000,6.200000,5.440000,5.520000,4.179489,3902900
2016-09-01,5.500000,5.670000,4.980000,5.070000,3.838769,3224700
2016-10-01,5.110000,5.530000,4.860000,5.240000,4.037447,3153100
2016-11-01,5.300000,5.570000,4.860000,5.460000,4.206959,2857400
2016-12-01,5.530000,5.740000,5.190000,5.460000,4.206959,2627500
2017-01-01,5.470000,5.940000,5.360000,5.940000,4.655214,3449800
2017-02-01,5.970000,6.040000,5.630000,5.720000,4.482799,2955800
2017-03-01,5.750000,6.350000,5.700000,6.260000,4.906000,3233100
2017-04-01,6.280000,6.340000,5.980000,6.110000,4.865000,2309100
2017-05-01,6.160000,6.290000,5.210000,5.230000,4.164312,3550300
2017-06-01,5.250000,5.440000,4.830000,5.240000,4.172275,4105200
2017-07-01,5.250000,5.510000,4.900000,5.350000,4.338902,2393300
2017-08-01,5.350000,5.780000,5.110000,5.780000,4.687637,3059700
2017-09-01,5.770000,5.890000,5.490000,5.810000,4.711967,3523400
2017-10-01,5.780000,5.910000,5.440000,5.560000,4.589890,3049700
2017-11-01,5.580000,5.620000,4.080000,4.320000,3.566246,4044200
2017-12-01,4.350000,4.540000,4.060000,4.290000,3.541480,4886400
2018-01-01,4.340000,4.470000,4.000000,4.260000,3.601351,4108500
2018-02-01,4.250000,5.090000,3.860000,4.820000,4.074768,7359000
2018-03-01,4.810000,4.860000,4.300000,4.400000,3.719705,5364400
2018-04-01,4.430000,4.540000,3.970000,4.170000,3.598139,3894400
2018-05-01,4.160000,4.190000,3.530000,3.710000,3.201222,7097000
2018-06-01,3.720000,3.860000,3.480000,3.620000,3.123565,6977000
2018-07-01,3.610000,3.900000,3.600000,3.800000,3.363633,3916600
2018-08-01,3.800000,3.950000,2.800000,2.990000,2.646648,9093700
2018-09-01,2.990000,3.140000,2.900000,3.100000,2.744016,6342800
2018-10-01,3.100000,3.440000,3.020000,3.230000,2.950762,6728100
2018-11-01,3.260000,4.290000,3.250000,4.280000,3.909989,6404800
2018-12-01,4.310000,4.340000,3.080000,3.300000,3.014711,6191600
2019-01-01,3.260000,3.770000,3.260000,3.680000,3.480068,3587700
2019-02-01,3.680000,3.790000,3.260000,3.620000,3.423328,4370200
2019-03-01,3.630000,3.760000,3.380000,3.400000,3.215280,3040800
2019-04-01,3.400000,3.670000,3.390000,3.650000,3.570395,3331100
2019-05-01,3.620000,3.690000,3.100000,3.280000,3.208464,6175600
2019-06-01,3.300000,4.340000,3.270000,4.300000,4.206218,10392600
2019-07-01,4.300000,4.420000,3.300000,3.470000,3.470000,8945500
2019-08-01,3.460000,3.560000,1.080000,1.100000,1.100000,27271700
2019-09-01,1.100000,2.520000,1.080000,2.370000,2.370000,46812100
2019-10-01,2.350000,2.570000,1.910000,2.300000,2.300000,22003400
2019-11-01,2.290000,2.840000,1.920000,2.720000,2.720000,11590300
2019-12-01,2.600000,2.650000,1.500000,1.680000,1.680000,16263300
2020-01-01,1.710000,1.850000,1.400000,1.400000,1.400000,8870600
2020-02-01,1.400000,1.620000,0.760000,0.860000,0.860000,15510100
2020-03-01,0.910000,1.050000,0.350000,0.520000,0.520000,17943700
2020-04-01,0.470000,0.590000,0.470000,0.530000,0.530000,1113500
