Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,9.070000,9.180000,9.020000,9.080000,5.707205,6126700
2015-05-01,9.080000,9.100000,8.870000,8.920000,5.636990,6574700
2015-06-01,8.950000,8.960000,8.520000,8.610000,5.471107,6413300
2015-07-01,8.660000,8.800000,8.500000,8.590000,5.489341,7712100
2015-08-01,8.610000,8.650000,7.700000,8.300000,5.335075,6956700
2015-09-01,8.250000,8.330000,7.920000,8.260000,5.340780,9137700
2015-10-01,8.000000,8.130000,7.830000,8.060000,5.243048,7778100
2015-11-01,8.050000,8.100000,7.750000,7.800000,5.105590,8230700
2015-12-01,7.810000,7.870000,7.340000,7.840000,5.164129,14626700
2016-01-01,7.740000,7.870000,7.060000,7.510000,4.980750,8361200
2016-02-01,7.530000,7.580000,7.090000,7.370000,4.921264,6852000
2016-03-01,7.440000,8.020000,7.400000,7.910000,5.319583,8356300
2016-04-01,7.910000,7.970000,7.740000,7.930000,5.369011,8252300
2016-05-01,7.960000,8.160000,7.830000,8.150000,5.554946,8699900
2016-06-01,8.190000,8.280000,7.790000,8.080000,5.543590,7603700
2016-07-01,8.130000,8.450000,8.030000,8.430000,5.820407,8797200
2016-08-01,8.460000,8.540000,8.310000,8.450000,5.871223,7235000
2016-09-01,8.440000,8.640000,8.200000,8.480000,5.928767,8231500
2016-10-01,8.470000,8.560000,8.390000,8.420000,5.923532,7709200
2016-11-01,8.420000,8.700000,8.120000,8.660000,6.129786,11773700
2016-12-01,8.660000,8.870000,8.600000,8.850000,6.303957,13148600
2017-01-01,8.840000,8.950000,8.650000,8.840000,6.335252,11449800
2017-02-01,8.850000,8.980000,8.790000,8.980000,6.474535,9338200
2017-03-01,8.990000,9.060000,8.680000,8.690000,6.302855,10435500
2017-04-01,8.720000,8.920000,8.690000,8.860000,6.465049,10562700
2017-05-01,8.870000,8.890000,8.590000,8.760000,6.430900,8022500
2017-06-01,8.810000,8.810000,8.410000,8.610000,6.358863,9647600
2017-07-01,8.640000,8.760000,8.450000,8.690000,6.457421,6761000
2017-08-01,8.730000,8.750000,8.340000,8.460000,6.325492,7857600
2017-09-01,8.490000,8.500000,8.290000,8.490000,6.387990,7098100
2017-10-01,8.480000,8.540000,8.340000,8.350000,6.318717,6091200
2017-11-01,8.370000,8.390000,8.000000,8.200000,6.240530,8999200
2017-12-01,8.200000,8.260000,8.100000,8.220000,6.292676,12074000
2018-01-01,8.220000,8.350000,8.090000,8.100000,6.237323,17859200
2018-02-01,8.110000,8.160000,7.950000,8.090000,6.266485,11610300
2018-03-01,8.100000,8.130000,7.910000,7.940000,6.187142,13288300
2018-04-01,7.970000,8.080000,7.900000,8.060000,6.312923,7853700
2018-05-01,8.070000,8.150000,8.030000,8.090000,6.369104,7828400
2018-06-01,8.110000,8.120000,7.900000,7.950000,6.290727,6641800
2018-07-01,7.950000,7.980000,7.830000,7.890000,6.271934,10995700
2018-08-01,7.890000,7.990000,7.860000,7.950000,6.349254,10988900
2018-09-01,7.970000,8.040000,7.930000,7.970000,6.395103,6463000
2018-10-01,7.980000,7.990000,7.640000,7.660000,6.176433,8908400
2018-11-01,7.660000,7.830000,7.520000,7.570000,6.134418,7671900
2018-12-01,7.590000,7.620000,6.980000,7.400000,6.026869,20392700
2019-01-01,7.360000,7.880000,7.340000,7.720000,6.319879,20800600
2019-02-01,7.750000,7.900000,7.600000,7.840000,6.504276,11989700
2019-03-01,7.850000,8.070000,7.720000,7.730000,6.498884,13779400
2019-04-01,7.780000,8.090000,7.750000,7.990000,6.806308,10710100
2019-05-01,8.040000,8.100000,7.670000,7.710000,6.653117,13702400
2019-06-01,7.730000,7.930000,7.660000,7.920000,6.924250,11376000
2019-07-01,7.950000,8.010000,7.600000,7.680000,6.804134,16176400
2019-08-01,7.710000,7.760000,7.320000,7.500000,6.731976,15466800
2019-09-01,7.500000,7.660000,7.430000,7.480000,6.806474,12465900
2019-10-01,7.510000,7.510000,7.200000,7.370000,6.798601,14302800
2019-11-01,7.390000,7.490000,7.260000,7.420000,6.942757,11820400
2019-12-01,7.430000,7.730000,7.380000,7.670000,7.277237,17859700
2020-01-01,7.680000,7.740000,7.520000,7.520000,7.233822,24560500
2020-02-01,7.580000,7.700000,6.880000,6.930000,6.747313,21780900
2020-03-01,7.010000,7.380000,3.750000,5.670000,5.587462,45397900
2020-04-01,5.500000,5.580000,5.330000,5.470000,5.470000,3254300
