Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,13.820000,14.160000,13.810000,14.020000,14.020000,1848400
2017-11-01,8.250000,8.430000,4.750000,5.220000,5.220000,26146100
2017-12-01,4.850000,8.120000,4.820000,6.480000,6.480000,15296500
2018-01-01,6.770000,9.490000,6.330000,7.710000,7.710000,8943600
2018-02-01,7.710000,8.019000,6.560000,6.690000,6.690000,4893700
2018-03-01,6.740000,7.250000,5.290000,5.530000,5.530000,7979200
2018-04-01,5.530000,5.970000,5.126000,5.470000,5.470000,4828100
2018-05-01,5.490000,6.400000,5.265000,5.910000,5.910000,5549000
2018-06-01,5.910000,7.350000,5.780000,6.610000,6.610000,4729100
2018-07-01,6.610000,6.750000,5.120000,5.160000,5.160000,1907300
2018-08-01,5.200000,5.370000,4.010000,5.150000,5.150000,1912200
2018-09-01,5.140000,5.380000,4.180000,4.890000,4.890000,3913900
2018-10-01,4.880000,5.460000,4.450000,4.980000,4.980000,4659800
2018-11-01,4.950000,6.090000,4.180000,4.360000,4.360000,3693100
2018-12-01,4.370000,4.620000,3.490000,4.170000,4.170000,5772800
2019-01-01,4.060000,6.350000,4.060000,6.160000,6.160000,7595400
2019-02-01,6.140000,7.500000,5.740000,7.190000,7.190000,7149300
2019-03-01,7.300000,7.970000,4.790000,5.010000,5.010000,12315900
2019-04-01,5.060000,5.230000,4.790000,4.830000,4.830000,6308900
2019-05-01,4.850000,5.240000,4.080000,4.180000,4.180000,8921800
2019-06-01,4.210000,4.460000,3.650000,3.740000,3.740000,7123900
2019-07-01,3.800000,4.130000,3.430000,3.670000,3.670000,6966500
2019-08-01,3.670000,3.780000,2.920000,3.010000,3.010000,6655300
2019-09-01,2.990000,3.140000,2.420000,2.500000,2.500000,6748500
2019-10-01,2.500000,2.550000,1.990000,2.100000,2.100000,4126700
2019-11-01,2.150000,2.480000,1.630000,2.100000,2.100000,10875000
2019-12-01,2.170000,2.183000,1.360000,1.490000,1.490000,5969100
2020-01-01,1.500000,1.690000,1.050000,1.100000,1.100000,3236600
2020-02-01,1.110000,1.280000,1.000000,1.000000,1.000000,2550200
2020-03-01,1.020000,1.160000,0.717000,0.840000,0.840000,1905300
2020-04-01,0.880000,0.880000,0.752000,0.800000,0.800000,329700
