Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,9.680000,10.250000,8.700000,9.910000,9.910000,2032900
2015-05-01,9.940000,10.130000,7.550000,7.750000,7.750000,3380300
2015-06-01,7.840000,8.700000,7.460000,7.640000,7.640000,4618100
2015-07-01,7.810000,8.100000,5.610000,6.320000,6.320000,3072900
2015-08-01,6.070000,7.490000,5.440000,6.400000,6.400000,2234800
2015-09-01,6.150000,7.010000,5.280000,5.620000,5.620000,1041900
2015-10-01,5.660000,7.640000,5.120000,6.410000,6.410000,1304700
2015-11-01,6.390000,7.460000,5.670000,6.220000,6.220000,891300
2015-12-01,6.210000,6.720000,5.400000,5.950000,5.950000,1266200
2016-01-01,5.820000,6.110000,4.540000,5.100000,5.100000,1089800
2016-02-01,5.070000,5.630000,4.250000,5.100000,5.100000,900000
2016-03-01,5.120000,6.300000,4.750000,5.230000,5.230000,1302600
2016-04-01,5.180000,6.990000,5.180000,6.640000,6.640000,1058700
2016-05-01,6.690000,7.230000,6.070000,7.000000,7.000000,1310200
2016-06-01,6.930000,7.210000,6.280000,6.930000,6.930000,1480500
2016-07-01,6.930000,7.680000,6.610000,7.430000,7.430000,411100
2016-08-01,7.340000,7.640000,5.610000,6.360000,6.360000,1244200
2016-09-01,6.380000,6.580000,4.980000,5.510000,5.510000,1238600
2016-10-01,5.500000,5.690000,5.060000,5.550000,5.550000,629300
2016-11-01,5.540000,6.230000,4.980000,5.400000,5.400000,1368200
2016-12-01,5.400000,7.620000,5.270000,6.860000,6.860000,4190600
2017-01-01,6.860000,9.890000,6.750000,8.660000,8.660000,3494200
2017-02-01,8.930000,8.950000,7.520000,7.720000,7.720000,1754400
2017-03-01,8.000000,8.570000,6.380000,6.700000,6.700000,2626500
2017-04-01,6.690000,7.730000,6.210000,7.400000,7.400000,1522200
2017-05-01,7.400000,7.840000,6.410000,7.180000,7.180000,2014000
2017-06-01,7.190000,7.340000,6.580000,6.980000,6.980000,1244400
2017-07-01,6.980000,7.490000,6.750000,7.070000,7.070000,1443900
2017-08-01,6.960000,9.350000,6.960000,9.180000,9.180000,1972300
2017-09-01,9.240000,9.490000,8.690000,8.980000,8.980000,770000
2017-10-01,8.980000,9.870000,8.130000,9.080000,9.080000,1118500
2017-11-01,9.080000,9.280000,7.280000,7.990000,7.990000,1104000
2017-12-01,8.300000,10.000000,8.010000,9.600000,9.600000,729700
2018-01-01,9.600000,11.230000,8.760000,10.250000,10.250000,1359500
2018-02-01,10.250000,11.910000,9.150000,10.490000,10.490000,1670500
2018-03-01,10.480000,12.300000,10.060000,11.430000,11.430000,1392200
2018-04-01,11.620000,12.370000,10.210000,10.290000,10.290000,1387000
2018-05-01,10.260000,12.250000,9.850000,11.640000,11.640000,1049600
2018-06-01,11.650000,12.860000,11.010000,12.480000,12.480000,3538300
2018-07-01,12.410000,13.260000,11.580000,12.130000,12.130000,1296400
2018-08-01,12.110000,12.580000,10.270000,10.580000,10.580000,1180400
2018-09-01,10.570000,11.760000,10.020000,10.530000,10.530000,1118500
2018-10-01,10.550000,10.550000,7.880000,8.540000,8.540000,957100
2018-11-01,8.590000,9.800000,6.970000,7.290000,7.290000,1006800
2018-12-01,7.320000,7.590000,5.000000,5.680000,5.680000,2257700
2019-01-01,5.570000,7.880000,5.530000,7.010000,7.010000,1388000
2019-02-01,7.080000,8.360000,6.850000,7.640000,7.640000,839700
2019-03-01,7.790000,7.920000,7.000000,7.650000,7.650000,897800
2019-04-01,7.750000,8.720000,7.250000,7.640000,7.640000,593500
2019-05-01,7.730000,8.320000,5.890000,5.970000,5.970000,1135000
2019-06-01,6.020000,6.180000,4.800000,6.110000,6.110000,3364000
2019-07-01,6.250000,6.790000,5.870000,6.500000,6.500000,1063500
2019-08-01,6.570000,6.660000,5.300000,5.620000,5.620000,1377200
2019-09-01,5.610000,6.650000,5.500000,6.650000,6.650000,1096600
2019-10-01,6.610000,6.740000,5.540000,5.560000,5.560000,647600
2019-11-01,5.690000,6.280000,5.030000,5.350000,5.350000,756700
2019-12-01,5.320000,6.020000,4.850000,5.950000,5.950000,1117100
2020-01-01,5.960000,6.040000,5.380000,5.740000,5.740000,370600
2020-02-01,5.850000,6.090000,5.310000,5.670000,5.670000,429000
2020-03-01,5.670000,6.030000,2.760000,4.130000,4.130000,659200
2020-04-01,4.020000,4.340000,3.700000,3.840000,3.840000,48900
